TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-07-02,VBTYZ,VBT YAZILIM  BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTVBTYZ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-06,VBTYZ,VBT YAZILIM  BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTVBTYZ,0,0,0,0,0,12.48,0.0,12.48,12.48,12.48,0.0,0.0,12.48,0.0,12.48,99840000.0,8000000.0,49228.0,12.48,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-12,VBTYZ,VBT YAZILIM,N,MSPOT,MSPOTEQT,MSPOTEQTVBTYZ,0,0,0,0,0,13.72,13.72,13.72,13.72,13.72,13.72,0.0,13.72,0.0,13.72,46296795.44,3374402.0,13170.0,0.0,2129632.12,155221,860.0,55236.72,4026,11,14803.88,1079,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-13,VBTYZ,VBT YAZILIM,N,MSPOT,MSPOTEQT,MSPOTEQTVBTYZ,0,0,0,0,0,13.28,13.28,12.83,13.5,13.12,13.12,-4.373,13.11,13.12,13.13,162512351.93,12377101.0,51641.0,0.0,4500963.84,338928,1142.0,435374.08,33184,284,341618.56,26038,81,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-14,VBTYZ,VBT YAZILIM,N,MSPOT,MSPOTEQT,MSPOTEQTVBTYZ,0,0,0,0,0,13.11,13.11,13.08,14.43,14.43,14.43,9.985,14.43,0.0,14.089,129354910.98,9181559.0,23271.0,0.0,391477.71,29861,111.0,1861.47,129,12,15873.0,1100,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-16,VBTYZ,VBT YAZILIM,N,MSPOT,MSPOTEQT,MSPOTEQTVBTYZ,0,0,0,0,0,15.09,15.09,15.04,15.87,15.87,15.87,9.979,15.87,0.0,15.615,29351951.04,1879712.0,4800.0,0.0,1793159.79,118831,325.0,10728.12,676,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-19,VBTYZ,VBT YAZILIM,N,MSPOT,MSPOTEQT,MSPOTEQTVBTYZ,0,0,0,0,0,16.6,16.6,16.44,17.45,17.45,17.45,9.956,17.45,0.0,17.162,84238878.15,4908557.0,15170.0,0.0,3052657.0,183895,330.0,192386.25,11025,12,10435.1,598,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-26,VBTYZ,VBT YAZILIM,N,MSPOT,MSPOTEQT,MSPOTEQTVBTYZ,0,0,0,0,0,18.0,18.0,16.2,19.06,17.33,17.33,-0.688,17.33,17.34,17.635,369244739.33,20937972.0,63461.0,0.0,2440440.0,135580,339.0,842428.63,48611,129,284506.61,16417,81,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-27,VBTYZ,VBT YAZILIM,N,MSPOT,MSPOTEQT,MSPOTEQTVBTYZ,0,0,0,0,0,17.37,17.37,16.66,18.73,17.81,17.81,2.77,17.81,17.82,17.659,223309542.79,12645692.0,41105.0,0.0,322699.86,18578,93.0,959976.81,53901,96,1093979.25,61425,69,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-28,VBTYZ,VBT YAZILIM,N,MSPOT,MSPOTEQT,MSPOTEQTVBTYZ,0,0,0,0,0,18.0,18.0,17.8,19.18,18.84,18.84,5.783,18.84,18.85,18.653,225203669.1,12073413.0,35516.0,0.0,910422.0,50579,84.0,498374.52,26453,99,127000.44,6741,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
