TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2018-01-02,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,23.94,23.94,23.8,24.32,23.92,23.92,0.0,23.9,23.92,24.078,3086929.82,128207.0,1364.0,0.0,3926.16,164,6.0,4951.44,207,8,17126.72,716,5,24.2,24.3,24.25,19400.0,800,7,0.0,0.0,0.0,0.0,0,0
2018-01-03,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,24.0,24.0,23.54,24.24,23.68,23.68,-1.003,23.68,23.7,23.866,3187862.94,133575.0,1046.0,0.0,19416.0,809,7.0,9779.84,413,7,10656.0,450,7,23.7,23.78,23.752,67050.94,2823,6,0.0,0.0,0.0,0.0,0,0
2018-01-04,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,23.6,23.6,23.56,24.16,24.14,24.14,1.943,24.14,24.16,23.887,3060349.8,128120.0,978.0,0.0,10690.8,453,7.0,21001.8,870,7,0.0,0,0,23.92,24.1,24.024,21622.0,900,7,0.0,0.0,0.0,0.0,0,0
2018-01-05,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,24.14,24.14,24.02,26.3,25.78,25.78,6.794,25.76,25.78,25.4,13741126.4,540988.0,4285.0,0.0,29185.26,1209,8.0,536172.44,20798,22,207529.0,8050,12,24.24,26.3,25.674,415245.44,16174,209,0.0,0.0,0.0,0.0,0,0
2018-01-08,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,26.0,26.0,25.88,26.6,26.08,26.08,1.164,26.02,26.08,26.165,5972455.42,228260.0,1839.0,0.0,58032.0,2232,24.0,60557.76,2322,10,30070.24,1153,11,26.3,26.34,26.301,22908.3,871,2,0.0,0.0,0.0,0.0,0,0
2018-01-09,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,26.2,26.2,25.4,26.24,25.54,25.54,-2.071,25.52,25.54,25.627,4449867.68,173641.0,1280.0,0.0,9772.6,373,7.0,19180.54,751,12,12770.0,500,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2018-01-10,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,25.54,25.54,24.74,25.54,25.0,25.0,-2.114,25.0,25.06,24.927,3031211.9,121602.0,916.0,0.0,5133.54,201,10.0,56250.0,2250,12,30000.0,1200,4,24.94,25.12,25.037,87779.72,3506,15,0.0,0.0,0.0,0.0,0,0
2018-01-11,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,25.1,25.1,24.88,26.12,25.86,25.86,3.44,25.86,25.88,25.466,2280366.72,89546.0,966.0,0.0,11295.0,450,6.0,26170.32,1012,17,4163.46,161,2,25.16,26.12,25.941,24462.8,943,9,0.0,0.0,0.0,0.0,0,0
2018-01-12,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,26.26,26.26,26.2,27.86,27.58,27.58,6.651,27.58,27.66,27.156,16499172.94,607562.0,8152.0,0.0,71007.04,2704,23.0,170996.0,6200,26,102900.98,3731,16,26.32,27.84,27.403,536964.98,19595,303,0.0,0.0,0.0,0.0,0,0
2018-01-15,AGHOL,ANADOLU GRUBU HOLDING,Z,MSPOT,MSPOTEQT,MSPOTEQTAGHOL,0,0,0,0,0,27.7,27.7,26.3,28.24,26.3,26.3,-4.641,26.18,26.3,27.481,9625320.44,350249.0,4912.0,0.0,126866.0,4580,27.0,229835.7,8739,49,56466.1,2147,10,27.7,28.0,27.774,77768.0,2800,8,0.0,0.0,0.0,0.0,0,0
