TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,6.93,6.93,6.91,7.02,6.93,6.93,0.0,6.93,6.95,6.961,213068441.22,30607440.0,5902.0,0.0,1277614.8,184360,62.0,38934569.52,5618264,199,1128079.26,162782,33,6.92,7.01,6.969,27270812.66,3913280,761,0.0,0.0,0.0,0.0,0,0
2015-12-01,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,6.95,6.95,6.95,7.13,7.13,7.13,2.886,7.12,7.13,7.062,273403310.83,38715425.0,6335.0,0.0,2113557.55,304109,40.0,7475298.77,1048429,82,202057.07,28339,23,6.97,7.13,7.066,59498681.05,8420256,995,0.0,0.0,0.0,0.0,0,0
2015-12-02,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,7.2,7.2,7.07,7.24,7.1,7.1,-0.421,7.1,7.11,7.161,329813192.15,46058089.0,6998.0,0.0,1277121.6,177378,68.0,3500378.1,493011,73,692463.0,97530,18,7.07,7.23,7.154,62107055.35,8681221,1150,0.0,0.0,0.0,0.0,0,0
2015-12-03,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,7.13,7.13,6.98,7.18,7.0,7.0,-1.408,7.0,7.01,7.104,236581886.34,33302728.0,5639.0,0.0,712557.94,99938,23.0,4151140.0,593020,66,600005.0,85715,23,6.99,7.18,7.113,48337905.86,6796089,1153,0.0,0.0,0.0,0.0,0,0
2015-12-04,AKBNK,AKBANK -TEMERR,Z,BUYIN,BUYINEQT,BUYINEQTAKBNK,0,0,0,0,0,7.01,0.0,7.01,7.01,7.01,0.0,0.0,0.0,8.4,7.01,280400.0,40000.0,2.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,7.05,7.05,6.78,7.07,6.89,6.89,-1.571,6.89,6.9,6.905,212891247.95,30831356.0,7904.0,0.0,611502.9,86738,33.0,7649842.98,1110282,89,77064.65,11185,3,6.78,7.06,6.931,33642741.65,4854216,1487,0.0,0.0,0.0,0.0,0,0
2015-12-07,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,6.89,6.89,6.8,6.99,6.91,6.91,0.29,6.91,6.93,6.905,148998597.38,21578251.0,5711.0,0.0,234322.01,34009,31.0,4435681.02,641922,70,38530.16,5576,4,6.81,6.98,6.907,29661101.82,4294287,1297,0.0,0.0,0.0,0.0,0,0
2015-12-08,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,6.88,6.88,6.79,6.94,6.81,6.81,-1.447,6.81,6.82,6.881,119343550.31,17345182.0,4731.0,0.0,584414.72,84944,33.0,5294877.15,777515,110,7559.1,1110,4,6.81,6.94,6.886,33473018.77,4861201,1266,0.0,0.0,0.0,0.0,0,0
2015-12-09,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,6.83,6.83,6.81,7.04,7.01,7.01,2.937,7.01,7.03,6.926,142226638.67,20535739.0,4824.0,0.0,310812.81,45507,25.0,4425111.57,631257,66,1010687.78,144178,7,6.82,7.03,6.923,28822436.78,4163182,813,0.0,0.0,0.0,0.0,0,0
2015-12-10,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,6.98,6.98,6.75,7.07,6.8,6.8,-2.996,6.79,6.8,6.91,175249421.95,25361162.0,6979.0,0.0,643213.98,92151,34.0,6766054.4,995008,70,4039499.2,594044,28,6.75,7.06,6.897,29833144.45,4325647,1406,0.0,0.0,0.0,0.0,0,0
2015-12-11,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,6.81,6.81,6.47,6.82,6.48,6.48,-4.706,6.48,6.5,6.607,235092795.95,35582458.0,10033.0,0.0,272508.96,40016,28.0,5833652.4,900255,104,327207.6,50495,40,6.47,6.82,6.611,46055449.57,6966858,2824,0.0,0.0,0.0,0.0,0,0
2015-12-14,AKBNK,AKBANK,Z,MSPOT,MSPOTEQT,MSPOTEQTAKBNK,0,1,1,0,0,6.56,6.56,6.41,6.67,6.45,6.45,-0.463,6.45,6.46,6.526,128582405.1,19703043.0,7799.0,0.0,809910.72,123462,48.0,2934492.0,454960,65,1297933.5,201230,6,6.41,6.66,6.518,39335070.82,6034590,2844,0.0,0.0,0.0,0.0,0,0
