TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,AKCNS,AKCANSA CIMENTO SAN TIC AS,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.66,13.66,13.66,14.2,14.2,14.2,0.0,13.82,14.2,13.868,851328.66,61388.0,463.0,0.0,1366.0,100,3.0,182881.8,12879,28,13873.4,977,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,AKCNS,AKCANSA CIMENTO SAN TIC AS,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,14.2,14.2,13.88,14.2,14.02,14.02,-1.268,14.0,14.02,13.989,803665.91,57448.0,343.0,0.0,49217.2,3466,5.0,14538.74,1037,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,AKCNS,AKCANSA CIMENTO SAN TIC AS,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,14.06,14.06,13.95,14.25,13.95,13.95,-0.499,13.95,13.99,14.062,738315.29,52504.0,364.0,0.0,421.8,30,2.0,21762.0,1560,11,5077.8,364,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.95,13.95,13.65,14.02,13.65,13.65,-2.151,13.65,13.69,13.833,643377.01,46510.0,306.0,0.0,83.7,6,1.0,5965.05,437,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.73,13.73,13.28,13.77,13.47,13.47,-1.319,13.47,13.48,13.471,893148.93,66300.0,488.0,0.0,82.38,6,1.0,15557.85,1155,7,8472.63,629,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.47,13.47,13.3,13.57,13.57,13.57,0.742,13.38,13.57,13.42,461406.38,34381.0,345.0,0.0,1306.59,97,7.0,85165.32,6276,32,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.54,13.54,13.36,13.57,13.36,13.36,-1.548,13.35,13.36,13.463,748799.87,55621.0,274.0,0.0,1069.66,79,4.0,42257.68,3163,12,13146.24,984,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.36,13.36,13.36,13.7,13.69,13.69,2.47,13.69,13.7,13.552,1192416.17,87985.0,344.0,0.0,440.88,33,1.0,13525.72,988,5,520.22,38,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.67,13.67,13.45,13.79,13.45,13.45,-1.753,13.45,13.49,13.651,1200988.96,87979.0,451.0,0.0,8694.12,636,9.0,8688.7,646,3,4707.5,350,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.47,13.47,13.14,13.52,13.3,13.3,-1.115,13.3,13.36,13.334,73452873.57,5563961.0,292.0,0.0,1037.19,77,2.0,29180.2,2194,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,13.2,13.2,13.2,72600000.0,5500000,3
2015-12-14,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.3,13.3,13.0,13.52,13.07,13.07,-1.729,13.07,13.14,13.279,1727385.02,130081.0,399.0,0.0,30204.3,2271,10.0,15056.64,1152,10,0.0,0,0,13.24,13.51,13.507,136503.44,10106,3,0.0,0.0,0.0,0.0,0,0
2015-12-15,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.24,13.24,13.14,13.9,13.75,13.75,5.203,13.75,13.8,13.5,815714.58,60422.0,276.0,0.0,1469.64,111,3.0,1705.0,124,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.75,13.75,13.41,13.75,13.53,13.53,-1.6,13.51,13.53,13.522,1454118.33,107539.0,413.0,0.0,13750.0,1000,3.0,22432.74,1658,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.6,13.6,13.52,13.79,13.52,13.52,-0.074,13.52,13.65,13.623,999125.03,73340.0,334.0,0.0,7167.2,527,7.0,181168.0,13400,36,3745.04,277,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.57,13.57,13.32,13.65,13.65,13.65,0.962,13.5,13.65,13.502,1211609.78,89736.0,468.0,0.0,5509.42,406,1.0,310346.4,22736,45,37496.55,2747,4,13.65,13.65,13.65,35490.0,2600,2,0.0,0.0,0.0,0.0,0,0
2015-12-21,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.62,13.62,13.56,13.75,13.6,13.6,-0.366,13.6,13.65,13.638,758756.84,55636.0,294.0,0.0,81.72,6,1.0,57528.0,4230,21,7439.2,547,2,13.6,13.62,13.602,23246.49,1709,8,0.0,0.0,0.0,0.0,0,0
2015-12-22,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.65,13.65,13.38,13.65,13.44,13.44,-1.176,13.43,13.44,13.462,717122.36,53271.0,286.0,0.0,682.5,50,2.0,66756.48,4967,11,57536.64,4281,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.49,13.49,13.48,13.77,13.54,13.54,0.744,13.53,13.54,13.604,1673825.05,123041.0,618.0,0.0,1079.2,80,1.0,45954.76,3394,7,29611.98,2187,3,13.71,13.76,13.758,14665.52,1066,7,0.0,0.0,0.0,0.0,0,0
2015-12-24,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.54,13.54,13.47,13.59,13.47,13.47,-0.517,13.46,13.47,13.506,742450.65,54971.0,270.0,0.0,541.6,40,3.0,22158.15,1645,8,46969.89,3487,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.5,13.5,13.45,13.52,13.52,0.0,0.371,13.49,13.52,13.484,460610.1,34159.0,168.0,0.0,135.0,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-28,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.5,13.5,13.45,13.56,13.45,13.45,-0.518,13.44,13.45,13.504,1563630.43,115789.0,579.0,0.0,13.5,1,1.0,1546.75,115,4,3671.85,273,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.47,13.47,13.25,13.47,13.25,13.25,-1.487,13.25,13.28,13.337,1701053.28,127546.0,486.0,0.0,1198.83,89,2.0,37656.5,2842,7,13250.0,1000,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.26,0.0,13.21,13.35,13.23,13.23,-0.151,13.22,13.23,13.274,886041.38,66749.0,361.0,0.0,0.0,0,0.0,0.0,0,0,2619.54,198,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.23,13.23,13.19,13.3,13.22,13.22,-0.076,13.21,13.22,13.222,346661.08,26219.0,347.0,0.0,132.3,10,1.0,8064.2,610,9,2260.62,171,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.22,13.22,12.99,13.22,13.12,13.12,-0.756,13.08,13.12,13.081,956736.17,73142.0,471.0,0.0,12109.52,916,9.0,16386.88,1249,6,31133.76,2373,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.13,13.13,12.82,13.18,12.85,12.85,-2.058,12.85,12.9,12.945,1473083.85,113792.0,518.0,0.0,249.47,19,2.0,85799.45,6677,17,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-06,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,12.78,12.78,12.75,12.96,12.96,12.96,0.856,12.84,12.96,12.855,38239631.36,2987096.0,426.0,0.0,2517.66,197,10.0,179560.8,13855,24,0.0,0,0,12.9,12.9,12.9,2915.4,226,5,12.8,12.8,12.8,37120000.0,2900000,2
2016-01-07,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,12.92,12.92,12.74,12.92,12.81,12.81,-1.157,12.81,12.87,12.828,1134939.35,88472.0,385.0,0.0,9289.48,719,14.0,83726.16,6536,27,1921.5,150,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,12.88,12.88,12.84,12.94,12.91,12.91,0.781,12.91,12.94,12.881,1156204.15,89759.0,353.0,0.0,25.76,2,1.0,23702.76,1836,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,12.94,12.94,12.8,13.03,13.0,13.0,0.697,13.0,13.01,12.986,1160103.79,89337.0,487.0,0.0,414.08,32,3.0,61269.0,4713,8,0.0,0,0,13.0,13.0,13.0,32500.0,2500,2,0.0,0.0,0.0,0.0,0,0
2016-01-12,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.0,13.0,12.91,13.05,13.0,13.0,0.0,12.99,13.0,12.988,1091001.14,83998.0,341.0,0.0,1989.0,153,10.0,20423.0,1571,9,5200.0,400,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-13,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.01,13.01,12.97,13.45,13.29,13.29,2.231,13.29,13.33,13.228,2128219.54,160891.0,845.0,0.0,14519.16,1116,5.0,79514.07,5983,14,0.0,0,0,13.39,13.41,13.403,36991.6,2760,4,0.0,0.0,0.0,0.0,0,0
2016-01-14,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.17,13.17,13.0,13.24,13.04,13.04,-1.881,13.04,13.06,13.067,1439424.44,110154.0,516.0,0.0,2094.03,159,13.0,79191.92,6073,14,2608.0,200,1,13.05,13.06,13.053,561.28,43,5,0.0,0.0,0.0,0.0,0,0
2016-01-15,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.05,13.05,13.0,13.13,13.04,13.04,0.0,13.04,13.09,13.077,1892565.31,144729.0,465.0,0.0,5024.25,385,4.0,70585.52,5413,13,1721.28,132,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-18,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.12,13.12,13.0,13.12,13.0,13.0,-0.307,13.0,13.03,13.023,457017.11,35092.0,274.0,0.0,1640.0,125,4.0,19981.0,1537,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-19,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.02,13.02,13.0,13.1,13.0,13.0,0.0,13.0,13.02,13.033,717030.26,55017.0,311.0,0.0,1822.8,140,2.0,13793.0,1061,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-20,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,13.0,13.0,12.62,13.01,12.62,12.62,-2.923,12.61,12.62,12.85,946139.2,73631.0,387.0,0.0,19929.0,1533,4.0,58783.96,4658,11,5679.0,450,2,12.98,12.98,12.98,1298.0,100,1,0.0,0.0,0.0,0.0,0,0
2016-01-21,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,12.68,12.68,12.02,12.68,12.21,12.21,-3.249,12.21,12.25,12.391,1296100.8,104601.0,738.0,0.0,1952.72,154,10.0,15738.69,1289,12,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-22,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,12.4,12.4,12.31,12.99,12.75,12.75,4.423,12.75,12.85,12.547,1557231.09,124112.0,491.0,0.0,1550.0,125,5.0,5444.25,427,4,4870.5,382,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-25,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,12.78,12.78,12.78,12.9,12.8,12.8,0.392,12.8,12.85,12.821,178947.27,13957.0,169.0,0.0,2556.0,200,4.0,6668.8,521,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-26,AKCNS,AKCANSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKCNS,0,0,0,0,0,12.78,12.78,12.58,13.0,12.87,12.87,0.547,12.87,12.91,12.765,693252.49,54307.0,294.0,0.0,1316.34,103,4.0,17348.76,1348,4,0.0,0,0,12.97,12.97,12.97,324.25,25,1,0.0,0.0,0.0,0.0,0,0
