TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,AKFGY,AKFEN GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.38,1.38,1.37,1.41,1.39,1.39,0.0,1.38,1.39,1.385,162235.16,117169.0,160.0,0.0,2.76,2,2.0,11120.0,8000,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,AKFGY,AKFEN GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.39,1.39,1.37,1.42,1.38,1.38,-0.719,1.37,1.38,1.388,1499565.37,1080307.0,546.0,0.0,139.0,100,1.0,2599.92,1884,3,5023.2,3640,4,1.38,1.4,1.391,27757.18,19962,11,0.0,0.0,0.0,0.0,0,0
2015-12-02,AKFGY,AKFEN GAYRIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.39,1.39,1.37,1.39,1.37,1.37,-0.725,1.37,1.38,1.381,706143.08,511227.0,158.0,0.0,36140.0,26000,5.0,27769.9,20270,10,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.38,1.38,1.35,1.39,1.35,1.35,-1.46,1.35,1.36,1.371,810502.32,590998.0,157.0,0.0,10718.46,7767,3.0,15527.7,11502,4,6750.0,5000,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.35,0.0,1.3,1.36,1.32,1.32,-2.222,1.32,1.33,1.325,709795.37,535669.0,297.0,0.0,0.0,0,0.0,22223.52,16836,9,15840.0,12000,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.33,1.33,1.3,1.33,1.31,1.31,-0.758,1.31,1.32,1.311,249776.72,190518.0,150.0,0.0,4878.44,3668,4.0,1637.5,1250,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.31,1.31,1.28,1.31,1.29,1.29,-1.527,1.29,1.3,1.294,282422.1,218230.0,174.0,0.0,57.64,44,3.0,4745.91,3679,7,424.41,329,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.29,1.29,1.28,1.32,1.31,0.0,1.55,1.31,1.32,1.304,204792.88,157024.0,104.0,0.0,2100.12,1628,4.0,0.0,0,0,0.0,0,0,1.29,1.29,1.29,129.0,100,1,0.0,0.0,0.0,0.0,0,0
2015-12-10,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.31,0.0,1.28,1.33,1.28,1.28,-2.29,1.28,1.3,1.303,76762.04,58929.0,93.0,0.0,0.0,0,0.0,6336.0,4950,9,1344.0,1050,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.28,1.28,1.27,1.29,1.27,1.27,-0.781,1.26,1.27,1.278,94641.86,74063.0,88.0,0.0,7.68,6,3.0,635.0,500,1,5154.93,4059,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.28,1.28,1.26,1.29,1.26,1.26,-0.787,1.25,1.26,1.273,82739.49,64978.0,68.0,0.0,160.0,125,1.0,39.06,31,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.26,0.0,1.26,1.3,1.29,0.0,2.381,1.28,1.29,1.282,184094.45,143573.0,96.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,AKFGY,AKFEN GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTAKFGY,0,0,0,0,0,1.29,1.29,1.27,1.38,1.37,1.37,6.202,1.36,1.37,1.306,996596.59,762812.0,541.0,0.0,1.29,1,1.0,8906.37,6501,6,0.0,0,0,1.35,1.35,1.35,135.0,100,1,0.0,0.0,0.0,0.0,0,0
