TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,AKSA,AKSA AKRILIK A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.95,10.95,10.58,11.03,10.58,10.58,0.0,10.58,10.69,10.849,1651913.18,152262.0,558.0,0.0,109.5,10,2.0,242705.2,22940,39,132218.26,12497,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,AKSA,AKSA AKRILIK A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.72,10.72,10.72,10.97,10.94,10.94,3.403,10.93,10.94,10.879,2098522.81,192890.0,757.0,0.0,13775.2,1285,5.0,16825.72,1538,6,11946.48,1092,3,10.8,10.84,10.818,32455.0,3000,14,0.0,0.0,0.0,0.0,0,0
2015-12-02,AKSA,AKSA AKRILIK A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.95,10.95,10.9,11.1,10.93,10.93,-0.091,10.92,10.93,10.987,1808179.37,164575.0,616.0,0.0,11322.3,1034,7.0,40681.46,3722,10,69012.02,6314,13,11.06,11.06,11.06,1106.0,100,1,0.0,0.0,0.0,0.0,0,0
2015-12-03,AKSA,AKSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,11.0,11.0,10.75,11.08,10.77,10.77,-1.464,10.77,10.8,10.847,1324754.29,122127.0,556.0,0.0,2200.0,200,2.0,96833.07,8991,16,16413.48,1524,2,10.76,10.77,10.765,10743.48,998,3,0.0,0.0,0.0,0.0,0,0
2015-12-04,AKSA,AKSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.8,10.8,10.5,10.86,10.72,10.72,-0.464,10.7,10.72,10.669,1694976.49,158875.0,648.0,0.0,75.6,7,1.0,51188.0,4775,12,214.4,20,1,10.58,10.65,10.621,47591.71,4481,30,0.0,0.0,0.0,0.0,0,0
2015-12-07,AKSA,AKSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.71,10.71,10.63,10.75,10.65,10.65,-0.653,10.65,10.7,10.69,1770008.97,165581.0,585.0,0.0,1852.83,173,3.0,64805.25,6085,10,1597.5,150,1,10.7,10.7,10.7,5350.0,500,4,0.0,0.0,0.0,0.0,0,0
2015-12-08,AKSA,AKSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.6,10.6,10.56,11.39,10.61,10.61,-0.376,10.6,10.61,10.746,3382543.45,314764.0,869.0,0.0,10610.6,1001,4.0,21697.45,2045,8,2122.0,200,1,11.38,11.38,11.38,11.38,1,1,0.0,0.0,0.0,0.0,0,0
2015-12-09,AKSA,AKSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.7,10.7,10.54,10.83,10.83,10.83,2.074,10.83,10.84,10.676,4396927.75,411842.0,1136.0,0.0,42243.6,3948,9.0,11154.9,1030,11,120353.79,11113,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,AKSA,AKSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.81,10.81,10.2,10.86,10.46,10.46,-3.416,10.46,10.47,10.619,2626525.03,247340.0,962.0,0.0,1805.27,167,6.0,36505.4,3490,13,5230.0,500,1,10.46,10.48,10.46,2092.06,200,2,0.0,0.0,0.0,0.0,0,0
2015-12-11,AKSA,AKSA,Z,MSPOT,MSPOTEQT,MSPOTEQTAKSA,0,1,0,0,0,10.45,10.45,10.18,10.57,10.27,10.27,-1.816,10.27,10.28,10.319,2317505.72,224577.0,941.0,0.0,6050.55,579,10.0,38358.45,3735,12,17726.02,1726,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
