TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ALKA,ALKIM KAGIT SANAYI VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.31,0.0,1.3,1.32,1.3,1.3,0.0,1.3,1.31,1.309,97498.72,74483.0,48.0,0.0,0.0,0,0.0,1430.0,1100,2,1300.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ALKA,ALKIM KAGIT SANAYI VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.31,0.0,1.31,1.32,1.32,0.0,1.538,1.31,1.32,1.318,55107.09,41826.0,35.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ALKA,ALKIM KAGIT SANAYI VE TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.32,1.32,1.31,1.33,1.31,1.31,-0.758,1.31,1.33,1.319,90141.23,68326.0,59.0,0.0,13.2,10,1.0,1506.5,1150,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.33,0.0,1.29,1.33,1.29,1.29,-1.527,1.29,1.3,1.301,143259.94,110083.0,69.0,0.0,0.0,0,0.0,19.35,15,1,16075.98,12462,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.29,1.29,1.28,1.3,1.29,1.29,0.0,1.28,1.29,1.285,53228.34,41424.0,76.0,0.0,1.29,1,1.0,15.48,12,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.29,1.29,1.28,1.29,1.29,0.0,0.0,1.28,1.29,1.284,53054.34,41310.0,35.0,0.0,1935.0,1500,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.29,0.0,1.27,1.29,1.28,0.0,-0.775,1.27,1.28,1.273,19605.83,15402.0,29.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.27,0.0,1.25,1.28,1.28,0.0,0.0,1.27,1.28,1.27,64695.59,50936.0,57.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.25,1.25,1.25,1.28,1.26,0.0,-1.563,1.25,1.26,1.259,95675.21,75999.0,96.0,0.0,25000.0,20000,9.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.25,0.0,1.22,1.26,1.23,1.23,-2.381,1.23,1.24,1.236,83257.93,67358.0,83.0,0.0,0.0,0,0.0,584.25,475,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.24,0.0,1.22,1.26,1.23,1.23,0.0,1.22,1.23,1.231,77860.78,63251.0,84.0,0.0,0.0,0,0.0,617.46,502,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.23,1.23,1.22,1.26,1.26,1.26,2.439,1.25,1.26,1.24,67976.41,54837.0,67.0,0.0,207.87,169,2.0,6.3,5,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.25,1.25,1.24,1.27,1.26,0.0,0.0,1.25,1.26,1.257,30957.76,24638.0,44.0,0.0,625.0,500,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,ALKA,ALKIM KAGIT,N,MSPOT,MSPOTEQT,MSPOTEQTALKA,0,0,0,0,0,1.26,1.26,1.26,1.28,1.28,0.0,1.587,1.27,1.28,1.266,69327.42,54742.0,90.0,0.0,3747.24,2974,5.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
