TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2020-09-01,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.33,1.33,1.33,1.35,1.35,1.35,0.0,1.34,1.35,1.343,1564359.48,1165186.0,761.0,0.0,180091.31,135407,37.0,102352.95,75817,70,18503.1,13706,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-02,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.37,1.37,1.37,1.48,1.48,1.48,9.63,1.48,0.0,1.452,3504172.57,2413780.0,966.0,0.0,213081.58,155534,83.0,72656.16,49092,18,12855.28,8686,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-03,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.46,1.46,1.36,1.47,1.36,1.36,-8.108,1.35,1.36,1.446,4453259.36,3080699.0,1543.0,0.0,1655552.4,1133940,439.0,195327.28,143623,73,132764.56,97621,41,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-04,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.3,1.3,1.3,1.35,1.34,1.34,-1.471,1.33,1.34,1.322,2837973.51,2146008.0,1083.0,0.0,364712.4,280548,145.0,267709.22,199783,136,229300.8,171120,31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-07,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.35,1.35,1.31,1.35,1.31,1.31,-2.239,1.3,1.31,1.337,1547762.32,1157339.0,714.0,0.0,133917.3,99198,66.0,137701.96,105116,69,26892.99,20529,23,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-08,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.31,1.31,1.3,1.32,1.3,1.3,-0.763,1.29,1.3,1.314,1231248.55,937100.0,688.0,0.0,189838.65,144915,93.0,95469.4,73438,57,19847.1,15267,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-09,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.29,1.29,1.29,1.3,1.3,1.3,0.0,1.3,1.31,1.294,1399982.47,1082127.0,662.0,0.0,112904.67,87523,65.0,214921.2,165324,70,64300.6,49462,12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-10,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.32,1.32,1.32,1.43,1.43,1.43,10.0,1.43,0.0,1.413,3676485.8,2602442.0,1191.0,0.0,73956.96,56028,45.0,225905.68,157976,76,63195.99,44193,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-11,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.48,1.48,1.48,1.53,1.49,1.49,4.196,1.48,1.49,1.521,7492202.75,4925872.0,2111.0,0.0,753493.16,509117,270.0,654998.04,439596,120,49979.07,33543,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-14,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.49,1.49,1.4,1.49,1.4,1.4,-6.04,1.4,1.41,1.431,3047279.18,2130149.0,1259.0,0.0,606635.62,407138,189.0,310200.8,221572,84,41022.8,29302,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-15,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.41,1.41,1.41,1.49,1.46,1.46,4.286,1.45,1.46,1.456,2676071.51,1837687.0,1055.0,0.0,205697.85,145885,100.0,468941.78,321193,126,12097.56,8286,23,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-16,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.45,1.45,1.38,1.45,1.38,1.38,-5.479,1.38,1.39,1.4,3007815.54,2148801.0,1362.0,0.0,263704.25,181865,154.0,215044.02,155829,97,309238.68,224086,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-17,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.38,1.38,1.36,1.38,1.38,1.38,0.0,1.38,1.39,1.374,2839785.74,2067405.0,974.0,0.0,332806.32,241164,169.0,320318.7,232115,111,303290.88,219776,29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-18,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.41,1.41,1.4,1.41,1.4,1.4,1.449,1.39,1.4,1.404,2681337.26,1910078.0,923.0,0.0,258890.1,183610,83.0,281166.2,200833,46,262372.6,187409,12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-21,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.44,1.44,1.4,1.44,1.4,1.4,0.0,1.39,1.4,1.43,3634415.74,2541377.0,1076.0,0.0,519436.8,360720,75.0,90258.0,64470,94,157501.4,112501,31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-22,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.38,1.38,1.38,1.42,1.42,1.42,1.429,1.42,1.43,1.409,2726921.07,1935998.0,920.0,0.0,106938.96,77492,82.0,560476.84,394702,88,252760.0,178000,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-23,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.44,1.44,1.44,1.56,1.56,1.56,9.859,1.56,0.0,1.524,8352204.87,5480271.0,1940.0,0.0,243149.76,168854,101.0,1670600.88,1070898,134,33580.56,21526,15,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-24,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.7,1.7,1.69,1.71,1.71,1.71,9.615,1.7,1.71,1.705,10983522.5,6440200.0,2916.0,0.0,1390270.2,817806,329.0,18440.64,10784,11,584666.1,341910,117,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-25,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.57,1.57,1.57,1.87,1.81,1.81,5.848,1.8,1.81,1.815,10149969.35,5591607.0,2896.0,0.0,981524.75,625175,464.0,790656.87,436827,202,317490.29,175409,67,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-28,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,1.89,1.89,1.89,1.99,1.99,1.99,9.945,1.99,0.0,1.963,7866078.74,4007836.0,1943.0,0.0,797574.33,421997,275.0,19082.11,9589,11,16716.0,8400,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-29,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,2.17,2.17,2.16,2.18,2.18,2.18,9.548,2.18,0.0,2.17,16162448.26,7447553.0,4290.0,0.0,4062630.6,1872180,853.0,30881.88,14166,17,13099.62,6009,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-30,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,0,0,2.18,2.18,2.02,2.24,2.02,2.02,-7.339,2.01,2.02,2.154,11723790.6,5441803.0,4304.0,0.0,3008155.84,1379888,933.0,1145525.84,567092,304,127076.18,62909,50,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-01,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.01,2.01,1.82,2.01,1.82,1.82,-9.901,0.0,1.82,1.89,5414746.31,2865399.0,2499.0,0.0,445701.42,221742,251.0,64741.04,35572,53,2644.46,1453,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-02,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,1.7,1.7,1.7,1.96,1.96,1.96,7.692,1.95,1.96,1.803,5442622.2,3018206.0,2163.0,0.0,584296.8,343704,140.0,460241.32,234817,143,328582.24,167644,95,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-05,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,1.96,1.96,1.96,2.15,2.15,2.15,9.694,2.15,0.0,2.099,5603584.94,2669015.0,1902.0,0.0,665090.72,339332,288.0,408403.25,189955,37,2.15,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-06,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.3,2.3,2.3,2.36,2.36,2.36,9.767,2.36,0.0,2.352,7443054.14,3164782.0,2273.0,0.0,990202.9,430523,255.0,74096.92,31397,13,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-07,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.51,2.51,2.51,2.57,2.57,2.57,8.898,2.57,2.58,2.539,9690419.85,3816745.0,3323.0,0.0,1409846.92,561692,460.0,829575.44,322792,244,433427.93,168649,72,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-08,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.6,2.6,2.43,2.6,2.43,2.43,-5.447,2.41,2.43,2.573,6989059.29,2716740.0,3173.0,0.0,1074860.8,413408,317.0,307764.36,126652,95,69621.93,28651,28,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-09,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.3,2.3,2.25,2.3,2.3,2.3,-5.35,2.29,2.3,2.259,7326849.5,3243558.0,3310.0,0.0,479970.9,208683,297.0,475350.2,206674,155,371502.9,161523,72,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-12,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.4,2.4,2.4,2.53,2.53,2.53,10.0,2.53,0.0,2.499,5578503.14,2232131.0,1605.0,0.0,574423.2,239343,201.0,19228.0,7600,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-13,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.78,2.78,2.78,2.78,2.78,2.78,9.881,2.78,0.0,2.78,5967320.04,2146518.0,1838.0,0.0,1208605.0,434750,524.0,1918.2,690,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-14,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,3.0,3.0,2.73,3.0,2.73,2.73,-1.799,2.72,2.73,2.901,11117210.58,3831859.0,4295.0,0.0,1945284.0,648428,568.0,472273.62,172994,192,38187.24,13988,31,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-15,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.75,2.75,2.75,3.0,3.0,3.0,9.89,3.0,0.0,2.877,7109559.07,2471020.0,2670.0,0.0,962846.5,350126,252.0,1312782.0,437594,273,1240893.0,413631,280,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-16,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,3.15,3.15,3.15,3.28,3.28,3.28,9.333,3.27,3.28,3.227,8078077.12,2503086.0,3070.0,0.0,1271762.1,403734,343.0,405076.72,123499,207,664803.52,202684,95,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-19,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,3.3,3.3,3.21,3.33,3.21,3.21,-2.134,3.2,3.21,3.308,8931746.44,2700003.0,3648.0,0.0,1264520.4,383188,526.0,335117.58,104398,263,116429.91,36271,40,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-20,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,3.04,3.04,2.89,3.04,2.89,2.89,-9.969,0.0,2.89,2.923,8298147.77,2839188.0,3746.0,0.0,612967.36,201634,303.0,245294.53,84877,147,19594.2,6780,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-21,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,2.89,2.89,2.89,3.17,3.17,3.17,9.689,3.17,0.0,3.084,8220249.17,2665294.0,2640.0,0.0,1324160.43,458187,429.0,94970.03,29959,28,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-10-22,ALMAD,ALTINYAG MADENCILIK VE ENERJI,W,MSPOT,MSPOTEQT,MSPOTEQTALMAD,0,0,0,1,0,3.28,3.28,3.08,3.28,3.08,3.08,-2.839,3.06,3.08,3.249,6238797.09,1920142.0,2354.0,0.0,1327671.84,404778,277.0,263250.68,85471,105,40295.64,13083,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
