TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ALYAG,ALTINYAG KOMBINALARI A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.7,0.68,0.71,0.68,0.68,0.0,0.68,0.69,0.688,193495.29,281184.0,197.0,0.0,2114.7,3021,4.0,5440.0,8000,5,4760.0,7000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,ALYAG,ALTINYAG KOMBINALARI A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.69,0.69,0.69,0.7,0.69,0.69,1.471,0.69,0.7,0.697,236925.56,339757.0,138.0,0.0,694.14,1006,4.0,1380.0,2000,2,690.0,1000,1,0.7,0.7,0.7,14000.0,20000,2,0.0,0.0,0.0,0.0,0,0
2015-12-02,ALYAG,ALTINYAG KOMBINALARI A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.7,0.68,0.7,0.69,0.69,0.0,0.68,0.69,0.692,225899.93,326560.0,167.0,0.0,7700.0,11000,5.0,690.0,1000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.69,0.69,0.68,0.7,0.68,0.68,-1.449,0.68,0.69,0.683,136203.97,199367.0,120.0,0.0,18.63,27,1.0,31960.0,47000,24,340.0,500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.69,0.0,0.66,0.69,0.68,0.68,0.0,0.67,0.68,0.674,344394.52,510799.0,279.0,0.0,0.0,0,0.0,680.0,1000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.68,0.68,0.67,0.69,0.67,0.67,-1.471,0.67,0.68,0.679,110220.79,162353.0,124.0,0.0,1803.36,2652,4.0,1099.47,1641,2,0.0,0,0,0.68,0.68,0.68,13600.0,20000,1,0.0,0.0,0.0,0.0,0,0
2015-12-08,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.67,0.67,0.65,0.69,0.66,0.66,-1.493,0.65,0.66,0.667,240012.99,359664.0,346.0,0.0,2077.67,3101,4.0,3717.12,5632,8,10994.94,16659,12,0.67,0.68,0.67,10298.88,15366,2,0.0,0.0,0.0,0.0,0,0
2015-12-09,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.67,0.67,0.65,0.67,0.66,0.66,0.0,0.65,0.66,0.656,194403.48,296547.0,162.0,0.0,201.0,300,3.0,3960.0,6000,4,6072.0,9200,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.66,0.66,0.64,0.67,0.65,0.65,-1.515,0.64,0.65,0.654,175691.46,268493.0,233.0,0.0,112.86,171,4.0,3.9,6,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.65,0.65,0.6,0.65,0.61,0.61,-6.154,0.61,0.62,0.616,303263.74,491969.0,476.0,0.0,2225.6,3424,7.0,11769.34,19294,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.62,0.62,0.61,0.71,0.68,0.68,11.475,0.68,0.69,0.652,1465401.14,2248406.0,1512.0,0.0,89.28,144,4.0,10798.4,15880,7,136.0,200,1,0.63,0.7,0.656,69176.3,105384,45,0.0,0.0,0.0,0.0,0,0
2015-12-15,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.7,0.67,0.71,0.7,0.7,2.941,0.69,0.7,0.693,595952.35,860271.0,570.0,0.0,10607.1,15153,13.0,1600.2,2286,4,14581.7,20831,6,0.69,0.7,0.697,5225.0,7500,4,0.0,0.0,0.0,0.0,0,0
2015-12-16,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.7,0.67,0.72,0.68,0.68,-2.857,0.68,0.69,0.688,294661.88,428565.0,434.0,0.0,976.5,1395,7.0,6940.08,10206,8,26860.0,39500,4,0.68,0.71,0.703,4854.04,6903,4,0.0,0.0,0.0,0.0,0,0
2015-12-17,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.68,0.68,0.68,0.7,0.69,0.69,1.471,0.69,0.7,0.693,170345.6,245687.0,195.0,0.0,68.0,100,1.0,1264.77,1833,8,0.0,0,0,0.69,0.69,0.69,3450.0,5000,3,0.0,0.0,0.0,0.0,0,0
2015-12-18,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.7,0.69,0.71,0.69,0.69,0.0,0.69,0.7,0.698,197111.29,282201.0,265.0,0.0,7000.0,10000,5.0,3450.0,5000,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.0,0.69,0.74,0.73,0.73,5.797,0.72,0.73,0.716,800830.7,1119022.0,629.0,0.0,0.0,0,0.0,26478.56,36272,14,3384.28,4636,2,0.71,0.73,0.72,145480.0,202000,60,0.0,0.0,0.0,0.0,0,0
2015-12-22,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.73,0.73,0.71,0.75,0.73,0.0,0.0,0.72,0.73,0.726,283479.7,390284.0,343.0,0.0,19.71,27,4.0,0.0,0,0,0.0,0,0,0.74,0.74,0.74,637.88,862,8,0.0,0.0,0.0,0.0,0,0
2015-12-23,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.72,0.72,0.71,0.75,0.73,0.73,0.0,0.72,0.73,0.728,332380.97,456641.0,206.0,0.0,13680.0,19000,5.0,2920.0,4000,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.74,0.74,0.7,0.74,0.7,0.7,-4.11,0.7,0.71,0.714,374573.49,524346.0,425.0,0.0,0.74,1,1.0,4692.1,6703,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.7,0.73,0.71,0.71,1.429,0.71,0.72,0.714,214777.0,300821.0,278.0,0.0,14803.5,20850,6.0,3562.78,5018,4,0.0,0,0,0.71,0.71,0.71,25740.34,36254,3,0.0,0.0,0.0,0.0,0,0
2015-12-28,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.72,0.0,0.71,0.73,0.72,0.72,1.408,0.71,0.72,0.712,37465.65,52617.0,70.0,0.0,0.0,0,0.0,69.12,96,1,7.2,10,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.71,0.72,0.71,0.71,-1.389,0.71,0.72,0.714,62689.06,87769.0,125.0,0.0,0.71,1,1.0,1488.16,2096,2,1420.0,2000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.71,0.74,0.71,0.71,0.0,0.71,0.72,0.722,221408.98,306722.0,236.0,0.0,554.51,781,2.0,13490.0,19000,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.71,0.74,0.72,0.72,1.408,0.71,0.72,0.72,98425.12,136727.0,148.0,0.0,69.58,98,2.0,900.0,1250,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.72,0.72,0.69,0.72,0.72,0.72,0.0,0.7,0.72,0.709,145262.51,204780.0,155.0,0.0,44.64,62,3.0,360.0,500,1,50.4,70,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.7,0.73,0.71,0.71,-1.389,0.71,0.72,0.714,203656.35,285080.0,302.0,0.0,0.71,1,1.0,5184.42,7302,4,3083.53,4343,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-06,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.71,0.72,0.72,0.0,1.408,0.71,0.72,0.713,69347.0,97229.0,75.0,0.0,89.46,126,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-07,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.7,0.72,0.72,0.0,0.0,0.71,0.72,0.709,57526.91,81155.0,107.0,0.0,710.0,1000,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.72,0.72,0.71,0.73,0.71,0.71,-1.389,0.71,0.72,0.715,154317.13,215866.0,119.0,0.0,2880.0,4000,3.0,1420.0,2000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.0,0.7,0.72,0.72,0.72,1.408,0.71,0.72,0.711,65833.2,92547.0,135.0,0.0,0.0,0,0.0,1.44,2,1,3600.0,5000,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-12,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.7,0.72,0.72,0.72,0.0,0.71,0.72,0.709,185080.03,260911.0,389.0,0.0,710.0,1000,1.0,720.0,1000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-13,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.72,0.72,0.7,0.72,0.71,0.71,-1.389,0.71,0.72,0.712,105463.0,148102.0,140.0,0.0,9499.68,13194,3.0,1420.0,2000,2,3550.0,5000,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-14,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.7,0.7,0.71,0.7,0.7,-1.408,0.7,0.71,0.7,165740.59,236649.0,175.0,0.0,30099.3,42999,3.0,5600.0,8000,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-15,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.0,0.7,0.72,0.71,0.0,1.429,0.7,0.71,0.704,173438.38,246352.0,114.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-18,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.71,0.69,0.72,0.71,0.71,0.0,0.7,0.71,0.705,131270.49,186161.0,114.0,0.0,5946.25,8375,3.0,3.55,5,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-19,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.71,0.0,0.69,0.71,0.71,0.0,0.0,0.7,0.71,0.701,142162.58,202932.0,93.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-20,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.7,0.69,0.7,0.69,0.69,-2.817,0.69,0.7,0.692,97668.96,141108.0,87.0,0.0,728.0,1040,5.0,241.5,350,3,0.0,0,0,0.7,0.7,0.7,7000.0,10000,7,0.0,0.0,0.0,0.0,0,0
2016-01-21,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.7,0.7,0.68,0.7,0.69,0.69,0.0,0.68,0.69,0.69,39469.95,57229.0,64.0,0.0,1750.7,2501,3.0,3.45,5,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-22,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.68,0.68,0.68,0.72,0.71,0.71,2.899,0.7,0.71,0.705,162394.25,230500.0,119.0,0.0,1293.36,1902,4.0,7812.13,11003,3,7009.12,9872,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-25,ALYAG,ALTINYAG,N,MSPOT,MSPOTEQT,MSPOTEQTALYAG,0,0,0,0,0,0.72,0.72,0.71,0.76,0.71,0.71,0.0,0.71,0.73,0.731,508241.97,695214.0,397.0,0.0,56673.36,78713,23.0,15776.2,22220,7,0.0,0,0,0.73,0.74,0.731,20470.0,28000,16,0.0,0.0,0.0,0.0,0,0
