TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ANHYT,ANADOLU HAYAT EMEKLILIK,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,6.12,6.12,5.81,6.12,5.81,5.81,0.0,5.81,5.86,5.952,400241.03,67242.0,283.0,0.0,91.8,15,2.0,46340.56,7976,17,0.0,0,0,6.01,6.07,6.016,31890.07,5301,15,0.0,0.0,0.0,0.0,0,0
2015-12-01,ANHYT,ANADOLU HAYAT EMEKLILIK,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.75,5.75,5.67,5.81,5.68,5.68,-2.238,5.68,5.73,5.697,1074174.13,188543.0,555.0,0.0,28.75,5,1.0,2033.44,358,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ANHYT,ANADOLU HAYAT EMEKLILIK,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.77,0.0,5.7,5.79,5.79,5.79,1.937,5.72,5.79,5.742,55954.15,9744.0,83.0,0.0,0.0,0,0.0,5790.0,1000,2,0.0,0,0,5.73,5.76,5.743,3824.61,666,12,0.0,0.0,0.0,0.0,0,0
2015-12-03,ANHYT,ANADOLU HAYAT EMEK.,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.79,5.79,5.62,5.83,5.73,5.73,-1.036,5.65,5.73,5.667,115376.02,20360.0,115.0,0.0,127.38,22,1.0,1942.47,339,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ANHYT,ANADOLU HAYAT EMEK.,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.75,5.75,5.61,5.77,5.74,5.74,0.175,5.7,5.74,5.697,130318.32,22873.0,115.0,0.0,132.25,23,3.0,12691.14,2211,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ANHYT,ANADOLU HAYAT EMEK.,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.74,5.74,5.61,5.8,5.69,5.69,-0.871,5.67,5.69,5.703,97685.04,17130.0,77.0,0.0,63.14,11,1.0,2332.9,410,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ANHYT,ANADOLU HAYAT EMEK.,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.7,5.7,5.56,5.75,5.65,5.65,-0.703,5.6,5.65,5.64,493606.33,87525.0,224.0,0.0,85.5,15,2.0,45267.8,8012,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ANHYT,ANADOLU HAYAT EMEK.,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.51,5.51,5.51,5.72,5.64,0.0,-0.177,5.64,5.72,5.693,174177.4,30597.0,111.0,0.0,220.4,40,2.0,0.0,0,0,0.0,0,0,5.72,5.72,5.72,1716.0,300,2,0.0,0.0,0.0,0.0,0,0
2015-12-10,ANHYT,ANADOLU HAYAT EMEK.,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.7,5.7,5.4,5.7,5.41,5.41,-4.078,5.41,5.43,5.511,458777.45,83246.0,463.0,0.0,11.4,2,1.0,4869.0,900,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,ANHYT,ANADOLU HAYAT EMEK.,Z,MSPOT,MSPOTEQT,MSPOTEQTANHYT,0,0,0,0,0,5.41,5.41,5.36,5.7,5.6,5.6,3.512,5.58,5.6,5.52,180905.64,32773.0,235.0,0.0,16.23,3,1.0,3920.0,700,3,996.8,178,1,5.46,5.69,5.64,936.16,166,6,0.0,0.0,0.0,0.0,0,0
