TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2020-01-06,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,29.7,29.7,27.86,29.8,27.9,27.9,-5.807,27.9,27.96,28.61,52109190.5,1821336.0,14216.0,0.0,278081.1,9363,45.0,319455.0,11450,110,36297.9,1301,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-01-29,ARDYZ,ARD BILISIM TEKNOLOJILERI BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTARDYZ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-01-30,ARDYZ,ARD BILISIM TEKNOLOJILERI BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTARDYZ,0,0,0,0,0,5.3,0.0,5.3,5.3,5.3,0.0,0.0,5.3,0.0,5.3,39750000.0,7500000.0,22809.0,5.3,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-01-31,ARDYZ,ARD BILISIM TEKNOLOJILERI BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTARDYZ,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-06,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,6.36,6.36,6.36,6.36,6.36,0.0,0.0,6.36,0.0,6.36,538761.96,84711.0,460.0,0.0,131410.32,20662,82.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-06,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,28.0,28.0,26.6,28.3,26.6,26.6,-4.659,26.58,26.6,27.141,37030370.16,1364349.0,11512.0,0.0,252140.0,9005,55.0,408975.0,15375,208,153960.8,5788,38,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-07,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,7.63,7.63,7.63,7.63,7.63,7.63,19.969,7.63,0.0,7.63,1540138.39,201853.0,821.0,0.0,593430.88,77776,300.0,2807.84,368,1,4715.34,618,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-10,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,9.15,9.15,9.15,9.15,9.15,9.15,19.921,9.15,0.0,9.15,49443370.05,5403647.0,7372.0,0.0,4714418.55,515237,1433.0,7823.25,855,5,5407.65,591,4,9.15,9.15,9.15,54.9,6,2,0.0,0.0,0.0,0.0,0,0
2020-02-11,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,10.0,10.0,9.55,10.98,10.98,10.98,20.0,10.98,0.0,10.675,258604088.46,24226019.0,42527.0,0.0,17645360.0,1764536,2318.0,18764.82,1709,6,1098.0,100,1,9.85,10.98,10.715,12913239.64,1205106,1177,0.0,0.0,0.0,0.0,0,0
2020-02-12,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,11.28,11.28,11.2,13.17,13.17,13.17,19.945,13.17,0.0,12.596,163137117.32,12951117.0,26967.0,0.0,3717831.6,329595,536.0,24232.8,1840,3,0.0,0,0,11.42,13.17,12.574,14343522.55,1140693,1354,0.0,0.0,0.0,0.0,0,0
2020-02-13,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,15.0,15.0,14.0,15.8,15.8,15.8,19.97,15.8,0.0,15.362,274400032.29,17862238.0,41385.0,0.0,3808185.0,253879,656.0,34854.8,2206,4,431814.0,27330,11,14.45,15.8,15.382,17645452.48,1147136,1949,0.0,0.0,0.0,0.0,0,0
2020-02-14,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,0,0,16.97,16.97,16.02,18.48,18.0,18.0,13.924,18.0,18.01,17.765,432876482.37,24366773.0,66551.0,0.0,4891755.23,288259,511.0,2530998.0,140611,239,1125774.0,62543,89,16.77,18.44,17.755,25559417.12,1439595,2485,0.0,0.0,0.0,0.0,0,0
2020-02-17,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,17.8,17.8,14.4,18.0,15.81,15.81,-12.167,15.8,15.81,16.189,38395304.86,2371741.0,17091.0,0.0,2590327.2,145524,629.0,245466.06,15526,90,99666.24,6304,38,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-18,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,15.3,15.3,14.0,15.9,15.3,15.3,-3.226,15.3,15.31,14.651,23639595.47,1613537.0,12421.0,0.0,468899.1,30647,153.0,141800.4,9268,35,39780.0,2600,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-19,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,15.29,15.29,14.0,15.33,14.07,14.07,-8.039,14.07,14.08,14.537,14832612.52,1020368.0,8018.0,0.0,350202.16,22904,88.0,137942.28,9804,60,69576.15,4945,26,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-20,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,13.8,13.8,12.42,14.49,13.19,13.19,-6.254,13.19,13.2,13.308,20663731.54,1552673.0,10509.0,0.0,194428.2,14089,137.0,136147.18,10322,16,10842.18,822,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-21,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,12.71,12.71,12.28,15.24,14.81,14.81,12.282,14.81,14.82,13.842,20264176.7,1463985.0,9213.0,0.0,200500.25,15775,75.0,91496.18,6178,56,48828.57,3297,16,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-24,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,13.9,13.9,13.6,15.29,15.02,15.02,1.418,15.02,15.04,14.532,15451929.12,1063333.0,6761.0,0.0,444230.1,31959,140.0,172850.16,11508,35,36783.98,2449,11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-25,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,15.2,15.2,14.38,15.5,14.81,14.81,-1.398,14.8,14.81,15.015,14414707.15,960004.0,6630.0,0.0,179861.6,11833,69.0,235479.0,15900,85,44000.51,2971,19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-26,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,14.55,14.55,14.35,14.8,14.58,14.58,-1.553,14.58,14.59,14.557,9984030.07,685861.0,3898.0,0.0,146445.75,10065,52.0,74999.52,5144,21,17306.46,1187,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-27,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,14.2,14.2,13.48,14.34,13.9,13.9,-4.664,13.89,13.9,13.901,9075821.11,652883.0,4833.0,0.0,145564.2,10251,51.0,34763.9,2501,19,986.9,71,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-02-28,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,11.2,11.2,11.16,13.5,13.42,13.42,-3.453,13.42,13.43,12.799,7789798.4,608611.0,3833.0,0.0,513217.6,45823,168.0,54753.6,4080,29,94678.1,7055,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-03-02,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,14.0,14.0,13.8,15.4,15.2,15.2,13.264,15.2,15.22,14.55,14327950.64,984739.0,5065.0,0.0,167384.0,11956,150.0,204333.6,13443,47,29077.6,1913,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-03-03,ARDYZ,ARD BILISIM TEKNOLOJILERI,N,MSPOT,MSPOTEQT,MSPOTEQTARDYZ,0,0,0,1,0,15.45,15.45,14.74,15.97,15.97,15.97,5.066,15.97,15.98,15.456,14909139.39,964617.0,5694.0,0.0,222742.65,14417,95.0,234423.63,14679,45,1117.9,70,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
