TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ARSAN,ARSAN TEKSTIL TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.66,1.66,1.63,1.69,1.65,1.65,0.0,1.64,1.65,1.653,756012.34,457426.0,366.0,0.0,9960.0,6000,3.0,19800.0,12000,7,0.0,0,0,1.65,1.67,1.664,11148.64,6701,10,0.0,0.0,0.0,0.0,0,0
2015-12-01,ARSAN,ARSAN TEKSTIL TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.65,1.65,1.64,1.69,1.68,1.68,1.818,1.68,1.69,1.672,1835580.13,1098121.0,409.0,0.0,417.45,253,3.0,42840.0,25500,5,0.0,0,0,1.65,1.68,1.672,230979.0,138175,33,0.0,0.0,0.0,0.0,0,0
2015-12-02,ARSAN,ARSAN TEKSTIL TIC A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.69,1.69,1.69,1.79,1.76,1.76,4.762,1.76,1.77,1.739,4456414.1,2562808.0,995.0,0.0,18590.0,11000,2.0,49443.68,28093,14,142560.0,81000,17,1.7,1.77,1.722,355989.75,206725,59,0.0,0.0,0.0,0.0,0,0
2015-12-03,ARSAN,ARSAN TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.76,1.76,1.71,1.8,1.72,1.72,-2.273,1.72,1.73,1.757,3307414.32,1882284.0,899.0,0.0,1112.32,632,7.0,47097.04,27382,13,6087.08,3539,4,1.75,1.8,1.767,203051.0,114938,44,0.0,0.0,0.0,0.0,0,0
2015-12-04,ARSAN,ARSAN TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.73,1.73,1.7,1.76,1.75,1.75,1.744,1.74,1.75,1.729,2798612.07,1618477.0,745.0,0.0,5257.47,3039,1.0,43447.25,24827,18,0.0,0,0,1.72,1.75,1.737,463071.27,266618,90,0.0,0.0,0.0,0.0,0,0
2015-12-07,ARSAN,ARSAN TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.75,1.75,1.66,1.81,1.66,1.66,-5.143,1.66,1.68,1.741,5360975.93,3080038.0,1458.0,0.0,215.25,123,2.0,49801.66,30001,14,166.0,100,1,1.67,1.78,1.725,46118.78,26735,30,0.0,0.0,0.0,0.0,0,0
2015-12-08,ARSAN,ARSAN TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.65,1.65,1.65,1.69,1.67,1.67,0.602,1.67,1.68,1.666,1958384.04,1175710.0,633.0,0.0,1651.65,1001,6.0,21367.65,12795,10,18632.19,11157,12,1.66,1.69,1.672,79400.0,47500,25,0.0,0.0,0.0,0.0,0,0
2015-12-09,ARSAN,ARSAN TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.67,0.0,1.66,1.72,1.71,1.71,2.395,1.71,1.72,1.689,1276790.66,755897.0,486.0,0.0,0.0,0,0.0,40646.7,23770,11,0.0,0,0,1.67,1.69,1.675,8413.87,5023,8,0.0,0.0,0.0,0.0,0,0
2015-12-10,ARSAN,ARSAN TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.72,1.72,1.6,1.73,1.62,1.62,-5.263,1.62,1.63,1.672,1847905.15,1105088.0,716.0,0.0,1723.44,1002,3.0,32126.22,19831,11,45026.28,27794,14,1.64,1.72,1.697,5931.8,3495,5,0.0,0.0,0.0,0.0,0,0
2015-12-11,ARSAN,ARSAN TEKSTIL,N,MSPOT,MSPOTEQT,MSPOTEQTARSAN,0,0,0,0,0,1.63,1.63,1.48,1.64,1.51,1.51,-6.79,1.51,1.52,1.546,3522615.53,2278950.0,1379.0,0.0,94.54,58,2.0,37750.0,25000,12,1208.0,800,2,1.52,1.63,1.588,14651.75,9225,6,0.0,0.0,0.0,0.0,0,0
