TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.1,16.1,16.06,17.02,16.61,16.61,0.0,16.61,16.66,16.588,33741904.94,2034094.0,4410.0,0.0,26210.8,1628,14.0,381564.92,22972,37,13487.32,812,2,16.12,17.0,16.541,1123013.36,67893,198,0.0,0.0,0.0,0.0,0,0
2015-12-01,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.66,16.66,16.63,16.98,16.79,16.79,1.084,16.79,16.8,16.819,17016639.26,1011765.0,2353.0,0.0,91530.04,5494,31.0,185025.8,11020,31,5557.49,331,3,16.65,16.98,16.825,887236.89,52734,82,0.0,0.0,0.0,0.0,0,0
2015-12-02,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.85,16.85,16.6,17.14,16.6,16.6,-1.132,16.6,16.63,16.879,15771533.97,934411.0,2557.0,0.0,132188.25,7845,24.0,255557.0,15395,33,0.0,0,0,16.66,17.14,16.905,252597.73,14942,75,0.0,0.0,0.0,0.0,0,0
2015-12-03,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.65,16.65,16.16,16.9,16.2,16.2,-2.41,16.2,16.21,16.578,10625788.68,640974.0,2114.0,0.0,30069.9,1806,11.0,109657.8,6769,23,35202.6,2173,4,16.2,16.89,16.62,1183598.07,71216,178,0.0,0.0,0.0,0.0,0,0
2015-12-04,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.3,16.3,16.01,16.38,16.34,16.34,0.864,16.3,16.34,16.196,6707047.98,414105.0,1802.0,0.0,67645.0,4150,14.0,142468.46,8719,19,11438.0,700,2,16.03,16.37,16.239,872771.4,53747,206,0.0,0.0,0.0,0.0,0,0
2015-12-07,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.39,16.39,16.26,16.8,16.3,16.3,-0.245,16.3,16.32,16.463,9374557.21,569440.0,2083.0,0.0,36385.8,2220,16.0,139788.8,8576,25,84368.8,5176,10,16.38,16.79,16.495,395086.89,23952,119,0.0,0.0,0.0,0.0,0,0
2015-12-08,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.4,16.4,16.22,16.55,16.24,16.24,-0.368,16.24,16.31,16.373,8196067.53,500587.0,1881.0,0.0,38999.2,2378,11.0,297078.32,18293,32,84269.36,5189,1,16.32,16.54,16.427,223047.38,13578,86,0.0,0.0,0.0,0.0,0,0
2015-12-09,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.29,16.29,15.0,16.38,16.16,16.16,-0.493,16.16,16.19,16.214,7545277.85,465370.0,1602.0,0.0,48511.62,2978,18.0,285514.88,17668,37,32320.0,2000,3,16.1,16.31,16.222,138386.21,8531,76,0.0,0.0,0.0,0.0,0,0
2015-12-10,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,16.17,16.17,15.44,16.3,15.71,15.71,-2.785,15.71,15.73,15.867,7011050.88,441855.0,1944.0,0.0,42462.42,2626,25.0,168929.63,10753,13,91887.79,5849,8,15.44,16.28,15.769,237650.71,15071,82,0.0,0.0,0.0,0.0,0,0
2015-12-11,ASELS,ASELSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTASELS,0,1,0,0,0,15.73,15.73,15.15,15.85,15.37,15.37,-2.164,15.37,15.4,15.385,12255699.32,796590.0,2517.0,0.0,36886.85,2345,20.0,184624.44,12012,23,3074.0,200,1,15.2,15.5,15.338,431391.72,28126,158,0.0,0.0,0.0,0.0,0,0
