TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ASLAN,ASLAN CIMENTO A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,46.5,46.5,46.04,47.5,46.3,46.3,0.0,46.3,46.38,46.537,2448615.96,52617.0,932.0,0.0,1674.0,36,5.0,122556.1,2647,17,4305.9,93,3,46.48,46.68,46.603,6337.94,136,4,0.0,0.0,0.0,0.0,0,0
2015-12-01,ASLAN,ASLAN CIMENTO A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,46.5,46.5,46.5,47.08,46.88,46.88,1.253,46.88,46.9,46.785,2460728.44,52596.0,872.0,0.0,93.0,2,1.0,13923.36,297,7,0.0,0,0,46.66,46.9,46.715,1541.6,33,4,0.0,0.0,0.0,0.0,0,0
2015-12-02,ASLAN,ASLAN CIMENTO A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,47.4,47.4,46.86,47.76,47.1,47.1,0.469,47.1,47.16,47.228,4322304.6,91520.0,1247.0,0.0,13983.0,295,6.0,51480.3,1093,14,96084.0,2040,9,47.04,47.08,47.051,15573.86,331,8,0.0,0.0,0.0,0.0,0,0
2015-12-03,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,47.26,47.26,46.32,47.6,46.36,46.36,-1.571,46.36,46.4,47.117,3455878.16,73347.0,1214.0,0.0,236.3,5,2.0,23133.64,499,15,12980.8,280,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,47.0,47.0,45.36,47.78,46.78,46.78,0.906,46.78,46.92,46.851,11846478.16,252854.0,3664.0,0.0,61147.0,1301,23.0,50990.2,1090,19,22875.42,489,6,45.78,47.78,46.746,81711.88,1748,30,0.0,0.0,0.0,0.0,0,0
2015-12-07,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,46.84,46.84,45.84,46.84,46.02,46.02,-1.625,46.02,46.14,46.248,3217039.98,69561.0,1179.0,0.0,19532.28,417,15.0,85137.0,1850,28,14634.36,318,12,46.14,46.56,46.341,46850.26,1011,14,0.0,0.0,0.0,0.0,0,0
2015-12-08,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,46.0,46.0,43.02,46.1,44.12,44.12,-4.129,44.12,44.14,45.098,4202187.38,93178.0,1618.0,0.0,16238.0,353,9.0,87931.16,1993,26,5117.92,116,4,45.54,45.76,45.652,93312.1,2044,28,0.0,0.0,0.0,0.0,0,0
2015-12-09,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,44.52,44.52,43.4,44.84,44.5,44.5,0.861,44.5,44.54,43.967,3096408.86,70426.0,1243.0,0.0,12020.4,270,3.0,97321.5,2187,21,19713.5,443,5,43.54,44.5,43.99,45926.0,1044,11,0.0,0.0,0.0,0.0,0,0
2015-12-10,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,44.04,44.04,42.2,44.76,42.56,42.56,-2.787,42.56,42.6,43.619,5606379.12,128532.0,2022.0,0.0,11362.32,258,12.0,33239.36,781,5,8512.0,200,4,42.72,44.76,43.967,52056.38,1184,18,0.0,0.0,0.0,0.0,0,0
2015-12-11,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,42.6,42.6,40.34,42.7,40.5,40.5,-4.84,40.48,40.5,40.972,3993500.52,97470.0,1633.0,0.0,8605.2,202,7.0,18063.0,446,12,30699.0,758,6,40.66,42.58,40.994,84283.22,2056,25,0.0,0.0,0.0,0.0,0,0
2015-12-14,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,41.0,41.0,39.56,41.38,39.6,39.6,-2.222,39.6,39.62,40.419,3390869.86,83892.0,1733.0,0.0,11644.0,284,6.0,49460.4,1249,15,51559.2,1302,14,40.52,41.38,40.933,60457.5,1477,44,0.0,0.0,0.0,0.0,0,0
2015-12-15,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,40.0,40.0,39.82,41.34,41.16,41.16,3.939,41.16,41.18,40.61,6020568.56,148253.0,2334.0,0.0,4520.0,113,5.0,29100.12,707,10,4116.0,100,3,39.98,41.18,40.319,309366.52,7673,72,0.0,0.0,0.0,0.0,0,0
2015-12-16,ASLAN,ASLAN CIMENTO,N,MSPOT,MSPOTEQT,MSPOTEQTASLAN,0,0,0,0,0,41.5,41.5,40.58,41.5,41.2,41.2,0.097,41.2,41.22,41.091,2647272.24,64425.0,1223.0,0.0,9254.5,223,8.0,68886.4,1672,17,11412.4,277,7,40.92,41.38,41.118,19037.86,463,18,0.0,0.0,0.0,0.0,0,0
