TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-04-29,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,9.41,9.41,9.19,9.62,9.19,9.19,0.0,9.18,9.19,9.282,645423863.33,69534089.0,119696.0,0.0,16519396.15,1755515,1680.0,12656118.78,1377162,1065,621207.24,67596,166,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-30,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,9.16,9.16,9.13,9.4,9.14,9.14,-0.544,9.14,9.15,9.24,222254924.56,24054370.0,52259.0,0.0,1426037.96,155681,744.0,6684548.14,731351,888,2836690.4,310360,211,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-03,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,9.16,9.16,9.0,9.22,9.0,9.0,-1.532,9.0,9.01,9.064,166136757.75,18330292.0,49197.0,0.0,687970.96,75106,1056.0,3254418.0,361602,517,507276.0,56364,36,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-04,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,9.01,9.01,8.63,9.05,8.69,8.69,-3.444,8.68,8.69,8.792,256973614.84,29229478.0,52981.0,0.0,649693.08,72108,800.0,3943469.86,453794,211,899145.61,103469,98,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-05,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.7,8.7,8.47,8.78,8.66,8.66,-0.345,8.66,8.67,8.617,205676701.45,23868103.0,44840.0,0.0,449041.8,51614,811.0,4309241.98,497603,183,1266066.02,146197,95,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-06,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.72,8.72,8.43,8.72,8.44,8.44,-2.54,8.44,8.45,8.505,113644649.58,13361669.0,31020.0,0.0,1316353.76,150958,630.0,4303944.24,509946,240,631109.44,74776,93,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-07,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.45,8.45,8.29,8.75,8.4,8.4,-0.474,8.39,8.4,8.398,135017288.51,16078073.0,27926.0,0.0,272689.95,32271,536.0,2587090.8,307987,132,281971.2,33568,63,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-10,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.44,8.44,8.37,8.46,8.4,8.4,0.0,8.39,8.4,8.405,60054235.67,7144715.0,22549.0,0.0,1158567.24,137271,576.0,2825239.2,336338,102,871592.4,103761,52,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-11,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.38,8.38,8.3,8.38,8.3,8.3,-1.19,8.3,8.31,8.335,35369758.0,4243690.0,13168.0,0.0,496556.9,59255,210.0,1649475.6,198732,199,284764.7,34309,43,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-12,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.3,8.3,8.2,8.3,8.23,8.23,-0.843,8.22,8.23,8.251,19340926.1,2344142.0,6775.0,0.0,77190.0,9300,149.0,1914635.43,232641,120,880758.14,107018,136,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-17,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.5,8.5,8.13,8.5,8.42,8.42,2.309,8.3,8.42,8.26,80357738.6,9728808.0,21671.0,0.0,4236893.0,498458,1273.0,7304619.44,867532,893,1236712.76,146878,29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-18,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.36,8.36,8.24,8.38,8.27,8.27,-1.781,8.26,8.27,8.286,41439943.01,5001081.0,17366.0,0.0,514808.8,61580,235.0,3517520.45,425335,183,272190.51,32913,29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-05-20,AYDEM,AYDEM ENERJI,Z,MSPOT,MSPOTEQT,MSPOTEQTAYDEM,0,0,0,0,0,8.25,8.25,8.22,8.26,8.23,8.23,-0.484,8.22,8.23,8.234,29661285.77,3602272.0,8830.0,0.0,326271.0,39548,182.0,1587468.24,192888,68,1131271.11,137457,66,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
