TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-06-11,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.7,9.7,9.3,10.69,9.67,9.67,0.0,9.67,9.68,9.971,1060790692.49,106384917.0,80234.0,0.0,29202325.3,3010549,392.0,1826092.47,188841,164,1387935.1,143530,85,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-14,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.71,9.71,9.59,10.23,9.72,9.72,0.517,9.72,9.74,9.879,167639071.73,16969349.0,30089.0,0.0,885027.66,91146,315.0,1340592.12,137921,115,52565.76,5408,20,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-15,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.74,9.74,9.71,9.99,9.77,9.77,0.514,9.76,9.77,9.8,121032140.54,12350210.0,15504.0,0.0,487292.2,50030,156.0,1029064.33,105329,66,2674469.11,273743,76,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-16,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.85,9.85,9.65,9.94,9.65,9.65,-1.228,9.65,9.66,9.739,117688316.75,12083628.0,10472.0,0.0,1130484.5,114770,133.0,2107183.65,218361,72,3276995.25,339585,18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-17,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.71,9.71,9.69,9.75,9.73,9.73,0.829,9.72,9.73,9.712,64151784.76,6605708.0,5667.0,0.0,1269339.75,130725,112.0,782574.17,80429,60,26514.25,2725,21,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-18,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.76,9.76,9.71,10.17,9.75,9.75,0.206,9.75,9.76,9.866,126279355.63,12799008.0,12021.0,0.0,437248.0,44800,108.0,1677731.25,172075,90,179604.75,18421,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-21,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.69,9.69,9.61,9.77,9.73,9.73,-0.205,9.73,9.74,9.698,47451154.83,4892779.0,5099.0,0.0,1023477.18,105622,72.0,492629.9,50630,60,267419.32,27484,24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-22,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.76,9.76,9.64,9.78,9.72,9.72,-0.103,9.72,9.73,9.721,32318355.03,3324728.0,3149.0,0.0,275378.4,28215,100.0,979435.8,100765,38,524899.44,54002,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-23,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.73,9.73,9.71,9.85,9.72,9.72,0.0,9.71,9.72,9.744,34634356.91,3554415.0,2996.0,0.0,405556.13,41681,68.0,1262404.44,129877,41,63228.6,6505,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-06-24,BASGZ,BASKENT DOGALGAZ GMYO,Z,MSPOT,MSPOTEQT,MSPOTEQTBASGZ,0,0,0,0,0,9.73,9.73,9.72,9.89,9.89,9.89,1.749,9.89,9.9,9.802,50442565.43,5146125.0,4967.0,0.0,371384.37,38169,56.0,1234351.12,124808,74,35356.75,3575,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
