TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,BOYP,BOYNER PAZARLAMA A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,57.5,0.0,57.45,61.9,59.0,59.0,0.0,57.9,59.0,59.45,1901692.0,31988.0,103.0,0.0,0.0,0,0.0,11387.0,193,4,0.0,0,0,59.9,59.9,59.9,10961.7,183,1,0.0,0.0,0.0,0.0,0,0
2015-12-01,BOYP,BOYNER PAZARLAMA A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,59.0,0.0,57.05,59.9,57.9,57.9,-1.864,57.5,57.9,57.598,114217.5,1983.0,95.0,0.0,0.0,0,0.0,15459.3,267,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,BOYP,BOYNER PAZARLAMA A.S.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,57.8,0.0,57.5,59.45,58.7,0.0,1.382,58.5,58.7,58.211,56289.7,967.0,51.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,57.85,58.1,57.969,4637.5,80,6,0.0,0.0,0.0,0.0,0,0
2015-12-03,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,58.45,58.45,57.15,58.85,58.25,0.0,-0.767,58.25,58.7,57.985,29514.4,509.0,25.0,0.0,3507.0,60,3.0,0.0,0,0,1165.0,20,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,58.1,0.0,57.0,58.3,57.6,57.6,-1.116,57.6,57.75,57.51,62168.4,1081.0,48.0,0.0,0.0,0,0.0,4608.0,80,1,0.0,0,0,57.75,57.95,57.906,11581.25,200,5,0.0,0.0,0.0,0.0,0,0
2015-12-07,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,57.55,0.0,57.55,60.5,59.9,0.0,3.993,59.9,60.35,59.441,218742.45,3680.0,108.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,59.9,59.95,59.925,11985.0,200,5,0.0,0.0,0.0,0.0,0,0
2015-12-08,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,59.0,0.0,59.0,63.0,60.55,0.0,1.085,60.55,61.55,61.717,172869.2,2801.0,49.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,62.8,62.8,62.8,6280.0,100,1,0.0,0.0,0.0,0.0,0,0
2015-12-09,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,60.5,0.0,59.5,61.95,59.6,59.6,-1.569,59.55,59.6,59.913,37325.75,623.0,39.0,0.0,0.0,0,0.0,1013.2,17,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,59.5,0.0,59.5,61.85,59.7,59.7,0.168,59.7,59.8,60.081,58758.95,978.0,45.0,0.0,0.0,0,0.0,1492.5,25,2,0.0,0,0,61.85,61.85,61.85,1175.15,19,2,0.0,0.0,0.0,0.0,0,0
2015-12-11,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,59.6,0.0,59.6,60.95,59.85,0.0,0.251,59.65,59.85,59.686,42198.0,707.0,28.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,60.0,0.0,60.0,60.5,60.2,0.0,0.585,59.6,60.0,60.414,36671.25,607.0,15.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,60.85,0.0,59.6,60.85,60.75,0.0,0.914,60.0,60.8,60.754,10267.4,169.0,7.0,0.0,0.0,0,0.0,0.0,0,0,9051.75,149,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,60.75,0.0,59.35,60.75,60.65,0.0,-0.165,60.65,60.7,60.496,38596.15,638.0,32.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,BOYP,BOYNER PERAKENDE YAT.,Z,MSPOT,MSPOTEQT,MSPOTEQTBOYP,0,0,0,0,0,61.0,0.0,60.0,63.0,60.5,0.0,-0.247,60.2,60.5,61.999,95106.65,1534.0,32.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
