TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,BRKO,BIRKO BIRLESIK KOYUNLULAR,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.44,0.44,0.43,0.47,0.47,0.0,0.0,0.46,0.47,0.45,194145.69,431023.0,135.0,0.0,249.04,566,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,BRKO,BIRKO BIRLESIK KOYUNLULAR,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.47,0.47,0.46,0.47,0.46,0.46,-2.128,0.46,0.47,0.466,50766.77,108841.0,63.0,0.0,94.0,200,1.0,1702.0,3700,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,BRKO,BIRKO BIRLESIK KOYUNLULAR,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.47,0.47,0.45,0.47,0.46,0.46,0.0,0.45,0.46,0.455,22529.1,49465.0,37.0,0.0,2350.0,5000,3.0,460.92,1002,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,BRKO,BIRKO MENSUCAT,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.45,0.45,0.45,0.47,0.47,0.47,2.174,0.46,0.47,0.46,106838.83,232213.0,35.0,0.0,116.1,258,3.0,1.41,3,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,BRKO,BIRKO MENSUCAT,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.47,0.0,0.44,0.47,0.45,0.45,-4.255,0.44,0.45,0.451,47391.49,105113.0,82.0,0.0,0.0,0,0.0,49.95,111,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,BRKO,BIRKO MENSUCAT,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.45,0.0,0.44,0.48,0.47,0.47,4.444,0.46,0.47,0.465,163076.52,350973.0,151.0,0.0,0.0,0,0.0,4232.82,9006,3,1634.66,3478,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,BRKO,BIRKO MENSUCAT,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.46,0.0,0.45,0.47,0.45,0.45,-4.255,0.44,0.45,0.454,119933.47,264046.0,66.0,0.0,0.0,0,0.0,5902.2,13116,6,2290.5,5090,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,BRKO,BIRKO MENSUCAT,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.45,0.45,0.44,0.46,0.46,0.0,2.222,0.45,0.46,0.452,18806.1,41646.0,20.0,0.0,900.0,2000,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,BRKO,BIRKO MENSUCAT,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.46,0.0,0.43,0.46,0.44,0.44,-4.348,0.43,0.44,0.434,120472.05,277311.0,118.0,0.0,0.0,0,0.0,249.48,567,5,10.12,23,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,BRKO,BIRKO MENSUCAT,N,MSPOT,MSPOTEQT,MSPOTEQTBRKO,0,0,0,0,0,0.44,0.44,0.41,0.44,0.43,0.43,-2.273,0.42,0.43,0.427,186147.54,435774.0,267.0,0.0,440.88,1002,2.0,216.29,503,3,0.43,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
