TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,CRFSA,CARREFOURSA CARREFOUR SABANCI TI,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,45.0,45.0,43.2,45.0,44.16,44.16,0.0,44.12,44.16,44.162,461850.8,10458.0,414.0,0.0,49860.0,1108,9.0,2119.68,48,3,13468.8,305,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,CRFSA,CARREFOURSA CARREFOUR SABANCI TI,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,44.5,0.0,44.1,44.5,44.1,44.1,-0.136,44.1,44.26,44.316,324614.92,7325.0,307.0,0.0,0.0,0,0.0,9261.0,210,3,24784.2,562,12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,CRFSA,CARREFOURSA CARREFOUR SABANCI TI,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,44.28,0.0,43.3,44.32,43.68,43.68,-0.952,43.68,43.7,43.863,173126.72,3947.0,195.0,0.0,0.0,0,0.0,6115.2,140,7,4892.16,112,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,CRFSA,CARREFOURSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,43.84,43.84,43.68,45.0,43.68,43.68,0.0,43.68,43.88,44.286,405131.3,9148.0,342.0,0.0,175.36,4,1.0,20704.32,474,15,218.4,5,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,CRFSA,CARREFOURSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,43.7,43.7,43.04,44.18,43.34,43.34,-0.778,43.26,43.34,43.295,558977.92,12911.0,247.0,0.0,87.4,2,1.0,346.72,8,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,CRFSA,CARREFOURSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,43.22,0.0,41.44,43.5,42.04,42.04,-3.0,42.04,42.08,42.133,1555701.6,36924.0,558.0,0.0,0.0,0,0.0,10510.0,250,7,67221.96,1599,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,CRFSA,CARREFOURSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,42.04,0.0,42.0,42.8,42.0,42.0,-0.095,41.98,42.0,42.315,602908.82,14248.0,377.0,0.0,0.0,0,0.0,36834.0,877,15,37422.0,891,13,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,CRFSA,CARREFOURSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,42.0,42.0,42.0,42.4,42.08,42.08,0.19,42.08,42.1,42.107,498542.6,11840.0,299.0,0.0,27342.0,651,4.0,2104.0,50,1,8289.76,197,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,CRFSA,CARREFOURSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,42.08,42.08,40.04,42.2,41.0,41.0,-2.567,40.78,41.0,41.413,511242.5,12345.0,356.0,0.0,8289.76,197,1.0,8036.0,196,6,6150.0,150,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,CRFSA,CARREFOURSA,Z,MSPOT,MSPOTEQT,MSPOTEQTCRFSA,0,1,0,0,0,40.88,0.0,39.02,40.88,39.5,39.5,-3.659,39.34,39.5,39.492,549529.38,13915.0,340.0,0.0,0.0,0,0.0,7900.0,200,3,2962.5,75,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
