TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,DENGE,DENGE YATIRIM HOLDING A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.58,0.0,2.23,2.64,2.56,2.56,0.0,2.53,2.56,2.539,22878.95,9012.0,57.0,0.0,0.0,0,0.0,43.52,17,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,DENGE,DENGE YATIRIM HOLDING A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.57,0.0,2.54,2.79,2.69,2.69,5.078,2.68,2.69,2.659,41144.18,15471.0,111.0,0.0,0.0,0,0.0,699.4,260,3,632.15,235,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,DENGE,DENGE YATIRIM HOLDING A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.6,0.0,2.54,2.69,2.67,2.67,-0.743,2.66,2.67,2.635,63971.47,24277.0,164.0,0.0,0.0,0,0.0,277.68,104,2,13.35,5,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,DENGE,DENGE HOLDING,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.7,0.0,2.62,2.83,2.69,2.69,0.749,2.65,2.69,2.701,101541.43,37600.0,95.0,0.0,0.0,0,0.0,252.86,94,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,DENGE,DENGE HOLDING,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.69,0.0,2.64,2.75,2.69,2.69,0.0,2.69,2.71,2.706,84119.97,31091.0,87.0,0.0,0.0,0,0.0,807.0,300,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,DENGE,DENGE HOLDING,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.69,0.0,2.67,2.75,2.68,2.68,-0.372,2.67,2.68,2.71,26199.57,9668.0,67.0,0.0,0.0,0,0.0,806.68,301,3,3218.68,1201,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,DENGE,DENGE HOLDING,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.71,0.0,2.58,2.75,2.69,0.0,0.373,2.68,2.69,2.675,51577.25,19284.0,105.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,DENGE,DENGE HOLDING,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.71,0.0,2.58,2.71,2.59,0.0,-3.717,2.58,2.6,2.625,93543.21,35641.0,125.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,DENGE,DENGE HOLDING,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.62,0.0,2.56,2.66,2.59,2.59,0.0,2.56,2.59,2.611,63946.84,24495.0,59.0,0.0,0.0,0,0.0,271.95,105,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,DENGE,DENGE HOLDING,G,MSPOT,MSPOTEQT,MSPOTEQTDENGE,1,0,0,0,0,2.62,0.0,2.49,2.65,2.58,2.58,-0.386,2.57,2.58,2.542,19288.04,7587.0,87.0,0.0,0.0,0,0.0,335.4,130,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
