TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,DESPC,DESPEC BILGISAYAR PAZ. VE TIC.,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,2.94,0.0,2.87,2.97,2.95,2.95,0.0,2.94,2.95,2.915,271715.36,93211.0,390.0,0.0,0.0,0,0.0,2950.0,1000,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,DESPC,DESPEC BILGISAYAR PAZ. VE TIC.,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,2.95,2.95,2.94,3.03,3.01,3.01,2.034,3.01,3.02,2.992,469887.84,157026.0,351.0,0.0,23.6,8,2.0,11883.48,3948,5,7525.0,2500,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,DESPC,DESPEC BILGISAYAR PAZ. VE TIC.,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,3.02,3.02,2.96,3.06,2.99,0.0,-0.664,2.99,3.0,3.01,763730.66,253702.0,427.0,0.0,6040.0,2000,3.0,0.0,0,0,1495.0,500,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,DESPC,DESPEC BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,3.04,3.04,2.97,3.04,2.99,2.99,0.0,2.99,3.0,2.998,321515.29,107239.0,272.0,0.0,5180.16,1704,6.0,2990.0,1000,2,15847.0,5300,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,DESPC,DESPEC BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,3.01,0.0,2.91,3.01,2.97,0.0,-0.669,2.97,2.98,2.954,195259.58,66099.0,217.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,DESPC,DESPEC BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,3.01,3.01,2.92,3.01,2.94,0.0,-1.01,2.94,2.95,2.944,221007.49,75061.0,145.0,0.0,451.5,150,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,DESPC,DESPEC BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,2.95,0.0,2.9,2.97,2.93,0.0,-0.34,2.92,2.93,2.936,372430.75,126846.0,430.0,0.0,0.0,0,0.0,0.0,0,0,744.22,254,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,DESPC,DESPEC BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,2.95,0.0,2.81,2.95,2.86,2.86,-2.389,2.85,2.86,2.85,1068812.21,374980.0,519.0,0.0,0.0,0,0.0,2868.58,1003,6,27170.0,9500,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,DESPC,DESPEC BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,2.86,2.86,2.77,2.88,2.79,2.79,-2.448,2.79,2.8,2.818,596747.59,211785.0,360.0,0.0,2931.5,1025,3.0,11165.58,4002,4,5794.83,2077,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,DESPC,DESPEC BILGISAYAR,N,MSPOT,MSPOTEQT,MSPOTEQTDESPC,0,0,0,0,0,2.81,2.81,2.67,2.81,2.68,2.68,-3.943,2.68,2.69,2.728,626547.7,229687.0,408.0,0.0,1405.0,500,3.0,5360.0,2000,4,2680.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
