TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,DGKLB,DOGTAS KELEBEK MOBILYA A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.3,0.0,1.29,1.36,1.3,1.3,0.0,1.3,1.31,1.323,194600.16,147075.0,426.0,0.0,0.0,0,0.0,1300.0,1000,1,0.0,0,0,1.31,1.36,1.333,20636.98,15478,50,0.0,0.0,0.0,0.0,0,0
2015-12-01,DGKLB,DOGTAS KELEBEK MOBILYA A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.31,0.0,1.3,1.33,1.31,1.31,0.769,1.31,1.32,1.317,42549.14,32317.0,233.0,0.0,0.0,0,0.0,4558.8,3480,11,0.0,0,0,1.32,1.33,1.325,662.5,500,16,0.0,0.0,0.0,0.0,0,0
2015-12-02,DGKLB,DOGTAS KELEBEK MOBILYA A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.32,0.0,1.32,1.35,1.33,1.33,1.527,1.33,1.34,1.333,198045.7,148574.0,188.0,0.0,0.0,0,0.0,13300.0,10000,3,18686.5,14050,5,1.35,1.35,1.35,22950.0,17000,10,0.0,0.0,0.0,0.0,0,0
2015-12-03,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.33,1.33,1.33,1.46,1.4,1.4,5.263,1.39,1.4,1.402,957006.51,682534.0,879.0,0.0,13.3,10,2.0,350.0,250,1,2450.0,1750,3,1.36,1.45,1.408,48431.98,34395,25,0.0,0.0,0.0,0.0,0,0
2015-12-04,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.39,1.39,1.39,1.47,1.41,1.41,0.714,1.41,1.43,1.427,467664.69,327652.0,1585.0,0.0,6.95,5,1.0,2115.0,1500,6,0.0,0,0,1.41,1.46,1.436,24427.82,17015,288,0.0,0.0,0.0,0.0,0,0
2015-12-07,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.43,0.0,1.41,1.47,1.42,1.42,0.709,1.42,1.44,1.436,292779.49,203955.0,220.0,0.0,0.0,0,0.0,16328.58,11499,7,0.0,0,0,1.44,1.44,1.44,288.0,200,1,0.0,0.0,0.0,0.0,0,0
2015-12-08,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.43,1.43,1.43,1.52,1.46,1.46,2.817,1.46,1.47,1.47,574951.79,391032.0,445.0,0.0,729.3,510,2.0,5840.0,4000,4,0.0,0,0,1.46,1.48,1.478,8572.0,5800,6,0.0,0.0,0.0,0.0,0,0
2015-12-09,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.46,1.46,1.46,1.55,1.55,1.55,6.164,1.54,1.55,1.518,376688.9,248221.0,257.0,0.0,29.2,20,1.0,2325.0,1500,3,10540.0,6800,1,1.5,1.5,1.5,300.0,200,1,0.0,0.0,0.0,0.0,0,0
2015-12-10,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.55,1.55,1.38,1.55,1.38,1.38,-10.968,1.38,1.39,1.44,553866.47,384501.0,551.0,0.0,4397.35,2837,6.0,3459.66,2507,11,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.41,0.0,1.3,1.41,1.31,1.31,-5.072,1.31,1.33,1.334,196263.29,147175.0,312.0,0.0,0.0,0,0.0,1310.0,1000,3,0.0,0,0,1.32,1.39,1.349,4727.9,3505,8,0.0,0.0,0.0,0.0,0,0
2015-12-14,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.34,0.0,1.32,1.41,1.34,1.34,2.29,1.34,1.35,1.364,386758.8,283484.0,1312.0,0.0,0.0,0,0.0,1340.0,1000,3,0.0,0,0,1.36,1.41,1.386,15173.5,10950,35,0.0,0.0,0.0,0.0,0,0
2015-12-15,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.35,1.35,1.35,1.41,1.36,1.36,1.493,1.36,1.37,1.376,237535.95,172678.0,1988.0,0.0,135.0,100,2.0,14960.0,11000,12,0.0,0,0,1.38,1.4,1.392,522.0,375,10,0.0,0.0,0.0,0.0,0,0
2015-12-16,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.37,1.37,1.33,1.37,1.34,1.34,-1.471,1.33,1.34,1.343,149847.78,111577.0,292.0,0.0,438.4,320,5.0,375.2,280,4,353.76,264,22,1.34,1.34,1.34,3350.0,2500,1,0.0,0.0,0.0,0.0,0,0
2015-12-17,DGKLB,DOGTAS KELEBEK MOBILYA,N,MSPOT,MSPOTEQT,MSPOTEQTDGKLB,0,0,0,0,0,1.35,1.35,1.34,1.37,1.36,1.36,1.493,1.36,1.37,1.354,104528.94,77209.0,119.0,0.0,8235.0,6100,4.0,6936.0,5100,11,408.0,300,2,1.36,1.36,1.36,68.0,50,1,0.0,0.0,0.0,0.0,0,0
