TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2020-08-27,DNISI,DINAMIK ISI MAKINA YALITIM BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTDNISI,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-08-28,DNISI,DINAMIK ISI MAKINA YALITIM BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTDNISI,0,0,0,0,0,3.52,0.0,3.52,3.52,3.52,0.0,0.0,0.0,0.0,3.52,30624000.0,8700000.0,280499.0,3.52,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-03,DNISI,DINAMIK ISI MAKINA YALITIM,N,MSPOT,MSPOTEQT,MSPOTEQTDNISI,0,0,0,0,0,3.87,3.87,3.87,3.87,3.87,3.87,0.0,3.87,0.0,3.87,227443.77,58771.0,2141.0,0.0,6153.3,1590,61.0,325.08,84,3,650.16,168,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-04,DNISI,DINAMIK ISI MAKINA YALITIM,N,MSPOT,MSPOTEQT,MSPOTEQTDNISI,0,0,0,0,0,4.25,4.25,4.25,4.25,4.25,4.25,9.819,4.25,0.0,4.25,181776.75,42771.0,1565.0,0.0,15202.25,3577,125.0,535.5,126,5,131.75,31,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-07,DNISI,DINAMIK ISI MAKINA YALITIM,N,MSPOT,MSPOTEQT,MSPOTEQTDNISI,0,0,0,0,0,4.67,4.67,4.67,4.67,4.67,4.67,9.882,4.67,0.0,4.67,272457.14,58342.0,2065.0,0.0,23672.23,5069,183.0,448.32,96,4,583.75,125,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-08,DNISI,DINAMIK ISI MAKINA YALITIM,N,MSPOT,MSPOTEQT,MSPOTEQTDNISI,0,0,0,0,0,5.13,5.13,5.13,5.13,5.13,5.13,9.85,5.13,0.0,5.13,584948.25,114025.0,3948.0,0.0,84414.15,16455,549.0,2026.35,395,15,328.32,64,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-09,DNISI,DINAMIK ISI MAKINA YALITIM,N,MSPOT,MSPOTEQT,MSPOTEQTDNISI,0,0,0,0,0,5.64,5.64,5.64,5.64,5.64,5.64,9.942,5.64,0.0,5.64,484041.72,85823.0,3071.0,0.0,78582.12,13933,476.0,1252.08,222,8,366.6,65,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-10,DNISI,DINAMIK ISI MAKINA YALITIM,N,MSPOT,MSPOTEQT,MSPOTEQTDNISI,0,0,0,0,0,6.2,6.2,6.2,6.2,6.2,6.2,9.929,6.2,0.0,6.2,784225.6,126488.0,4426.0,0.0,100068.0,16140,495.0,1847.6,298,10,192.2,31,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-11,DNISI,DINAMIK ISI MAKINA YALITIM,N,MSPOT,MSPOTEQT,MSPOTEQTDNISI,0,0,0,0,0,6.82,6.82,6.82,6.82,6.82,6.82,10.0,6.82,0.0,6.82,2724699.12,399516.0,13431.0,0.0,406847.1,59655,1944.0,6683.6,980,32,2666.62,391,13,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2020-09-14,DNISI,DINAMIK ISI MAKINA YALITIM,N,MSPOT,MSPOTEQT,MSPOTEQTDNISI,0,0,0,1,0,7.5,7.5,7.5,7.5,7.5,7.5,9.971,7.5,0.0,7.5,8369235.0,1115898.0,35276.0,0.0,1856827.5,247577,7340.0,42330.0,5644,194,6217.5,829,37,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
