TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,EKGYO,EMLAK KONUT GARIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.85,2.85,2.75,2.88,2.78,2.78,0.0,2.78,2.79,2.798,102463743.77,36625583.0,4412.0,0.0,950021.85,333341,16.0,15154230.36,5451162,116,949934.34,341703,20,2.76,2.87,2.799,11574541.81,4134819,644,0.0,0.0,0.0,0.0,0,0
2015-12-01,EKGYO,EMLAK KONUT GARIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.79,2.79,2.78,2.86,2.86,2.86,2.878,2.85,2.86,2.823,173309543.94,61382549.0,2630.0,0.0,213926.04,76676,18.0,5391380.28,1885098,79,42.9,15,2,2.78,2.86,2.822,7164857.04,2538599,115,0.0,0.0,0.0,0.0,0,0
2015-12-02,EKGYO,EMLAK KONUT GARIMENKUL YAT ORT,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.88,2.88,2.81,2.92,2.83,2.83,-1.049,2.83,2.84,2.865,199304686.75,69536002.0,6997.0,0.0,3868686.72,1343294,37.0,2094154.72,739984,77,221566.36,78292,15,2.81,2.91,2.861,26422644.05,9235451,2259,2.9,2.9,2.9,4350000.0,1500000,1
2015-12-03,EKGYO,EMLAK KONUT GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.84,2.84,2.78,2.85,2.78,2.78,-1.767,2.78,2.79,2.817,129044363.31,45802388.0,3111.0,0.0,110433.4,38885,17.0,3000440.1,1079295,68,525147.56,188902,25,2.78,2.85,2.821,13050636.17,4626590,740,0.0,0.0,0.0,0.0,0,0
2015-12-04,EKGYO,EMLAK KONUT GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.8,2.8,2.65,2.81,2.68,2.68,-3.597,2.68,2.69,2.7,180645813.15,66911969.0,5591.0,0.0,349521.2,124829,13.0,2507260.6,935545,93,1092780.72,407754,31,2.65,2.79,2.696,28855204.0,10701464,967,0.0,0.0,0.0,0.0,0,0
2015-12-07,EKGYO,EMLAK KONUT GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.69,2.69,2.6,2.73,2.71,2.71,1.119,2.7,2.71,2.674,145978416.45,54588952.0,5037.0,0.0,913055.94,339426,49.0,2783695.74,1027194,64,1372083.84,506304,15,2.61,2.72,2.66,24731923.68,9296333,665,0.0,0.0,0.0,0.0,0,0
2015-12-08,EKGYO,EMLAK KONUT GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.69,2.69,2.6,2.69,2.62,2.62,-3.321,2.62,2.63,2.65,139356508.81,52587691.0,15195.0,0.0,1476390.36,548844,46.0,3253481.94,1241787,95,986029.14,376347,24,2.61,2.68,2.655,30106881.46,11339059,6748,0.0,0.0,0.0,0.0,0,0
2015-12-09,EKGYO,EMLAK KONUT GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.63,2.63,2.59,2.7,2.69,2.69,2.672,2.69,2.7,2.64,105132478.29,39834263.0,5535.0,0.0,275276.84,104668,18.0,1972628.11,733319,44,1533789.58,570182,50,2.6,2.7,2.63,6100159.55,2319697,361,2.63,2.64,2.635,7114500.0,2700000,2
2015-12-10,EKGYO,EMLAK KONUT GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.67,2.67,2.57,2.74,2.58,2.58,-4.089,2.58,2.59,2.659,128759040.27,48426378.0,5163.0,0.0,412888.8,154640,32.0,3586958.52,1390294,102,296700.0,115000,3,2.58,2.73,2.674,15959367.37,5968601,1191,0.0,0.0,0.0,0.0,0,0
2015-12-11,EKGYO,EMLAK KONUT GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTEKGYO,0,1,1,0,0,2.6,2.6,2.52,2.61,2.56,2.56,-0.775,2.55,2.56,2.554,113098029.57,44279631.0,3979.0,0.0,1121104.4,431194,21.0,2773194.24,1083279,67,1820851.2,711270,31,2.52,2.6,2.555,13554374.61,5305581,450,0.0,0.0,0.0,0.0,0,0
