TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-07-06,ESCAR,ESCAR TURIZM TASIMACILIK BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTESCAR,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-08,ESCAR,ESCAR TURIZM TASIMACILIK BIRINCIL PIYASA,N,PMOSA,PMOSAEQT,PMOSAEQTESCAR,0,0,0,0,0,15.0,0.0,15.0,15.0,15.0,0.0,0.0,15.0,0.0,15.0,165000000.0,11000000.0,29810.0,15.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-13,ESCAR,ESCAR TURIZM TASIMACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTESCAR,0,0,0,0,0,15.4,15.4,15.37,16.1,15.42,15.42,0.0,15.41,15.42,15.573,208935604.93,13416369.0,38487.0,0.0,21661763.2,1406608,1596.0,3149858.82,204271,108,494257.26,32053,22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-14,ESCAR,ESCAR TURIZM TASIMACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTESCAR,0,0,0,0,0,15.45,15.45,15.45,15.97,15.62,15.62,1.297,15.62,15.63,15.682,52774048.99,3365333.0,10590.0,0.0,188968.95,12231,124.0,1150381.76,73648,51,193313.12,12376,22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-16,ESCAR,ESCAR TURIZM TASIMACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTESCAR,0,0,0,0,0,15.75,15.75,15.7,16.91,16.41,16.41,5.058,16.41,16.42,16.34,69360229.89,4244844.0,15580.0,0.0,511938.0,32504,129.0,542366.91,33051,65,93110.34,5674,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-19,ESCAR,ESCAR TURIZM TASIMACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTESCAR,0,0,0,0,0,16.41,16.41,16.31,16.84,16.71,16.71,1.828,16.71,16.72,16.572,18149194.43,1095147.0,4154.0,0.0,243393.12,14832,65.0,311290.59,18629,41,339797.85,20335,32,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-26,ESCAR,ESCAR TURIZM TASIMACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTESCAR,0,0,0,0,0,16.8,16.8,16.5,17.5,16.62,16.62,-0.539,16.62,16.63,16.881,64775868.02,3837211.0,11695.0,0.0,304080.0,18100,112.0,556254.78,33469,38,2592254.64,155972,25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-27,ESCAR,ESCAR TURIZM TASIMACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTESCAR,0,0,0,0,0,16.64,16.64,16.43,16.77,16.44,16.44,-1.083,16.44,16.45,16.569,15793786.41,953213.0,3611.0,0.0,110705.92,6653,59.0,149965.68,9122,26,2466.0,150,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-28,ESCAR,ESCAR TURIZM TASIMACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTESCAR,0,0,0,0,0,16.44,16.44,16.38,17.59,17.17,17.17,4.44,17.16,17.17,17.043,99149137.11,5817586.0,15851.0,0.0,23903.76,1454,29.0,262941.38,15314,41,210899.11,12283,18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-29,ESCAR,ESCAR TURIZM TASIMACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTESCAR,0,0,0,0,0,17.19,17.19,16.97,17.45,17.22,17.22,0.291,17.2,17.22,17.192,32893001.35,1913238.0,5314.0,0.0,51398.1,2990,22.0,112963.2,6560,26,282459.66,16403,22,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
