TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,GNPWR,GENPOWER HOLDING A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.36,0.36,0.35,0.36,0.35,0.35,0.0,0.35,0.36,0.355,10366.01,29171.0,58.0,0.0,2.52,7,1.0,350.0,1000,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,GNPWR,GENPOWER HOLDING A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.34,0.34,0.29,0.34,0.32,0.32,-8.571,0.32,0.33,0.311,43803.07,140812.0,102.0,0.0,3835.2,11280,12.0,1600.0,5000,2,1858.56,5808,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,GNPWR,GENPOWER HOLDING A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.33,0.33,0.32,0.33,0.32,0.32,0.0,0.31,0.32,0.323,57321.23,177511.0,112.0,0.0,712.47,2159,7.0,640.0,2000,3,213.12,666,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.32,0.32,0.32,0.32,0.32,0.0,0.0,0.31,0.32,0.32,54469.76,170218.0,85.0,0.0,11880.64,37127,9.0,0.0,0,0,426.24,1332,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.31,0.31,0.31,0.31,0.31,0.0,-3.125,0.31,0.32,0.31,43063.03,138913.0,87.0,0.0,2666.31,8601,15.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.31,0.31,0.3,0.31,0.3,0.3,-3.226,0.29,0.3,0.302,45068.56,149442.0,102.0,0.0,7314.76,23596,12.0,12.0,40,1,33.3,111,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.29,0.3,0.3,46667.4,155558.0,74.0,0.0,6324.3,21081,14.0,12207.6,40692,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.29,0.29,0.29,0.29,0.29,0.29,-3.333,0.28,0.29,0.29,52109.52,179688.0,108.0,0.0,2900.0,10000,7.0,7558.85,26065,3,580.0,2000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.29,0.29,0.29,0.32,0.32,0.32,10.345,0.32,0.33,0.307,74660.87,242801.0,98.0,0.0,5636.73,19437,13.0,18192.96,56853,10,464.96,1453,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.34,0.34,0.34,0.38,0.38,0.38,18.75,0.38,0.0,0.354,221861.81,625959.0,212.0,0.0,22476.38,66107,23.0,31223.84,82168,27,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.45,0.45,0.45,0.45,0.45,0.45,18.421,0.45,0.0,0.45,171966.15,382147.0,181.0,0.0,55157.85,122573,61.0,4796.1,10658,10,83.25,185,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.5,0.5,0.39,0.5,0.39,0.39,-13.333,0.38,0.39,0.473,225766.2,477478.0,325.0,0.0,114091.0,228182,103.0,12117.3,31070,16,277.68,712,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.39,0.39,0.36,0.39,0.36,0.36,-7.692,0.36,0.37,0.367,61563.51,167890.0,103.0,0.0,8750.43,22437,21.0,14624.28,40623,17,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.38,0.38,0.38,0.38,0.38,0.38,5.556,0.37,0.38,0.38,76694.26,201827.0,101.0,0.0,3436.34,9043,14.0,2727.64,7178,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.34,0.34,0.34,0.35,0.35,0.0,-7.895,0.36,0.37,0.347,48720.6,140474.0,89.0,0.0,2227.68,6552,11.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.38,0.38,0.37,0.38,0.37,0.37,5.714,0.37,0.38,0.379,54108.52,142832.0,70.0,0.0,5320.38,14001,9.0,3815.07,10311,7,2387.61,6453,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,GNPWR,GENPOWER HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTGNPWR,0,0,0,0,0,0.36,0.36,0.35,0.36,0.35,0.35,-5.405,0.35,0.36,0.35,50685.91,144661.0,68.0,0.0,1964.16,5456,5.0,14.0,40,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
