TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,GUBRF,GUBRE FABRIKALARI,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.8,6.8,6.62,6.86,6.64,6.64,0.0,6.64,6.66,6.712,14284316.82,2128197.0,2508.0,0.0,11723.2,1724,13.0,517262.64,77901,59,77322.8,11645,9,6.63,6.77,6.711,560864.51,83571,84,0.0,0.0,0.0,0.0,0,0
2015-12-01,GUBRF,GUBRE FABRIKALARI,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.69,6.69,6.66,6.82,6.8,6.8,2.41,6.79,6.8,6.749,11833318.81,1753347.0,2050.0,0.0,90080.85,13465,14.0,216532.4,31843,36,282356.4,41523,23,6.67,6.81,6.755,544998.4,80675,75,0.0,0.0,0.0,0.0,0,0
2015-12-02,GUBRF,GUBRE FABRIKALARI,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.86,6.86,6.67,6.91,6.72,6.72,-1.176,6.72,6.75,6.826,19208458.92,2813879.0,3083.0,0.0,351232.0,51200,37.0,545018.88,81104,58,6720.0,1000,2,6.71,6.89,6.83,532307.27,77934,120,0.0,0.0,0.0,0.0,0,0
2015-12-03,GUBRF,GUBRE FABRIK.,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.73,6.73,6.61,6.84,6.64,6.64,-1.19,6.64,6.65,6.747,15971799.82,2367377.0,2998.0,0.0,77226.75,11475,22.0,295400.32,44488,38,8479.28,1277,3,6.72,6.84,6.777,190106.78,28052,39,0.0,0.0,0.0,0.0,0,0
2015-12-04,GUBRF,GUBRE FABRIK.,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.66,6.66,6.4,6.69,6.54,6.54,-1.506,6.54,6.55,6.507,15913808.6,2445810.0,3415.0,0.0,38341.62,5757,20.0,387096.06,59189,37,293619.84,44896,19,6.42,6.69,6.528,286327.28,43860,69,0.0,0.0,0.0,0.0,0,0
2015-12-07,GUBRF,GUBRE FABRIK.,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.51,6.51,6.3,6.53,6.3,6.3,-3.67,6.3,6.31,6.358,14950944.27,2351460.0,3324.0,0.0,32400.27,4977,21.0,477420.3,75781,75,67794.3,10761,24,6.31,6.52,6.36,120533.13,18952,36,0.0,0.0,0.0,0.0,0,0
2015-12-08,GUBRF,GUBRE FABRIK.,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.3,6.3,5.94,6.34,5.94,5.94,-5.714,5.94,5.95,6.127,15626059.69,2550397.0,4303.0,0.0,24777.9,3933,32.0,582209.1,98015,115,363545.82,61203,39,6.01,6.32,6.158,77063.8,12514,37,0.0,0.0,0.0,0.0,0,0
2015-12-09,GUBRF,GUBRE FABRIK.,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,5.98,5.98,5.79,6.11,6.08,6.08,2.357,6.08,6.1,5.96,18091301.4,3035556.0,4286.0,0.0,139955.92,23404,26.0,212976.32,35029,33,212933.76,35022,22,5.79,6.06,5.986,712293.89,118991,156,0.0,0.0,0.0,0.0,0,0
2015-12-10,GUBRF,GUBRE FABRIK.,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.07,6.07,6.01,6.46,6.14,6.14,0.987,6.14,6.15,6.261,67123939.82,10721802.0,9671.0,0.0,80494.27,13261,22.0,1036161.84,168756,89,488854.52,79618,40,6.01,6.45,6.323,6197509.56,980109,798,0.0,0.0,0.0,0.0,0,0
2015-12-11,GUBRF,GUBRE FABRIK.,Z,MSPOT,MSPOTEQT,MSPOTEQTGUBRF,0,1,0,0,0,6.17,6.17,5.94,6.22,5.96,5.96,-2.932,5.96,5.99,6.124,31245947.05,5102094.0,5597.0,0.0,237551.17,38501,31.0,809856.72,135882,71,49962.68,8383,6,5.96,6.22,6.142,1878207.79,305804,363,0.0,0.0,0.0,0.0,0,0
