TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,HDFGS,HEDEF GIRISIM SERMAYESI YAT. ORT,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,7.95,7.95,6.2,8.58,6.3,6.3,0.0,6.29,6.3,7.159,3748003.97,523530.0,5172.0,0.0,23850.0,3000,10.0,22005.9,3493,16,37.8,6,1,6.38,8.24,7.876,353040.52,44827,224,0.0,0.0,0.0,0.0,0,0
2015-12-01,HDFGS,HEDEF GIRISIM SERMAYESI YAT. ORT,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,6.6,6.6,5.04,6.6,5.04,5.04,-20.0,0.0,5.04,5.487,4041038.47,736408.0,3818.0,0.0,16500.0,2500,9.0,14459.76,2869,17,504.0,100,1,5.08,6.35,5.774,252228.13,43681,262,0.0,0.0,0.0,0.0,0,0
2015-12-02,HDFGS,HEDEF GIRISIM SERMAYESI YAT. ORT,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,4.95,4.95,4.5,5.88,4.98,4.98,-1.19,4.95,4.98,5.149,7681200.8,1491684.0,5452.0,0.0,15721.2,3176,16.0,115282.02,23149,18,4606.5,925,28,4.57,5.85,5.096,1087102.03,213325,516,0.0,0.0,0.0,0.0,0,0
2015-12-03,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,5.08,5.08,4.59,5.4,5.4,5.4,8.434,5.3,5.4,5.058,7541323.96,1490910.0,6023.0,0.0,3083.56,607,4.0,108043.2,20008,41,22971.6,4254,3,4.65,5.38,5.12,809402.17,158099,419,0.0,0.0,0.0,0.0,0,0
2015-12-04,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,5.48,5.48,5.0,5.94,5.49,5.49,1.667,5.48,5.49,5.323,4064631.63,763549.0,4096.0,0.0,8263.84,1508,11.0,13670.1,2490,9,148.23,27,1,5.11,5.59,5.218,427607.74,81947,160,0.0,0.0,0.0,0.0,0,0
2015-12-07,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,5.8,5.8,4.57,5.8,4.6,4.6,-16.211,4.58,4.6,4.983,8892282.71,1784434.0,6431.0,0.0,20984.4,3618,21.0,55968.2,12167,22,78595.6,17086,10,4.66,5.71,5.187,912208.61,175861,499,0.0,0.0,0.0,0.0,0,0
2015-12-08,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,4.7,4.7,4.0,4.7,4.07,4.07,-11.522,4.06,4.07,4.234,3858400.47,911357.0,3541.0,0.0,18377.0,3910,11.0,73235.58,17994,10,2035.0,500,3,4.07,4.59,4.29,378060.65,88129,187,0.0,0.0,0.0,0.0,0,0
2015-12-09,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,4.05,4.05,3.69,4.43,4.43,4.43,8.845,4.37,4.43,4.054,6677620.39,1647116.0,7325.0,0.0,891.0,220,3.0,51715.82,11674,28,46302.36,10452,3,3.76,4.43,4.017,783721.21,195097,538,0.0,0.0,0.0,0.0,0,0
2015-12-10,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,4.53,4.53,4.01,4.6,4.01,4.01,-9.481,4.0,4.01,4.3,1234855.57,287205.0,1928.0,0.0,847.11,187,4.0,16441.0,4100,15,14536.25,3625,21,4.2,4.57,4.491,78845.96,17558,69,0.0,0.0,0.0,0.0,0,0
2015-12-11,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,3.99,3.99,3.82,4.64,4.3,4.3,7.232,4.29,4.3,4.143,2379034.87,574190.0,2880.0,0.0,690.27,173,5.0,25172.2,5854,13,6583.3,1531,5,3.89,4.58,4.029,134351.58,33345,65,0.0,0.0,0.0,0.0,0,0
2015-12-14,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,4.25,4.25,3.95,4.48,4.34,4.34,0.93,4.26,4.34,4.204,1309443.75,311511.0,1812.0,0.0,8695.5,2046,4.0,21331.1,4915,23,0.0,0,0,4.0,4.48,4.166,45958.09,11033,44,0.0,0.0,0.0,0.0,0,0
2015-12-15,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,4.34,4.34,4.21,4.68,4.6,4.6,5.991,4.6,4.63,4.543,1751744.92,385568.0,2229.0,0.0,2170.0,500,1.0,26597.2,5782,20,6058.2,1317,8,4.48,4.68,4.57,20503.1,4486,76,0.0,0.0,0.0,0.0,0,0
2015-12-16,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,4.5,4.5,4.5,5.52,5.52,5.52,20.0,5.52,0.0,5.126,3549564.94,692479.0,3437.0,0.0,14296.5,3177,4.0,15732.0,2850,19,2539.2,460,1,4.68,5.44,5.134,413432.05,80529,297,0.0,0.0,0.0,0.0,0,0
2015-12-17,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,5.7,5.7,5.35,5.88,5.4,5.4,-2.174,5.39,5.4,5.6,2000441.46,357231.0,2006.0,0.0,17236.8,3024,22.0,21438.0,3970,15,11210.4,2076,12,5.42,5.87,5.601,132892.79,23726,121,0.0,0.0,0.0,0.0,0,0
2015-12-18,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,5.46,5.46,5.1,5.83,5.74,5.74,6.296,5.72,5.74,5.489,4253366.79,774844.0,3689.0,0.0,6966.96,1276,3.0,49099.96,8554,16,5.74,1,1,5.21,5.78,5.531,504982.39,91304,178,0.0,0.0,0.0,0.0,0,0
2015-12-21,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,6.38,6.38,5.86,6.88,5.9,5.9,2.787,5.89,5.9,6.172,3402491.92,551304.0,3975.0,0.0,23618.76,3702,14.0,13894.5,2355,16,3174.2,538,4,5.99,6.88,6.157,399928.02,64958,360,0.0,0.0,0.0,0.0,0,0
2015-12-22,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,6.0,6.0,4.92,6.27,5.0,5.0,-15.254,4.99,5.0,5.483,6016083.94,1097224.0,5358.0,0.0,26730.0,4455,3.0,18475.0,3695,9,3270.0,654,5,4.98,6.27,5.676,451833.17,79610,400,0.0,0.0,0.0,0.0,0,0
2015-12-23,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,5.0,5.0,4.18,5.24,4.2,4.2,-16.0,4.19,4.2,4.686,8893793.55,1897974.0,6160.0,0.0,65030.0,13006,13.0,22629.6,5388,10,1264.2,301,5,4.21,5.2,4.778,549931.7,115085,371,0.0,0.0,0.0,0.0,0,0
2015-12-24,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,4.14,4.14,3.49,4.16,3.5,3.5,-16.667,3.49,3.5,3.786,7434707.14,1963857.0,6863.0,0.0,11906.64,2876,18.0,74231.5,21209,19,61250.0,17500,17,3.51,4.16,3.923,883266.79,225140,651,0.0,0.0,0.0,0.0,0,0
2015-12-25,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,3.51,3.51,2.89,3.55,2.9,2.9,-17.143,2.89,2.9,3.248,17201766.1,5296679.0,10170.0,0.0,7300.8,2080,7.0,71482.1,24649,30,3065.3,1057,8,2.92,3.55,3.355,2380106.92,709324,1241,0.0,0.0,0.0,0.0,0,0
2015-12-28,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,2.9,2.9,2.82,3.41,3.35,3.35,15.517,3.35,3.36,3.199,13285327.15,4152336.0,7148.0,0.0,43761.0,15090,25.0,43898.4,13104,18,61583.05,18383,17,2.87,3.4,3.148,1900538.25,603779,905,0.0,0.0,0.0,0.0,0,0
2015-12-29,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,3.36,3.36,2.9,3.6,3.42,3.42,2.09,3.41,3.42,3.289,18796564.05,5714352.0,10978.0,0.0,5066.88,1508,10.0,23396.22,6841,22,30797.1,9005,12,2.96,3.6,3.232,1824149.54,564443,1046,0.0,0.0,0.0,0.0,0,0
2015-12-30,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,3.42,3.42,2.78,3.48,2.79,2.79,-18.421,2.78,2.79,3.105,22501193.25,7247535.0,9867.0,0.0,18652.68,5454,15.0,72202.41,25879,45,32712.75,11725,16,2.89,3.44,3.26,2282929.59,700181,1001,0.0,0.0,0.0,0.0,0,0
2015-12-31,HDFGS,HEDEF GIRISIM,K,MSPOT,MSPOTEQT,MSPOTEQTHDFGS,0,0,0,0,0,2.79,2.79,2.24,2.8,2.24,2.24,-19.713,0.0,2.24,2.491,21572637.31,8660679.0,12145.0,0.0,34364.43,12317,20.0,9667.84,4316,10,3487.68,1557,6,2.34,2.8,2.544,2750386.53,1081052,1245,0.0,0.0,0.0,0.0,0,0
