TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-10-22,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,2.15,2.15,2.15,2.15,2.15,2.15,0.0,2.15,0.0,2.15,689537.25,320715.0,2121.0,0.0,42234.6,19644,144.0,771.85,359,2,1636.15,761,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-25,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,2.36,2.36,2.36,2.36,2.36,2.36,9.767,2.36,0.0,2.36,1753583.84,743044.0,4864.0,0.0,332682.12,140967,895.0,842.52,357,6,3308.72,1402,15,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-26,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,2.59,2.59,2.59,2.59,2.59,2.59,9.746,2.59,0.0,2.59,2349855.2,907280.0,5760.0,0.0,758320.92,292788,1780.0,419.58,162,2,463.61,179,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-27,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,2.84,2.84,2.84,2.84,2.84,2.84,9.653,2.84,0.0,2.84,3507246.64,1234946.0,7597.0,0.0,1263635.28,444942,2675.0,37933.88,13357,8,2033.44,716,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-10-28,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.12,3.12,3.12,3.12,3.12,3.12,9.859,3.12,0.0,3.12,10117030.56,3242638.0,12214.0,0.0,2019463.68,647264,3437.0,16919.76,5423,33,10230.48,3279,24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-01,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.43,3.43,3.43,3.43,3.43,3.43,9.936,3.43,0.0,3.43,37088692.9,10813030.0,19473.0,0.0,22637464.92,6599844,5780.0,5968.2,1740,12,4301.22,1254,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-02,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.6,3.6,3.45,3.77,3.77,3.77,9.913,3.77,0.0,3.73,146081772.7,39168926.0,57508.0,0.0,6519002.4,1810834,2967.0,7811.44,2072,12,30227.86,8018,11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-03,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.8,3.8,3.4,3.87,3.4,3.4,-9.814,0.0,3.4,3.5,164602084.0,47034357.0,43759.0,0.0,2877937.6,757352,585.0,1844000.2,542353,35,1999.2,588,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-04,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.32,3.32,3.19,3.74,3.59,3.59,5.588,3.59,3.6,3.485,151333031.16,43423645.0,44022.0,0.0,1515228.08,456394,479.0,982256.31,273609,187,50371.29,14031,29,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-05,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.63,3.63,3.45,3.77,3.62,3.62,0.836,3.62,3.63,3.638,89004418.53,24495816.0,17384.0,0.0,451677.27,124429,135.0,463649.6,128080,55,128647.56,35538,19,0.0,0.0,0.0,0.0,0,0,3.6,3.6,3.6,10350000.0,2875000,1
2021-11-08,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.61,3.61,3.55,3.73,3.6,3.6,-0.552,3.6,3.61,3.641,38241495.47,10504219.0,8885.0,0.0,125804.89,34849,67.0,518738.4,144094,52,309265.2,85907,24,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-09,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.6,3.6,3.42,3.6,3.42,3.42,-5.0,3.41,3.42,3.511,23500577.01,6692694.0,7209.0,0.0,54313.2,15087,50.0,578872.62,169261,190,107391.42,31401,33,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-10,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.4,3.4,3.28,3.46,3.35,3.35,-2.047,3.34,3.35,3.359,17820938.24,5305790.0,5775.0,0.0,105423.8,31007,54.0,265869.4,79364,51,523407.35,156241,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-11,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.32,3.32,3.21,3.34,3.23,3.23,-3.582,3.22,3.23,3.273,11948409.57,3650945.0,4455.0,0.0,21639.76,6518,28.0,110424.01,34187,23,16150.0,5000,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-12,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.23,3.23,3.19,3.55,3.55,3.55,9.907,3.55,0.0,3.466,52996272.37,15288125.0,9444.0,0.0,33750.27,10449,47.0,802.3,226,2,26720.85,7527,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-15,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.8,3.8,3.54,3.86,3.59,3.59,1.127,3.58,3.59,3.681,71237636.73,19309369.0,10279.0,0.0,1007239.4,265063,166.0,279269.69,77791,49,73821.17,20563,11,0.0,0.0,0.0,0.0,0,0,3.7,3.7,3.7,31912500.0,8625000,3
2021-11-16,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.56,3.56,3.33,3.56,3.44,3.44,-4.178,3.44,3.45,3.414,25665266.25,7518556.0,8026.0,0.0,37084.52,10417,48.0,271584.56,78949,27,200194.24,58196,19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-17,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.58,3.58,3.46,3.78,3.69,3.69,7.267,3.68,3.69,3.661,87368280.53,23866554.0,17599.0,0.0,880594.08,245976,153.0,314258.85,85165,68,129164.76,35004,18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-18,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.69,3.69,3.52,3.89,3.65,3.65,-1.084,3.65,3.66,3.69,42029753.72,11391302.0,10273.0,0.0,236912.76,64204,90.0,340698.3,93342,53,57670.0,15800,11,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-19,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.66,3.66,3.59,3.76,3.64,3.64,-0.274,3.64,3.65,3.674,32714473.52,8885182.0,5411.0,0.0,64712.46,17681,31.0,191100.0,52500,40,188715.8,51845,23,0.0,0.0,0.0,0.0,0,0,3.7,3.7,3.7,9657000.0,2610000,1
2021-11-22,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.7,3.7,3.61,3.72,3.65,3.65,0.275,3.65,3.66,3.654,19265782.27,5272249.0,4952.0,0.0,279486.9,75537,55.0,505371.7,138458,58,47902.6,13124,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-23,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.64,3.64,3.45,3.68,3.55,3.55,-2.74,3.54,3.55,3.59,18512086.26,5156502.0,4871.0,0.0,45823.96,12589,17.0,96290.2,27124,19,8289.25,2335,14,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-24,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.55,3.55,3.53,3.64,3.55,3.55,0.0,3.55,3.56,3.567,19687279.43,5519297.0,3767.0,0.0,29124.2,8204,32.0,305395.85,86027,41,109961.25,30975,10,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-11-25,HEDEF,HEDEF HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTHEDEF,0,0,0,0,0,3.56,3.56,3.47,3.57,3.52,3.52,-0.845,3.51,3.52,3.512,11940492.48,3400201.0,2672.0,0.0,35681.88,10023,18.0,425289.92,120821,25,48213.44,13697,12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
