TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.84,0.84,0.81,0.84,0.81,0.0,0.0,0.81,0.82,0.826,1202.46,1455.0,12.0,0.0,0.84,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.8,0.8,0.78,0.8,0.8,0.0,-1.235,0.8,0.83,0.796,3022.64,3796.0,27.0,0.0,320.0,400,5.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.84,0.84,0.82,0.84,0.82,0.0,2.5,0.82,0.83,0.828,1901.17,2296.0,19.0,0.0,92.4,110,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.82,0.0,0.81,0.82,0.81,0.81,-1.22,0.8,0.81,0.817,4233.17,5180.0,17.0,0.0,0.0,0,0.0,818.1,1010,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.81,0.81,0.77,0.81,0.78,0.78,-3.704,0.78,0.81,0.771,13481.2,17485.0,59.0,0.0,234.9,290,3.0,479.7,615,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.8,2.564,0.79,0.8,0.8,8577.6,10722.0,40.0,0.0,592.8,741,7.0,80.0,100,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.83,0.83,0.81,0.83,0.81,0.0,1.25,0.81,0.82,0.82,1282.24,1564.0,17.0,0.0,12.45,15,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.81,0.81,0.81,0.81,0.81,0.0,0.0,0.8,0.81,0.81,2655.99,3279.0,12.0,0.0,405.0,500,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.81,0.0,0.81,0.81,0.81,0.0,0.0,0.8,0.81,0.81,1052.19,1299.0,12.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.81,0.81,0.77,0.81,0.78,0.78,-3.704,0.78,0.8,0.772,1270.71,1646.0,13.0,0.0,8.91,11,2.0,117.0,150,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.79,0.79,0.79,0.79,0.79,0.0,1.282,0.78,0.79,0.79,2102.98,2662.0,10.0,0.0,7.9,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.78,0.0,0.77,0.78,0.77,0.77,-2.532,0.77,0.78,0.771,2316.34,3006.0,16.0,0.0,0.0,0,0.0,4.62,6,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.85,0.85,0.83,0.85,0.83,0.83,7.792,0.78,0.83,0.83,2891.92,3484.0,16.0,0.0,8.5,10,1.0,1245.0,1500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.81,0.81,0.8,0.81,0.8,0.8,-3.614,0.78,0.8,0.804,3548.93,4416.0,19.0,0.0,810.0,1000,3.0,120.0,150,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.82,0.82,0.8,0.82,0.8,0.0,0.0,0.8,0.81,0.818,1195.8,1462.0,11.0,0.0,8.2,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.81,0.81,0.8,0.81,0.8,0.8,0.0,0.78,0.8,0.806,175.69,218.0,11.0,0.0,15.39,19,3.0,40.0,50,2,28.0,35,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.8,0.8,0.73,0.8,0.75,0.0,-6.25,0.75,0.79,0.773,1842.65,2385.0,11.0,0.0,8.0,10,1.0,0.0,0,0,3.75,5,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.76,0.76,0.76,0.79,0.79,0.79,5.333,0.78,0.79,0.774,1096.48,1417.0,20.0,0.0,456.0,600,3.0,25.28,32,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.8,0.8,0.79,0.8,0.79,0.79,0.0,0.79,0.8,0.79,635.31,804.0,14.0,0.0,12.0,15,1.0,55.3,70,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.8,0.8,0.8,0.8,0.8,0.0,1.266,0.79,0.8,0.8,104.8,131.0,5.0,0.0,8.0,10,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-28,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.75,0.75,0.75,0.8,0.8,0.0,0.0,0.77,0.8,0.764,288.81,378.0,9.0,0.0,112.5,150,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.8,0.8,0.78,0.8,0.78,0.0,-2.5,0.77,0.78,0.798,2451.14,3073.0,18.0,0.0,320.0,400,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.8,0.8,0.78,0.8,0.78,0.0,0.0,0.77,0.79,0.781,919.56,1177.0,11.0,0.0,8.0,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.79,0.79,0.77,0.79,0.77,0.0,-1.282,0.76,0.77,0.779,283.5,364.0,12.0,0.0,8.69,11,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.76,0.0,0.76,0.76,0.76,0.0,-1.299,0.76,0.77,0.76,1140.76,1501.0,13.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.76,0.0,0.76,0.78,0.78,0.78,2.632,0.77,0.78,0.78,273.76,351.0,7.0,0.0,0.0,0,0.0,39.0,50,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-06,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.78,0.0,0.78,0.79,0.79,0.0,1.282,0.79,0.8,0.79,660.43,836.0,6.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-07,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.8,0.8,0.79,0.8,0.79,0.0,0.0,0.75,0.79,0.798,275.45,345.0,5.0,0.0,16.0,20,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.77,0.77,0.77,0.77,0.77,0.0,-2.532,0.76,0.77,0.77,1830.29,2377.0,13.0,0.0,115.5,150,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.78,0.0,0.78,0.78,0.78,0.0,1.299,0.77,0.78,0.78,85.8,110.0,3.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-12,IDGYO,IDEALIST GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTIDGYO,0,0,0,0,0,0.77,0.0,0.77,0.77,0.77,0.77,-1.282,0.76,0.77,0.77,5642.56,7328.0,11.0,0.0,0.0,0,0.0,770.0,1000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
