TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.31,0.0,0.29,0.31,0.3,0.3,0.0,0.29,0.3,0.3,172539.24,574809.0,116.0,0.0,0.0,0,0.0,9000.0,30000,3,1500.0,5000,1,0.3,0.3,0.3,2400.0,8000,3,0.0,0.0,0.0,0.0,0,0
2015-12-01,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.29,0.29,0.29,0.31,0.3,0.0,0.0,0.3,0.31,0.3,38224.87,127312.0,70.0,0.0,1450.0,5000,5.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.3,0.3,0.31,0.31,0.0,3.333,0.3,0.31,0.3,41552.81,138430.0,42.0,0.0,7201.5,24005,5.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.3,0.29,0.31,0.3,0.0,-3.226,0.3,0.31,0.3,170675.73,568029.0,101.0,0.0,150.0,500,1.0,0.0,0,0,0.0,0,0,0.3,0.3,0.3,23923.8,79746,10,0.0,0.0,0.0,0.0,0,0
2015-12-04,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.0,0.29,0.31,0.3,0.3,0.0,0.29,0.3,0.3,93507.58,311733.0,98.0,0.0,0.0,0,0.0,930.0,3100,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.0,0.29,0.31,0.3,0.3,0.0,0.29,0.3,0.299,45505.22,151967.0,67.0,0.0,0.0,0,0.0,3000.0,10000,1,0.3,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.3,0.29,0.3,0.29,0.0,-3.333,0.29,0.3,0.296,24979.07,84399.0,52.0,0.0,5010.0,16700,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.0,0.29,0.3,0.3,0.3,3.448,0.29,0.3,0.298,23888.97,80114.0,58.0,0.0,0.0,0,0.0,6000.0,20000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.29,0.29,0.29,0.3,0.29,0.29,-3.333,0.29,0.3,0.291,193378.86,663507.0,107.0,0.0,28550.5,98450,5.0,36257.54,125026,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.29,0.29,0.28,0.3,0.29,0.0,0.0,0.28,0.29,0.29,277073.04,956845.0,152.0,0.0,1488.86,5134,5.0,0.0,0,0,0.0,0,0,0.29,0.29,0.29,58000.0,200000,14,0.0,0.0,0.0,0.0,0,0
2015-12-14,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.29,0.29,0.28,0.3,0.29,0.0,0.0,0.28,0.29,0.29,94421.18,326082.0,113.0,0.0,1663.44,5736,6.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.29,0.29,0.28,0.3,0.3,0.3,3.448,0.29,0.3,0.292,89891.28,307547.0,99.0,0.0,3445.49,11881,3.0,9003.3,30011,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.29,0.29,0.29,0.3,0.3,0.0,0.0,0.29,0.3,0.292,26354.97,90182.0,40.0,0.0,1740.0,6000,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.3,0.29,0.31,0.31,0.0,3.333,0.3,0.31,0.3,306055.93,1020363.0,212.0,0.0,7749.6,25832,5.0,0.0,0,0,0.0,0,0,0.3,0.3,0.3,11080.8,36936,3,0.0,0.0,0.0,0.0,0,0
2015-12-18,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.3,0.29,0.31,0.31,0.31,0.0,0.3,0.31,0.3,316317.83,1055914.0,130.0,0.0,3414.6,11382,5.0,3.1,10,1,0.0,0,0,0.3,0.3,0.3,15000.0,50000,11,0.0,0.0,0.0,0.0,0,0
2015-12-21,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.31,0.31,0.29,0.31,0.3,0.3,-3.226,0.29,0.3,0.301,159121.4,528845.0,126.0,0.0,319.3,1030,3.0,30.0,100,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.3,0.29,0.3,0.3,0.3,0.0,0.29,0.3,0.3,41897.9,139861.0,78.0,0.0,5468.7,18229,5.0,30.0,100,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,IHEVA,IHLAS EV ALETLERI,N,MSPOT,MSPOTEQT,MSPOTEQTIHEVA,0,0,0,0,0,0.3,0.3,0.29,0.31,0.31,0.31,3.333,0.3,0.31,0.3,112470.0,374869.0,117.0,0.0,2177.1,7257,8.0,4.34,14,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
