TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.8,0.8,0.79,0.81,0.8,0.8,0.0,0.79,0.8,0.802,652354.5,813380.0,279.0,0.0,31650.4,39563,19.0,12000.0,15000,1,0.0,0,0,0.8,0.8,0.8,57381.6,71727,25,0.0,0.0,0.0,0.0,0,0
2015-12-01,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.8,0.8,0.8,0.81,0.81,0.81,1.25,0.8,0.81,0.803,416256.74,518458.0,153.0,0.0,80.0,100,2.0,15645.15,19315,5,40621.5,50150,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.81,0.81,0.8,0.82,0.81,0.81,0.0,0.8,0.81,0.81,1863735.72,2301118.0,358.0,0.0,2371.68,2928,6.0,210.6,260,6,96.39,119,3,0.81,0.81,0.81,18792.0,23200,2,0.0,0.0,0.0,0.0,0,0
2015-12-03,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.81,0.81,0.8,0.83,0.8,0.8,-1.235,0.8,0.81,0.808,999747.81,1237102.0,243.0,0.0,1210.14,1494,3.0,67200.0,84000,13,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.8,0.8,0.78,0.81,0.79,0.79,-1.25,0.79,0.8,0.794,1529504.03,1926814.0,448.0,0.0,8834.4,11043,4.0,49630.96,62824,13,0.0,0,0,0.79,0.79,0.79,55300.0,70000,36,0.0,0.0,0.0,0.0,0,0
2015-12-07,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.8,0.8,0.78,0.8,0.79,0.79,0.0,0.78,0.79,0.788,615488.24,780650.0,174.0,0.0,80.0,100,1.0,47498.75,60125,5,0.0,0,0,0.79,0.79,0.79,130824.0,165600,33,0.0,0.0,0.0,0.0,0,0
2015-12-08,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.78,0.78,0.76,0.79,0.76,0.76,-3.797,0.76,0.77,0.773,902059.19,1166946.0,343.0,0.0,780.0,1000,3.0,9880.0,13000,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.76,0.76,0.75,0.77,0.77,0.77,1.316,0.77,0.78,0.763,1335348.2,1750044.0,300.0,0.0,1007.0,1325,2.0,45886.61,59593,5,0.0,0,0,0.76,0.77,0.765,19750.32,25816,3,0.0,0.0,0.0,0.0,0,0
2015-12-10,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.77,0.77,0.73,0.77,0.74,0.74,-3.896,0.74,0.75,0.75,1599913.86,2132294.0,485.0,0.0,3465.77,4501,6.0,20557.2,27780,9,39114.92,52858,7,0.74,0.74,0.74,23265.6,31440,6,0.0,0.0,0.0,0.0,0,0
2015-12-11,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.74,0.74,0.7,0.75,0.7,0.7,-5.405,0.7,0.71,0.718,1184023.55,1649793.0,1089.0,0.0,1850.0,2500,4.0,35005.6,50008,11,0.0,0,0,0.72,0.74,0.726,143950.89,198164,519,0.0,0.0,0.0,0.0,0,0
2015-12-14,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.71,0.71,0.69,0.72,0.7,0.7,0.0,0.7,0.71,0.706,1187832.17,1683107.0,451.0,0.0,26390.7,37170,9.0,10589.6,15128,6,35389.2,50556,8,0.7,0.7,0.7,70000.0,100000,45,0.0,0.0,0.0,0.0,0,0
2015-12-15,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.7,0.7,0.7,0.72,0.72,0.72,2.857,0.72,0.73,0.71,1004436.12,1414517.0,567.0,0.0,4200.0,6000,2.0,30481.92,42336,18,0.0,0,0,0.71,0.71,0.71,139015.87,195797,76,0.0,0.0,0.0,0.0,0,0
2015-12-16,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.73,0.73,0.7,0.73,0.72,0.72,0.0,0.71,0.72,0.713,724674.84,1016472.0,247.0,0.0,1095.0,1500,6.0,36000.72,50001,13,0.0,0,0,0.71,0.72,0.711,111795.79,157149,8,0.0,0.0,0.0,0.0,0,0
2015-12-17,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.72,0.72,0.72,0.74,0.74,0.74,2.778,0.73,0.74,0.729,1069739.12,1466412.0,519.0,0.0,15942.24,22142,7.0,2220.0,3000,2,0.0,0,0,0.73,0.73,0.73,14600.0,20000,27,0.0,0.0,0.0,0.0,0,0
2015-12-18,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.74,0.74,0.72,0.75,0.73,0.73,-1.351,0.73,0.74,0.732,824150.68,1125167.0,361.0,0.0,2224.44,3006,5.0,2920.0,4000,1,0.0,0,0,0.73,0.73,0.73,19577.14,26818,1,0.0,0.0,0.0,0.0,0,0
2015-12-21,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.74,0.74,0.72,0.74,0.73,0.73,0.0,0.73,0.74,0.732,456703.39,623928.0,215.0,0.0,3116.14,4211,7.0,12461.83,17071,7,9636.0,13200,2,0.73,0.74,0.736,92000.0,125000,41,0.0,0.0,0.0,0.0,0,0
2015-12-22,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.73,0.73,0.72,0.74,0.73,0.73,0.0,0.73,0.74,0.729,606989.61,832546.0,365.0,0.0,8264.33,11321,14.0,14709.5,20150,5,90522.92,124004,8,0.73,0.73,0.73,36500.0,50000,2,0.0,0.0,0.0,0.0,0,0
2015-12-23,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.73,0.73,0.73,0.78,0.76,0.76,4.11,0.76,0.77,0.758,2091984.29,2761283.0,971.0,0.0,1916.98,2626,8.0,6164.36,8111,7,0.0,0,0,0.75,0.78,0.765,149175.0,195000,30,0.0,0.0,0.0,0.0,0,0
2015-12-24,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.76,0.76,0.74,0.77,0.75,0.75,-1.316,0.75,0.76,0.754,872509.06,1157367.0,853.0,0.0,669.56,881,6.0,19880.25,26507,7,0.0,0,0,0.75,0.76,0.756,50670.0,67000,47,0.0,0.0,0.0,0.0,0,0
2015-12-25,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.76,0.76,0.75,0.78,0.76,0.76,1.333,0.76,0.77,0.764,1349909.03,1767713.0,3791.0,0.0,3863.08,5083,4.0,34257.0,45075,11,0.0,0,0,0.76,0.77,0.766,131619.78,171753,106,0.0,0.0,0.0,0.0,0,0
2015-12-28,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.77,0.77,0.76,0.79,0.77,0.77,1.316,0.76,0.77,0.771,1046532.34,1358217.0,573.0,0.0,12246.85,15905,11.0,53131.54,69002,11,0.0,0,0,0.77,0.78,0.771,85109.4,110394,27,0.0,0.0,0.0,0.0,0,0
2015-12-29,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.77,0.77,0.75,0.78,0.76,0.76,-1.299,0.76,0.77,0.762,870225.46,1142650.0,353.0,0.0,14422.87,18731,4.0,3800.0,5000,3,41795.44,54994,13,0.76,0.77,0.763,102735.17,134721,51,0.0,0.0,0.0,0.0,0,0
2015-12-30,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.75,0.75,0.75,0.77,0.76,0.76,0.0,0.75,0.76,0.756,520724.23,689183.0,194.0,0.0,3825.0,5100,3.0,7220.0,9500,7,0.76,1,1,0.76,0.76,0.76,100674.16,132466,18,0.0,0.0,0.0,0.0,0,0
2015-12-31,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.76,0.76,0.74,0.76,0.75,0.75,-1.316,0.74,0.75,0.749,589075.34,786276.0,329.0,0.0,1890.88,2488,7.0,3850.5,5134,10,7500.0,10000,3,0.75,0.75,0.75,106372.5,141830,28,0.0,0.0,0.0,0.0,0,0
2016-01-04,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.74,0.74,0.72,0.74,0.74,0.74,-1.333,0.73,0.74,0.729,751693.82,1030512.0,363.0,0.0,5446.4,7360,11.0,5931.1,8015,7,0.0,0,0,0.73,0.73,0.73,94900.0,130000,44,0.0,0.0,0.0,0.0,0,0
2016-01-05,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.74,0.74,0.72,0.75,0.73,0.73,-1.351,0.72,0.73,0.73,1116134.72,1528679.0,420.0,0.0,9.62,13,3.0,84253.68,115416,9,59312.5,81250,20,0.73,0.73,0.73,91250.0,125000,95,0.0,0.0,0.0,0.0,0,0
2016-01-06,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.73,0.73,0.72,0.74,0.73,0.73,0.0,0.73,0.74,0.728,507648.59,697041.0,361.0,0.0,14429.18,19766,11.0,4372.7,5990,5,0.0,0,0,0.73,0.73,0.73,29120.43,39891,6,0.0,0.0,0.0,0.0,0,0
2016-01-07,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.73,0.73,0.7,0.73,0.72,0.72,-1.37,0.72,0.73,0.717,967608.83,1349017.0,451.0,0.0,4190.93,5741,11.0,32586.48,45259,8,14.4,20,1,0.71,0.73,0.717,118352.16,165003,22,0.0,0.0,0.0,0.0,0,0
2016-01-08,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.73,0.73,0.72,0.73,0.73,0.73,1.389,0.72,0.73,0.725,285040.06,393383.0,187.0,0.0,737.3,1010,4.0,365.0,500,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.73,0.73,0.72,0.73,0.72,0.72,-1.37,0.72,0.73,0.722,329310.6,455890.0,192.0,0.0,10770.42,14754,8.0,6048.0,8400,6,30964.32,43006,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-12,IHMAD,IHLAS MADENCILIK,N,MSPOT,MSPOTEQT,MSPOTEQTIHMAD,0,0,0,0,0,0.72,0.72,0.71,0.73,0.72,0.72,0.0,0.72,0.73,0.721,613764.57,851138.0,277.0,0.0,5629.68,7819,6.0,36367.2,50510,9,0.0,0,0,0.72,0.72,0.72,50400.0,70000,17,0.0,0.0,0.0,0.0,0,0
