TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ISCTR,T. IS BANKASI C GRUBU,Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.75,4.75,4.72,4.81,4.73,4.73,0.0,4.72,4.73,4.758,149306277.28,31378641.0,5174.0,0.0,532627.0,112132,40.0,16507931.77,3490049,187,8550964.95,1807815,81,4.72,4.81,4.754,11778156.05,2477637,402,0.0,0.0,0.0,0.0,0,0
2015-12-01,ISCTR,T. IS BANKASI C GRUBU,Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.74,4.74,4.74,4.88,4.87,4.87,2.96,4.86,4.87,4.809,258919601.47,53839436.0,7008.0,0.0,1891553.88,399062,52.0,2964349.52,608696,47,897911.12,184376,20,4.74,4.87,4.821,37224567.05,7721477,709,0.0,0.0,0.0,0.0,0,0
2015-12-02,ISCTR,T. IS BANKASI C GRUBU,Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.91,4.91,4.84,4.96,4.86,4.86,-0.205,4.85,4.86,4.896,253704835.56,51818406.0,7899.0,0.0,1336938.99,272289,73.0,4839617.16,995806,78,1745789.76,359216,20,4.84,4.95,4.889,47025054.94,9619392,1262,4.9,4.9,4.9,4900000.0,1000000,1
2015-12-03,ISCTR,IS BANKASI (C),Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.88,4.88,4.77,4.93,4.77,4.77,-1.852,4.77,4.78,4.86,173774792.54,35758542.0,5744.0,0.0,593203.04,121558,33.0,3246924.69,680697,110,189540.72,39736,27,4.77,4.92,4.862,41482615.49,8532516,1274,0.0,0.0,0.0,0.0,0,0
2015-12-04,ISCTR,IS BANKASI (C),Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.8,4.8,4.64,4.81,4.73,4.73,-0.839,4.73,4.74,4.72,194841002.49,41280752.0,7518.0,0.0,960283.2,200059,35.0,2520427.8,532860,61,899967.64,190268,10,4.66,4.8,4.726,40691490.21,8609770,1361,0.0,0.0,0.0,0.0,0,0
2015-12-07,ISCTR,IS BANKASI (C),Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.74,4.74,4.66,4.74,4.7,4.7,-0.634,4.69,4.7,4.706,179410789.57,38116505.0,5444.0,0.0,370682.22,78203,49.0,3622384.0,770720,55,314246.7,66861,6,4.67,4.74,4.706,39001979.98,8288473,1329,4.72,4.72,4.72,7080000.0,1500000,1
2015-12-08,ISCTR,IS BANKASI (C),Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.7,4.7,4.64,4.74,4.65,4.65,-1.064,4.65,4.66,4.686,200675907.43,42835243.0,4948.0,0.0,201216.4,42812,48.0,12126535.05,2607857,67,2606325.0,560500,25,4.64,4.73,4.692,37829572.56,8062138,839,4.65,4.65,4.65,4650000.0,1000000,1
2015-12-09,ISCTR,IS BANKASI (C),Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.67,4.67,4.64,4.79,4.78,4.78,2.796,4.78,4.79,4.707,173563189.21,36877335.0,4702.0,0.0,409152.71,87613,39.0,3302344.26,690867,103,1363050.46,285157,47,4.64,4.79,4.696,29048883.96,6186314,642,4.68,4.68,4.68,5850000.0,1250000,1
2015-12-10,ISCTR,IS BANKASI (C),Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.76,4.76,4.54,4.87,4.57,4.57,-4.393,4.57,4.58,4.698,338629068.42,72124258.0,10183.0,0.0,399987.56,84031,48.0,5209192.19,1139867,131,314416.0,68800,14,4.55,4.86,4.702,49647167.29,10558651,1627,4.52,4.73,4.628,13882500.0,3000000,4
2015-12-11,ISCTR,IS BANKASI (C),Z,MSPOT,MSPOTEQT,MSPOTEQTISCTR,0,1,1,0,0,4.58,4.58,4.4,4.6,4.4,4.4,-3.72,4.4,4.41,4.479,279983998.38,62498979.0,12478.0,0.0,937997.74,204803,76.0,5793585.6,1316724,255,15400.0,3500,3,4.4,4.59,4.481,45480329.45,10149964,3397,4.5,4.5,4.5,6750000.0,1500000,2
