TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,IZFAS,IZMIR FIRCA SANAYI TICARET AS,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.15,0.0,1.15,1.48,1.45,1.45,0.0,1.44,1.45,1.44,19815.52,13761.0,65.0,0.0,0.0,0,0.0,1.45,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,IZFAS,IZMIR FIRCA SANAYI TICARET AS,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.24,0.0,1.24,1.45,1.41,0.0,-2.759,1.41,1.43,1.424,13590.3,9546.0,63.0,0.0,0.0,0,0.0,0.0,0,0,1410.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,IZFAS,IZMIR FIRCA SANAYI TICARET AS,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.42,0.0,1.38,1.44,1.43,1.43,1.418,1.4,1.43,1.416,13846.53,9781.0,40.0,0.0,0.0,0,0.0,2.86,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,IZFAS,IZMIR FIRCA,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.45,0.0,1.36,1.45,1.44,0.0,0.699,1.42,1.43,1.408,62592.98,44470.0,125.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,IZFAS,IZMIR FIRCA,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.42,0.0,1.4,1.47,1.44,0.0,0.0,1.41,1.42,1.441,60098.86,41715.0,101.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,IZFAS,IZMIR FIRCA,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.44,0.0,1.38,1.44,1.39,0.0,-3.472,1.39,1.41,1.397,15203.37,10886.0,43.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,IZFAS,IZMIR FIRCA,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.42,0.0,1.38,1.44,1.4,0.0,0.719,1.4,1.43,1.411,26244.61,18601.0,54.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,IZFAS,IZMIR FIRCA,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.41,0.0,1.36,1.42,1.41,0.0,0.714,1.41,1.42,1.392,12128.9,8716.0,21.0,0.0,0.0,0,0.0,0.0,0,0,1057.5,750,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,IZFAS,IZMIR FIRCA,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.43,0.0,1.38,1.43,1.41,1.41,0.0,1.38,1.41,1.403,24407.24,17398.0,45.0,0.0,0.0,0,0.0,1.41,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,IZFAS,IZMIR FIRCA,G,MSPOT,MSPOTEQT,MSPOTEQTIZFAS,1,0,0,0,0,1.43,0.0,1.26,1.43,1.4,1.4,-0.709,1.36,1.4,1.381,39880.92,28886.0,90.0,0.0,0.0,0,0.0,2.8,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
