TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,IZTAR,IZ HAYVANCILIK TARIM VE GIDA SAN,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.35,0.0,1.15,1.4,1.33,0.0,0.0,1.34,1.35,1.339,19318.83,14427.0,82.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,IZTAR,IZ HAYVANCILIK TARIM VE GIDA SAN,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.34,0.0,1.3,1.36,1.35,0.0,1.504,1.35,1.36,1.339,20022.87,14950.0,67.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,IZTAR,IZ HAYVANCILIK TARIM VE GIDA SAN,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.35,0.0,1.32,1.36,1.33,0.0,-1.481,1.33,1.34,1.336,45461.83,34035.0,66.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,IZTAR,IZ HAYVANCILIK TARIM,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.32,1.32,1.32,1.35,1.35,0.0,1.504,1.32,1.35,1.325,25498.33,19237.0,58.0,0.0,506.88,384,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,IZTAR,IZ HAYVANCILIK TARIM,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.32,0.0,1.32,1.36,1.36,1.36,0.741,1.33,1.36,1.34,52161.3,38915.0,111.0,0.0,0.0,0,0.0,2176.0,1600,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,IZTAR,IZ HAYVANCILIK TARIM,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.36,0.0,1.36,1.49,1.42,0.0,4.412,1.42,1.43,1.445,329551.76,228128.0,518.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,IZTAR,IZ HAYVANCILIK TARIM,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.4,1.4,1.32,1.44,1.35,1.35,-4.93,1.35,1.36,1.373,116798.63,85069.0,215.0,0.0,1.4,1,1.0,1.35,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,IZTAR,IZ HAYVANCILIK TARIM,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.37,1.37,1.31,1.37,1.34,1.34,-0.741,1.34,1.36,1.342,74716.75,55692.0,135.0,0.0,4.11,3,1.0,479.72,358,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,IZTAR,IZ HAYVANCILIK TARIM,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.36,0.0,1.31,1.36,1.33,1.33,-0.746,1.32,1.33,1.329,75712.85,56987.0,98.0,0.0,0.0,0,0.0,399.0,300,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,IZTAR,IZ HAYVANCILIK TARIM,G,MSPOT,MSPOTEQT,MSPOTEQTIZTAR,1,0,0,0,0,1.33,1.33,1.24,1.33,1.24,1.24,-6.767,1.24,1.27,1.273,76723.82,60273.0,177.0,0.0,2128.0,1600,5.0,3720.0,3000,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
