TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,294.0,294.0,290.1,297.4,291.0,291.0,0.0,291.0,291.3,294.359,19010860.0,64584.0,2655.0,0.0,385728.0,1312,26.0,444066.0,1526,40,90501.0,311,18,292.6,296.8,294.858,285127.4,967,52,0.0,0.0,0.0,0.0,0,0
2015-12-01,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,292.5,292.5,292.5,295.3,294.9,294.9,1.34,294.9,295.0,294.206,20746556.2,70517.0,2324.0,0.0,173745.0,594,18.0,369509.7,1253,39,756418.5,2565,31,293.0,294.9,293.531,242750.1,827,37,0.0,0.0,0.0,0.0,0,0
2015-12-02,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,296.0,296.0,291.5,298.8,291.6,291.6,-1.119,291.6,291.9,295.125,16958758.5,57463.0,2225.0,0.0,150368.0,508,14.0,575326.8,1973,48,43448.4,149,11,292.8,298.1,296.266,118506.2,400,25,0.0,0.0,0.0,0.0,0,0
2015-12-03,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,293.0,293.0,280.0,296.6,281.0,281.0,-3.635,281.0,281.3,290.217,28189648.7,97133.0,4229.0,0.0,161150.0,550,17.0,499056.0,1776,49,84300.0,300,19,281.4,296.6,290.645,341507.9,1175,110,0.0,0.0,0.0,0.0,0,0
2015-12-04,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,284.0,284.0,273.5,287.2,281.3,281.3,0.107,281.3,281.5,280.435,20937588.6,74661.0,3935.0,0.0,165288.0,582,16.0,329402.3,1171,48,295927.6,1052,42,274.6,286.8,282.142,444938.0,1577,176,0.0,0.0,0.0,0.0,0,0
2015-12-07,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,282.0,282.0,282.0,297.6,295.0,295.0,4.87,295.0,295.3,290.593,31981763.1,110057.0,4550.0,0.0,60912.0,216,12.0,598850.0,2030,47,260485.0,883,32,283.0,297.5,290.837,1180796.9,4060,170,0.0,0.0,0.0,0.0,0,0
2015-12-08,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,295.9,295.9,282.8,296.5,282.9,282.9,-4.102,282.8,282.9,289.917,15651726.1,53987.0,2942.0,0.0,68648.8,232,14.0,667361.1,2359,61,323920.5,1145,40,282.9,296.0,292.137,302362.1,1035,144,0.0,0.0,0.0,0.0,0,0
2015-12-09,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,284.0,284.0,273.5,284.9,283.4,283.4,0.177,283.3,283.4,279.659,23244692.5,83118.0,4302.0,0.0,135752.0,478,18.0,370120.4,1306,35,15587.0,55,2,277.1,284.7,278.759,454656.4,1631,118,0.0,0.0,0.0,0.0,0,0
2015-12-10,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,283.5,283.5,274.4,292.3,277.0,277.0,-2.258,277.0,277.4,284.377,18127903.5,63746.0,3342.0,0.0,97240.5,343,11.0,219661.0,793,32,162322.0,586,17,277.6,292.2,288.863,1250197.2,4328,151,0.0,0.0,0.0,0.0,0,0
2015-12-11,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,278.0,278.0,267.0,280.0,271.2,271.2,-2.094,271.1,271.2,273.2,14586689.0,53392.0,3675.0,0.0,62828.0,226,12.0,431750.4,1592,54,281234.4,1037,21,268.2,278.5,272.578,314828.1,1155,96,0.0,0.0,0.0,0.0,0,0
2015-12-14,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,275.0,275.0,269.1,279.0,279.0,279.0,2.876,279.0,279.1,275.166,14127298.6,51341.0,3105.0,0.0,31900.0,116,21.0,651186.0,2334,57,136710.0,490,22,269.7,278.0,275.083,288287.1,1048,111,0.0,0.0,0.0,0.0,0,0
2015-12-15,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,282.0,282.0,277.3,290.0,286.4,286.4,2.652,286.4,286.8,283.902,16569088.5,58362.0,3044.0,0.0,85728.0,304,14.0,231411.2,808,26,207926.4,726,16,278.5,289.9,283.177,268452.0,948,53,0.0,0.0,0.0,0.0,0,0
2015-12-16,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,285.2,285.2,280.1,287.8,282.9,282.9,-1.222,282.9,283.0,283.915,10917678.6,38454.0,1966.0,0.0,81852.4,287,8.0,455186.1,1609,40,305249.1,1079,23,281.9,285.2,283.438,116776.3,412,40,0.0,0.0,0.0,0.0,0,0
2015-12-17,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,286.0,286.0,285.0,305.3,303.6,303.6,7.317,303.6,303.8,296.892,27285827.5,91905.0,4311.0,0.0,54626.0,191,21.0,407127.6,1341,36,123565.2,407,15,285.9,305.2,298.807,587455.4,1966,146,0.0,0.0,0.0,0.0,0,0
2015-12-18,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,304.5,304.5,300.0,355.9,346.0,346.0,13.966,345.6,346.0,320.075,46307525.7,144677.0,7568.0,0.0,59377.5,195,12.0,432500.0,1250,66,618994.0,1789,45,300.9,355.8,332.16,2270979.9,6837,396,0.0,0.0,0.0,0.0,0,0
2015-12-21,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,346.0,346.0,334.7,360.0,337.6,337.6,-2.428,337.6,338.0,346.258,58254141.5,168239.0,10210.0,0.0,355342.0,1027,72.0,566492.8,1678,78,241721.6,716,21,337.0,359.6,348.837,3168836.1,9084,536,0.0,0.0,0.0,0.0,0,0
2015-12-22,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,339.0,339.0,328.5,355.0,344.7,344.7,2.103,344.7,345.0,343.05,60317764.1,175828.0,9053.0,0.0,29493.0,87,5.0,593228.7,1721,62,96171.3,279,12,331.6,354.4,343.926,2092791.5,6085,307,0.0,0.0,0.0,0.0,0,0
2015-12-23,KARTN,KARTONSAN,Z,MSPOT,MSPOTEQT,MSPOTEQTKARTN,0,1,0,0,0,345.1,345.1,342.1,355.0,343.3,343.3,-0.406,343.1,343.3,348.433,49461143.6,141953.0,7883.0,0.0,109051.6,316,16.0,1033333.0,3010,75,320298.9,933,47,343.8,354.7,350.879,1892289.1,5393,275,0.0,0.0,0.0,0.0,0,0
