TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KATMR,KATMERCILER EKIPMAN A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,6.12,6.12,5.94,6.19,6.0,6.0,0.0,6.0,6.01,6.08,6098820.6,1003037.0,1651.0,0.0,61.2,10,1.0,276486.0,46081,32,72420.0,12070,32,5.99,6.13,6.033,156690.04,25971,42,0.0,0.0,0.0,0.0,0,0
2015-12-01,KATMR,KATMERCILER EKIPMAN A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,6.06,6.06,6.01,6.59,6.57,6.57,9.5,6.57,6.58,6.346,26261379.44,4138073.0,6967.0,0.0,309.06,51,2.0,249081.84,37912,31,97899.57,14901,18,6.21,6.57,6.345,665541.47,104897,179,0.0,0.0,0.0,0.0,0,0
2015-12-02,KATMR,KATMERCILER EKIPMAN A.S.,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,6.6,6.6,6.55,7.17,7.05,7.05,7.306,7.05,7.06,6.988,29874641.03,4274950.0,8861.0,0.0,526257.6,79736,36.0,300118.5,42570,32,39825.45,5649,5,6.62,7.15,7.041,925233.63,131404,265,0.0,0.0,0.0,0.0,0,0
2015-12-03,KATMR,KATMERCILER EKIPMAN,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,7.13,7.13,6.92,7.32,7.0,7.0,-0.709,7.0,7.01,7.113,24352395.11,3423498.0,7268.0,0.0,27421.98,3846,17.0,501249.0,71607,62,74053.0,10579,24,6.95,7.29,7.151,1588673.82,222152,477,0.0,0.0,0.0,0.0,0,0
2015-12-04,KATMR,KATMERCILER EKIPMAN,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,7.05,7.05,6.85,7.14,7.0,7.0,0.0,7.0,7.01,7.01,11072133.86,1579418.0,5900.0,0.0,96937.5,13750,21.0,452368.0,64624,33,21000.0,3000,2,6.91,7.11,7.018,334897.91,47721,174,0.0,0.0,0.0,0.0,0,0
2015-12-07,KATMR,KATMERCILER EKIPMAN,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,7.0,7.0,6.95,7.82,7.72,7.72,10.286,7.71,7.72,7.422,53138221.83,7159522.0,10900.0,0.0,78043.0,11149,21.0,454669.4,58895,66,155133.4,20095,22,7.0,7.8,7.407,3617876.72,488413,563,0.0,0.0,0.0,0.0,0,0
2015-12-08,KATMR,KATMERCILER EKIPMAN,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,7.8,7.8,7.37,7.96,7.41,7.41,-4.016,7.41,7.45,7.695,30289160.05,3936044.0,7917.0,0.0,251495.4,32243,43.0,315984.63,42643,41,21489.0,2900,2,7.47,7.95,7.796,2367829.02,303718,320,0.0,0.0,0.0,0.0,0,0
2015-12-09,KATMR,KATMERCILER EKIPMAN,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,7.48,7.48,7.26,7.89,7.86,7.86,6.073,7.85,7.86,7.546,28277476.43,3747514.0,7640.0,0.0,83761.04,11198,26.0,426821.58,54303,44,252675.42,32147,55,7.29,7.86,7.633,1717787.85,225044,242,0.0,0.0,0.0,0.0,0,0
2015-12-10,KATMR,KATMERCILER EKIPMAN,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,7.87,7.87,7.55,8.07,7.68,7.68,-2.29,7.68,7.7,7.846,25813195.72,3289929.0,10119.0,0.0,222878.4,28320,48.0,414604.8,53985,55,108741.12,14159,23,7.68,8.07,7.922,1238968.32,156395,393,0.0,0.0,0.0,0.0,0,0
2015-12-11,KATMR,KATMERCILER EKIPMAN,N,MSPOT,MSPOTEQT,MSPOTEQTKATMR,0,0,0,0,0,7.69,7.69,7.27,7.75,7.39,7.39,-3.776,7.39,7.4,7.519,20798892.3,2766211.0,7364.0,0.0,36635.16,4764,19.0,242214.64,32776,68,282660.11,38249,38,7.39,7.65,7.504,475707.16,63391,195,0.0,0.0,0.0,0.0,0,0
