TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,51.05,0.0,50.1,51.75,50.7,0.0,0.0,50.7,51.3,50.87,188014.55,3696.0,141.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,50.2,0.0,50.15,51.4,50.8,50.8,0.197,50.65,50.8,50.723,122040.45,2406.0,128.0,0.0,0.0,0,0.0,3149.6,62,3,558.8,11,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,50.7,0.0,50.7,52.1,51.5,51.5,1.378,51.3,51.5,51.378,363548.55,7076.0,274.0,0.0,0.0,0,0.0,2575.0,50,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,51.5,51.5,51.0,52.75,51.0,0.0,-0.971,51.1,51.35,51.77,177053.3,3420.0,203.0,0.0,2575.0,50,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,51.2,0.0,48.62,51.2,50.0,0.0,-1.961,49.52,50.0,49.538,341016.8,6884.0,292.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,51.85,51.85,47.5,51.85,49.0,0.0,-2.0,48.78,49.0,48.858,294566.49,6029.0,240.0,0.0,103.7,2,1.0,0.0,0,0,7350.0,150,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,48.6,0.0,48.0,48.98,48.0,0.0,-2.041,48.0,48.1,48.424,263811.54,5448.0,135.0,0.0,0.0,0,0.0,0.0,0,0,2016.0,42,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,49.32,49.32,47.5,49.32,48.3,48.3,0.625,48.3,48.36,47.929,109614.7,2287.0,128.0,0.0,2811.24,57,4.0,1449.0,30,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,48.4,0.0,47.0,50.8,47.34,0.0,-1.988,47.02,47.66,48.736,342319.29,7024.0,280.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,KERVT,KEREVITAS GIDA,N,MSPOT,MSPOTEQT,MSPOTEQTKERVT,0,0,0,0,0,47.34,47.34,45.5,47.34,45.68,0.0,-3.507,45.72,46.0,46.037,249933.1,5429.0,177.0,0.0,142.02,3,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
