TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-07-01,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,5.44,5.44,5.44,5.97,5.97,0.0,0.0,5.97,0.0,5.931,4532893.33,764230.0,1048.0,0.0,652.8,120,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-02,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,6.15,6.15,5.85,6.55,6.17,6.17,3.35,6.15,6.17,6.176,14055892.88,2275708.0,5671.0,0.0,298539.45,48543,57.0,155175.5,25150,43,1727.6,280,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-05,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,6.11,6.11,5.85,6.15,5.94,5.94,-3.728,5.93,5.94,5.958,3276341.8,549906.0,1822.0,0.0,28319.85,4635,19.0,70092.0,11800,19,8333.82,1403,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-06,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,5.95,5.95,5.8,5.97,5.82,5.82,-2.02,5.81,5.82,5.87,3506541.96,597388.0,1764.0,0.0,7592.2,1276,4.0,47252.58,8119,13,64607.82,11101,13,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-07,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,5.82,5.82,5.65,5.96,5.79,5.79,-0.515,5.79,5.8,5.808,4386146.14,755219.0,1495.0,0.0,11581.8,1990,5.0,63012.57,10883,10,96710.37,16703,18,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-08,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,5.77,5.77,5.66,6.09,5.98,5.98,3.282,5.93,5.98,5.864,5836015.88,995163.0,4129.0,0.0,577.0,100,1.0,116012.0,19400,25,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-09,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,5.94,5.94,5.9,6.04,5.95,5.95,-0.502,5.93,5.95,5.963,3946136.92,661801.0,5615.0,0.0,17820.0,3000,12.0,100346.75,16865,20,17302.6,2908,13,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-12,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,5.91,5.91,5.36,6.0,5.52,5.52,-7.227,5.52,5.53,5.549,16101052.4,2901429.0,12422.0,0.0,10348.41,1751,10.0,147339.84,26692,22,221710.8,40165,23,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-13,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,5.58,5.58,5.54,6.07,6.07,6.07,9.964,6.07,0.0,5.872,23022678.82,3920598.0,23946.0,0.0,11327.4,2030,9.0,18610.62,3066,2,210914.29,34747,25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-14,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,6.1,6.1,6.03,6.57,6.5,6.5,7.084,6.49,6.5,6.389,29641414.48,4639665.0,23457.0,0.0,89163.7,14617,19.0,233142.0,35868,389,163423.0,25142,12,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-16,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,6.58,6.58,6.58,7.15,7.15,7.15,10.0,7.15,0.0,6.974,35196439.43,5047125.0,20816.0,0.0,85638.7,13015,19.0,21936.2,3068,13,71500.0,10000,32,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-07-19,KGYO,KORAY GMYO,N,MSPOT,MSPOTEQT,MSPOTEQTKGYO,0,0,0,0,0,7.18,7.18,6.85,7.63,7.55,7.55,5.594,7.54,7.55,7.312,19244456.65,2631806.0,11322.0,0.0,152517.56,21242,38.0,358081.4,47428,25,40981.4,5428,39,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
