TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KRSTL,KRISTAL KOLA VE MESRUBAT SAN,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.69,0.0,1.67,1.72,1.67,1.67,0.0,1.66,1.67,1.684,845834.32,502138.0,311.0,0.0,0.0,0,0.0,103990.9,62270,24,3991.3,2390,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,KRSTL,KRISTAL KOLA VE MESRUBAT SAN,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.68,1.68,1.62,1.69,1.64,1.64,-1.796,1.63,1.64,1.646,1809580.47,1099524.0,1263.0,0.0,52088.4,31005,7.0,16662.4,10160,16,10751.84,6556,10,1.65,1.65,1.65,5775.0,3500,1,0.0,0.0,0.0,0.0,0,0
2015-12-02,KRSTL,KRISTAL KOLA VE MESRUBAT SAN,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.64,1.64,1.63,1.65,1.63,1.63,-0.61,1.63,1.65,1.64,1370743.38,835907.0,474.0,0.0,2353.4,1435,1.0,34393.0,21100,29,7674.04,4708,7,1.64,1.64,1.64,11480.0,7000,2,0.0,0.0,0.0,0.0,0,0
2015-12-03,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.64,1.64,1.63,1.69,1.65,1.65,1.227,1.65,1.66,1.654,1368563.34,827398.0,497.0,0.0,6.56,4,1.0,31318.65,18981,8,34767.15,21071,8,1.67,1.67,1.67,4175.0,2500,1,0.0,0.0,0.0,0.0,0,0
2015-12-04,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.66,1.66,1.62,1.71,1.65,1.65,0.0,1.64,1.65,1.656,1660243.36,1002413.0,547.0,0.0,1660.0,1000,2.0,34732.5,21050,8,198.0,120,2,1.66,1.66,1.66,712.14,429,1,0.0,0.0,0.0,0.0,0,0
2015-12-07,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.65,1.65,1.63,1.67,1.63,1.63,-1.212,1.62,1.63,1.646,851811.35,517620.0,266.0,0.0,330.0,200,1.0,19599.12,12024,4,57111.94,35038,21,1.64,1.64,1.64,4920.0,3000,1,0.0,0.0,0.0,0.0,0,0
2015-12-08,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.64,1.64,1.61,1.65,1.62,1.62,-0.613,1.62,1.63,1.629,547914.09,336365.0,281.0,0.0,8200.0,5000,3.0,10998.18,6789,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.62,1.62,1.6,1.63,1.61,1.61,-0.617,1.6,1.61,1.622,1502571.94,926489.0,588.0,0.0,1782.0,1100,2.0,26502.21,16461,14,23058.42,14322,15,1.61,1.62,1.62,11348.05,7005,2,0.0,0.0,0.0,0.0,0,0
2015-12-10,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.61,1.61,1.58,1.64,1.59,1.59,-1.242,1.59,1.6,1.605,1183475.22,737404.0,444.0,0.0,1610.0,1000,2.0,5010.09,3151,8,15659.91,9849,12,1.6,1.62,1.601,10232.54,6392,3,0.0,0.0,0.0,0.0,0,0
2015-12-11,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.6,1.6,1.54,1.63,1.58,1.58,-0.629,1.56,1.58,1.573,1668546.02,1060668.0,389.0,0.0,14038.4,8774,4.0,85368.98,54031,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.61,1.61,1.52,1.63,1.53,1.53,-3.165,1.53,1.54,1.564,1516751.31,969882.0,596.0,0.0,322000.0,200000,6.0,52785.0,34500,8,28514.61,18637,26,1.54,1.58,1.54,10797.38,7011,4,0.0,0.0,0.0,0.0,0,0
2015-12-15,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.54,1.54,1.54,1.62,1.6,1.6,4.575,1.58,1.6,1.565,1389454.0,887598.0,464.0,0.0,30291.8,19670,7.0,17601.6,11001,8,0.0,0,0,1.57,1.59,1.58,22120.0,14000,2,0.0,0.0,0.0,0.0,0,0
2015-12-16,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.58,0.0,1.56,1.62,1.57,1.57,-1.875,1.57,1.59,1.577,747234.24,473876.0,429.0,0.0,0.0,0,0.0,34579.25,22025,13,1.57,1,1,1.6,1.6,1.6,321.6,201,1,0.0,0.0,0.0,0.0,0,0
2015-12-17,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.6,1.6,1.58,1.65,1.63,1.63,3.822,1.62,1.63,1.605,1770258.84,1102807.0,557.0,0.0,152000.0,95000,8.0,18093.0,11100,7,0.0,0,0,1.59,1.64,1.598,98295.0,61500,40,0.0,0.0,0.0,0.0,0,0
2015-12-18,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.62,0.0,1.59,1.63,1.6,1.6,-1.84,1.59,1.6,1.606,516941.52,321931.0,205.0,0.0,0.0,0,0.0,11200.0,7000,6,2427.2,1517,1,1.61,1.61,1.61,8050.0,5000,2,0.0,0.0,0.0,0.0,0,0
2015-12-21,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.61,1.61,1.58,1.62,1.58,1.58,-1.25,1.58,1.6,1.595,1277267.76,800862.0,619.0,0.0,3.22,2,2.0,18960.0,12000,9,0.0,0,0,1.6,1.62,1.608,21404.4,13309,13,0.0,0.0,0.0,0.0,0,0
2015-12-22,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.6,1.6,1.54,1.6,1.57,1.57,-0.633,1.56,1.57,1.563,1128449.94,721878.0,532.0,0.0,45824.0,28640,11.0,14130.0,9000,5,0.0,0,0,1.55,1.56,1.558,19486.2,12504,4,0.0,0.0,0.0,0.0,0,0
2015-12-23,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.57,1.57,1.56,1.62,1.61,1.61,2.548,1.61,1.62,1.6,1567294.31,979740.0,352.0,0.0,500.83,319,2.0,2978.5,1850,5,12416.32,7712,5,1.61,1.61,1.61,23345.0,14500,2,0.0,0.0,0.0,0.0,0,0
2015-12-24,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.62,1.62,1.58,1.63,1.59,1.59,-1.242,1.59,1.6,1.601,1743540.43,1088993.0,285.0,0.0,9877.14,6097,7.0,18777.9,11810,10,48336.0,30400,8,1.6,1.6,1.6,13600.0,8500,5,0.0,0.0,0.0,0.0,0,0
2015-12-25,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.6,1.6,1.59,1.61,1.59,1.59,0.0,1.59,1.6,1.595,599068.73,375507.0,263.0,0.0,8425.6,5266,2.0,41241.42,25938,13,57240.0,36000,15,1.6,1.6,1.6,8000.0,5000,17,0.0,0.0,0.0,0.0,0,0
2015-12-28,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.59,1.59,1.59,1.78,1.76,1.76,10.692,1.76,1.77,1.699,7049202.22,4148685.0,5900.0,0.0,6042.0,3800,3.0,50380.0,28625,45,27720.0,15750,11,1.65,1.77,1.709,133103.57,77865,245,0.0,0.0,0.0,0.0,0,0
2015-12-29,KRSTL,KRISTAL KOLA,N,MSPOT,MSPOTEQT,MSPOTEQTKRSTL,0,0,0,0,0,1.78,1.78,1.71,1.78,1.71,1.71,-2.841,1.7,1.71,1.733,2607183.59,1504609.0,977.0,0.0,13481.72,7574,11.0,73400.04,42924,30,855.0,500,1,1.72,1.78,1.74,154973.57,89043,31,0.0,0.0,0.0,0.0,0,0
