TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,KSTUR,KUSTUR KUSADASI TURIZM ENDUSTRI,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,12.7,0.0,12.7,12.7,12.7,0.0,0.0,12.51,12.7,12.7,12.7,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,KSTUR,KUSTUR KUSADASI TURIZM ENDUSTRI,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,12.5,0.0,12.5,12.5,12.5,0.0,-1.575,12.5,12.65,12.5,362.5,29.0,3.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,KSTUR,KUSTUR KUSADASI TURIZM ENDUSTRI,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,12.49,0.0,12.49,12.49,12.49,12.49,-0.08,12.35,12.9,12.49,124.9,10.0,1.0,0.0,0.0,0,0.0,124.9,10,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,KSTUR,KUSTUR KUSADASI TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,KSTUR,KUSTUR KUSADASI TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,12.45,0.0,12.2,12.45,12.2,12.2,0.0,12.2,12.45,12.325,24.65,2.0,2.0,0.0,0.0,0,0.0,12.2,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,KSTUR,KUSTUR KUSADASI TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,12.69,0.0,12.69,12.69,12.69,12.69,4.016,12.62,12.69,12.69,12.69,1.0,1.0,0.0,0.0,0,0.0,12.69,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,KSTUR,KUSTUR KUSADASI TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,12.68,12.68,12.68,12.68,12.68,0.0,-0.079,12.5,12.6,12.68,12.68,1.0,1.0,0.0,12.68,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,KSTUR,KUSTUR KUSADASI TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,12.48,12.48,12.4,12.48,12.4,0.0,-2.208,12.4,12.48,12.414,2979.28,240.0,6.0,0.0,511.68,41,1.0,0.0,0,0,657.2,53,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,KSTUR,KUSTUR KUSADASI TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,12.5,0.0,12.5,12.5,12.5,12.5,0.806,12.5,12.59,12.5,1712.5,137.0,4.0,0.0,0.0,0,0.0,237.5,19,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,KSTUR,KUSTUR KUSADASI TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTKSTUR,0,0,0,1,0,15.0,0.0,14.35,15.0,14.35,0.0,14.8,12.8,14.35,14.949,5217.2,349.0,9.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
