TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,MCTAS,MCT DANISMANLIK A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.62,0.0,5.48,5.62,5.62,0.0,0.0,5.46,5.6,5.502,2816.96,512.0,12.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,MCTAS,MCT DANISMANLIK A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.65,0.0,5.58,5.65,5.58,0.0,-0.712,5.56,5.58,5.586,614.45,110.0,3.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,MCTAS,MCT DANISMANLIK A.S.,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.6,0.0,5.6,5.6,5.6,0.0,0.358,5.47,5.6,5.6,168.0,30.0,2.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.68,5.68,5.46,5.68,5.56,0.0,-0.714,5.4,5.45,5.516,9454.92,1714.0,7.0,0.0,51.12,9,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.6,5.6,5.4,5.6,5.56,0.0,0.0,5.4,5.56,5.557,1455.85,262.0,11.0,0.0,16.8,3,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.6,5.6,5.44,5.6,5.54,0.0,-0.36,5.53,5.54,5.445,6179.7,1135.0,12.0,0.0,50.4,9,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.62,5.62,5.62,5.62,5.62,0.0,1.444,5.48,5.6,5.62,337.2,60.0,6.0,0.0,22.48,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.66,5.66,5.5,5.66,5.58,0.0,-0.712,5.5,5.58,5.52,6745.5,1222.0,17.0,0.0,22.64,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.64,5.64,5.5,5.64,5.56,0.0,-0.358,5.48,5.56,5.506,578.12,105.0,4.0,0.0,22.56,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.47,0.0,5.4,5.54,5.54,0.0,-0.36,5.36,5.48,5.426,9528.04,1756.0,8.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.64,5.64,5.4,5.64,5.54,0.0,0.0,5.32,5.46,5.449,6064.56,1113.0,11.0,0.0,22.56,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.54,5.54,5.4,5.54,5.53,0.0,-0.181,5.36,5.5,5.403,1658.77,307.0,5.0,0.0,33.24,6,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.4,5.56,5.56,0.0,0.542,5.3,5.46,5.423,2212.48,408.0,7.0,0.0,33.36,6,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.2,5.56,5.56,0.0,0.0,5.46,5.5,5.417,10888.78,2010.0,33.0,0.0,22.24,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.42,5.56,5.56,0.0,0.0,5.38,5.5,5.489,3386.98,617.0,12.0,0.0,16.68,3,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.6,5.6,5.44,5.6,5.59,0.0,0.54,5.42,5.58,5.458,245.59,45.0,4.0,0.0,22.4,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.6,5.6,5.44,5.6,5.54,0.0,-0.894,5.4,5.54,5.492,3355.54,611.0,9.0,0.0,50.4,9,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.4,5.56,5.56,0.0,0.361,5.38,5.54,5.514,38.6,7.0,4.0,0.0,22.24,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.56,5.56,5.56,0.0,0.0,5.4,5.56,5.56,567.12,102.0,2.0,0.0,11.12,2,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-25,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,6.16,0.0,5.4,6.16,5.56,0.0,0.0,5.4,5.56,5.567,612.32,110.0,10.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-28,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.4,5.56,5.56,0.0,0.0,5.4,5.56,5.533,66.4,12.0,8.0,0.0,33.36,6,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.5,5.56,5.56,0.0,0.0,5.4,5.56,5.506,2730.86,496.0,9.0,0.0,22.24,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.4,5.56,5.5,0.0,-1.079,5.36,5.5,5.401,2727.74,505.0,4.0,0.0,22.24,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.56,5.56,5.34,5.56,5.5,0.0,0.0,5.34,5.5,5.344,1800.78,337.0,5.0,0.0,22.24,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.5,5.5,5.3,5.5,5.4,0.0,-1.818,5.26,5.35,5.303,1617.4,305.0,4.0,0.0,22.0,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.42,5.42,5.3,5.46,5.3,0.0,-1.852,5.2,5.3,5.338,5183.6,971.0,13.0,0.0,21.68,4,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-06,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.36,5.36,5.1,5.36,5.26,0.0,-0.755,5.25,5.26,5.301,7782.08,1468.0,16.0,0.0,48.24,9,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-07,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.25,5.25,5.1,5.25,5.23,0.0,-0.57,5.22,5.23,5.175,4087.93,790.0,17.0,0.0,21.0,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.24,5.24,5.1,5.24,5.2,0.0,-0.574,5.08,5.2,5.211,5273.85,1012.0,22.0,0.0,20.96,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.24,5.24,5.24,5.24,5.24,0.0,0.769,5.12,5.22,5.24,1598.2,305.0,5.0,0.0,47.16,9,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-12,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.24,5.24,5.1,5.24,5.24,0.0,0.0,5.1,5.24,5.105,1444.8,283.0,7.0,0.0,20.96,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-13,MCTAS,MCT DANISMANLIK,G,MSPOT,MSPOTEQT,MSPOTEQTMCTAS,1,0,0,0,0,5.26,5.26,5.26,5.26,5.26,0.0,0.382,5.1,5.24,5.26,284.04,54.0,4.0,0.0,21.04,4,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
