TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,MERIT,MERIT TURIZM YAT ISL AS,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,4.94,4.94,4.94,4.94,4.94,0.0,0.0,0.0,4.93,4.94,251.94,51.0,1.0,0.0,251.94,51,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,MERIT,MERIT TURIZM YAT ISL AS,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,4.82,0.0,4.8,4.82,4.8,0.0,-2.834,4.8,4.82,4.816,5948.0,1235.0,5.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,MERIT,MERIT TURIZM YAT ISL AS,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,4.82,4.82,4.75,4.82,4.75,4.75,-1.042,4.75,4.78,4.817,5173.05,1074.0,16.0,0.0,4034.34,837,9.0,57.0,12,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,MERIT,MERIT TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,4.77,0.0,4.76,4.77,4.76,0.0,0.211,4.75,4.76,4.77,1359.44,285.0,7.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,MERIT,MERIT TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,4.76,0.0,4.42,4.76,4.42,0.0,-7.143,4.42,4.76,4.742,5249.26,1107.0,4.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,MERIT,MERIT TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,5.0,5.0,5.0,5.0,5.0,0.0,13.122,4.84,5.0,5.0,7730.0,1546.0,12.0,0.0,100.0,20,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,MERIT,MERIT TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,4.85,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,MERIT,MERIT TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,4.65,4.65,4.65,5.0,5.0,5.0,0.0,5.0,5.1,4.999,2624.65,525.0,9.0,0.0,4.65,1,1.0,50.0,10,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,MERIT,MERIT TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,5.01,5.01,5.0,5.1,5.1,0.0,2.0,4.9,5.1,5.043,237.02,47.0,8.0,0.0,10.02,2,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,MERIT,MERIT TURIZM,S,MSPOT,MSPOTEQT,MSPOTEQTMERIT,0,0,0,1,0,5.1,0.0,5.1,5.1,5.1,0.0,0.0,4.9,5.08,5.1,5.1,1.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
