TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,MMCAS,MMC SANAYI VE TICARI YATIRIMLAR,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.6,0.0,0.59,0.6,0.59,0.0,0.0,0.57,0.59,0.595,6206.47,10433.0,11.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,MMCAS,MMC SANAYI VE TICARI YATIRIMLAR,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.59,0.59,0.58,0.59,0.58,0.58,-1.695,0.57,0.58,0.587,5242.52,8938.0,15.0,0.0,295.0,500,1.0,122.38,211,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,MMCAS,MMC SANAYI VE TICARI YATIRIMLAR,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.58,0.58,0.55,0.58,0.55,0.55,-5.172,0.55,0.56,0.562,6185.08,11000.0,12.0,0.0,1537.0,2650,3.0,2747.8,4996,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,MMCAS,MMC SAN. VE TIC. YAT.,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.56,0.56,0.55,0.56,0.55,0.55,0.0,0.52,0.55,0.559,13770.78,24613.0,29.0,0.0,4944.24,8829,8.0,687.5,1250,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,MMCAS,MMC SAN. VE TIC. YAT.,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.57,0.0,0.55,0.57,0.55,0.0,0.0,0.53,0.55,0.555,4759.0,8580.0,17.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,MMCAS,MMC SAN. VE TIC. YAT.,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.55,0.55,0.55,0.55,0.55,0.55,0.0,0.53,0.55,0.55,8303.35,15097.0,20.0,0.0,2048.75,3725,5.0,1100.0,2000,3,0.55,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,MMCAS,MMC SAN. VE TIC. YAT.,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.55,0.55,0.55,0.57,0.55,0.0,0.0,0.54,0.55,0.55,28830.02,52416.0,29.0,0.0,5681.5,10330,6.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,MMCAS,MMC SAN. VE TIC. YAT.,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.55,0.55,0.53,0.55,0.53,0.53,-3.636,0.52,0.53,0.541,16303.23,30134.0,20.0,0.0,5747.5,10450,4.0,1.06,2,1,5.3,10,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,MMCAS,MMC SAN. VE TIC. YAT.,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.53,0.53,0.53,0.63,0.63,0.63,18.868,0.56,0.63,0.608,71755.02,118054.0,45.0,0.0,575.58,1086,2.0,34090.56,54112,12,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,MMCAS,MMC SAN. VE TIC. YAT.,W,MSPOT,MSPOTEQT,MSPOTEQTMMCAS,0,0,0,1,0,0.62,0.62,0.54,0.62,0.55,0.0,-12.698,0.54,0.55,0.568,36844.55,64917.0,49.0,0.0,9250.4,14920,14.0,0.0,0,0,6.6,12,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
