TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,MZHLD,MAZHAR ZORLU HOLDING A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,1.02,1.02,0.9,1.02,0.9,0.0,0.0,0.9,0.96,0.914,916.42,1003.0,9.0,0.0,1.02,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,MZHLD,MAZHAR ZORLU HOLDING A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.9,0.9,0.87,0.9,0.88,0.0,-2.222,0.88,0.89,0.877,3800.98,4336.0,20.0,0.0,238.5,265,4.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,MZHLD,MAZHAR ZORLU HOLDING A.S.,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.88,0.88,0.88,0.88,0.88,0.88,0.0,0.88,0.96,0.88,8910.0,10125.0,20.0,0.0,1100.0,1250,4.0,683.76,777,1,4540.8,5160,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,MZHLD,MAZHAR ZORLU HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.96,0.96,0.92,0.96,0.92,0.0,4.545,0.9,0.92,0.923,1205.92,1306.0,9.0,0.0,105.6,110,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,MZHLD,MAZHAR ZORLU HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.92,0.92,0.92,0.92,0.92,0.0,0.0,0.9,0.92,0.92,683.56,743.0,12.0,0.0,46.0,50,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,MZHLD,MAZHAR ZORLU HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.93,0.93,0.93,0.93,0.93,0.0,1.087,0.91,0.93,0.93,112.53,121.0,5.0,0.0,18.6,20,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,MZHLD,MAZHAR ZORLU HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.92,0.92,0.89,0.92,0.89,0.0,-4.301,0.89,0.9,0.891,922.27,1035.0,12.0,0.0,23.0,25,1.0,0.0,0,0,712.0,800,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,MZHLD,MAZHAR ZORLU HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.92,0.92,0.92,0.92,0.92,0.0,3.371,0.89,0.9,0.92,23.92,26.0,3.0,0.0,19.32,21,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,MZHLD,MAZHAR ZORLU HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.92,0.92,0.9,0.95,0.95,0.95,3.261,0.92,0.95,0.933,4824.89,5172.0,18.0,0.0,42.32,46,3.0,41.8,44,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,MZHLD,MAZHAR ZORLU HOLDING,W,MSPOT,MSPOTEQT,MSPOTEQTMZHLD,0,0,0,0,0,0.8,0.8,0.8,0.94,0.91,0.0,-4.211,0.81,0.91,0.92,2737.76,2975.0,9.0,0.0,240.0,300,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
