TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2021-04-01,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,9.35,9.35,9.35,9.35,9.35,9.35,0.0,9.35,0.0,9.35,160427.3,17158.0,1002.0,0.0,17073.1,1826,50.0,402.05,43,2,9.35,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-02,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,10.28,10.28,10.28,10.28,10.28,10.28,9.947,10.28,0.0,10.28,131306.44,12773.0,826.0,0.0,6229.68,606,82.0,195.32,19,2,30.84,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-05,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,11.3,11.3,11.3,11.3,11.3,11.3,9.922,11.3,0.0,11.3,276612.7,24479.0,1494.0,0.0,32996.0,2920,193.0,113.0,10,4,33.9,3,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-06,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,12.43,12.43,12.43,12.43,12.43,12.43,10.0,12.43,0.0,12.43,502607.05,40435.0,1014.0,0.0,107830.25,8675,159.0,99.44,8,3,248.6,20,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-07,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,13.67,13.67,13.67,13.67,13.67,13.67,9.976,13.67,0.0,13.67,1629833.09,119227.0,1180.0,0.0,635559.31,46493,208.0,68.35,5,3,54.68,4,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-08,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,15.03,15.03,15.03,15.03,15.03,15.03,9.949,15.03,0.0,15.03,14658458.4,975280.0,1879.0,0.0,7640861.22,508374,343.0,12219.39,813,4,1953.9,130,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-09,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,16.53,16.53,16.53,16.53,16.53,16.53,9.98,16.53,0.0,16.53,44332815.33,2681961.0,4491.0,0.0,21740140.29,1315193,1330.0,206608.47,12499,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-12,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,18.18,18.18,14.88,18.18,14.88,14.88,-9.982,0.0,14.88,16.384,1099982854.57,67137267.0,207195.0,0.0,187535862.72,10315504,4030.0,231964.32,15589,181,203930.4,13705,76,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-13,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,14.63,14.63,13.4,15.58,13.69,13.69,-7.997,13.69,13.7,13.964,588854087.15,42168084.0,116852.0,0.0,3303058.99,225773,896.0,2062494.33,150657,308,2268213.96,165684,153,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2021-04-14,NTGAZ,NATURELGAZ,Z,MSPOT,MSPOTEQT,MSPOTEQTNTGAZ,0,0,0,0,0,13.98,13.98,13.45,14.4,13.77,13.77,0.584,13.77,13.78,13.957,319475645.84,22889862.0,65329.0,0.0,1601269.2,114540,647.0,1789494.12,129956,185,608702.85,44205,47,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
