TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,OLMIP,OLMUKSA AS,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.85,0.0,7.65,7.85,7.71,0.0,0.0,7.71,7.75,7.705,17691.07,2296.0,79.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,OLMIP,OLMUKSA AS,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.73,0.0,7.63,7.85,7.72,0.0,0.13,7.71,7.8,7.696,8142.15,1058.0,71.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,OLMIP,OLMUKSA AS,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.79,0.0,7.69,7.83,7.76,0.0,0.518,7.75,7.76,7.741,17433.32,2252.0,38.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.76,0.0,7.69,7.78,7.77,0.0,0.129,7.74,7.77,7.736,4045.76,523.0,18.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.73,0.0,7.66,7.73,7.68,7.68,-1.158,7.68,7.73,7.686,14011.14,1823.0,52.0,0.0,0.0,0,0.0,2257.92,294,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.71,0.0,7.64,7.74,7.68,0.0,0.0,7.67,7.68,7.689,6612.7,860.0,30.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.66,0.0,7.66,7.85,7.7,0.0,0.26,7.69,7.76,7.714,8053.01,1044.0,32.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.69,0.0,7.6,7.8,7.76,0.0,0.779,7.7,7.76,7.696,8889.4,1155.0,62.0,0.0,0.0,0,0.0,0.0,0,0,620.8,80,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.76,0.0,7.62,7.84,7.69,0.0,-0.902,7.68,7.69,7.735,7881.93,1019.0,41.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.66,0.0,7.6,7.66,7.62,0.0,-0.91,7.61,7.62,7.616,7950.8,1044.0,51.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.66,0.0,7.57,7.66,7.58,7.58,-0.525,7.57,7.58,7.598,6352.15,836.0,46.0,0.0,0.0,0,0.0,151.6,20,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.64,0.0,7.6,7.7,7.7,7.7,1.583,7.67,7.7,7.682,3833.54,499.0,18.0,0.0,0.0,0,0.0,731.5,95,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.64,0.0,7.6,7.69,7.6,7.6,-1.299,7.58,7.6,7.629,9735.05,1276.0,37.0,0.0,0.0,0,0.0,3914.0,515,7,152.0,20,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.68,0.0,7.62,7.8,7.7,0.0,1.316,7.66,7.7,7.666,91113.24,11885.0,24.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.7,0.0,7.61,7.77,7.72,7.72,0.26,7.72,7.73,7.688,9372.24,1219.0,31.0,0.0,0.0,0,0.0,7.72,1,1,702.52,91,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.76,0.0,7.7,7.81,7.73,0.0,0.13,7.74,7.79,7.741,18075.62,2335.0,35.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.75,0.0,7.6,7.78,7.69,0.0,-0.517,7.68,7.69,7.663,8743.12,1141.0,28.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.73,0.0,7.71,7.96,7.79,0.0,1.3,7.73,7.79,7.788,10327.13,1326.0,38.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.75,0.0,7.66,7.78,7.7,0.0,-1.155,7.7,7.74,7.726,96974.94,12552.0,45.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,7.68,7.68,7.68,38400.0,5000,1,0.0,0.0,0.0,0.0,0,0
2015-12-25,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.75,0.0,7.7,7.94,7.86,0.0,2.078,7.79,7.85,7.831,159206.55,20330.0,105.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,7.79,7.79,7.79,58425.0,7500,1,0.0,0.0,0.0,0.0,0,0
2015-12-28,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.8,0.0,7.77,8.0,7.99,0.0,1.654,7.99,8.0,7.929,67854.65,8558.0,108.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.99,0.0,7.83,8.03,7.93,0.0,-0.751,7.92,7.93,7.946,14358.68,1807.0,57.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.93,7.93,7.73,7.94,7.77,0.0,-2.018,7.76,7.77,7.843,31942.74,4073.0,90.0,0.0,174.46,22,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.8,0.0,7.76,7.88,7.76,0.0,-0.129,7.76,7.88,7.789,15001.99,1926.0,24.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.73,0.0,7.6,7.76,7.66,0.0,-1.289,7.65,7.66,7.714,43723.52,5668.0,50.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-05,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.65,0.0,7.59,7.99,7.95,0.0,3.786,7.95,7.96,7.777,91750.87,11797.0,134.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-06,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.95,7.95,7.75,8.0,7.97,7.97,0.252,7.9,7.97,7.881,77552.02,9840.0,95.0,0.0,119.25,15,1.0,15.94,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-07,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.82,0.0,7.63,7.95,7.95,0.0,-0.251,7.95,7.97,7.875,98747.91,12539.0,45.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-08,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.97,0.0,7.8,7.99,7.94,0.0,-0.126,7.81,7.9,7.887,25208.2,3196.0,38.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-11,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.92,7.92,7.73,7.95,7.9,0.0,-0.504,7.9,7.95,7.913,13642.1,1724.0,22.0,0.0,71.28,9,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-12,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,7.95,0.0,7.95,8.45,7.99,7.99,1.139,7.99,8.0,8.075,327130.56,40514.0,466.0,0.0,0.0,0,0.0,2213.23,277,3,3995.0,500,4,8.12,8.29,8.14,89.54,11,3,0.0,0.0,0.0,0.0,0,0
2016-01-13,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.0,0.0,7.96,8.11,8.1,8.1,1.377,8.1,8.11,8.018,70348.22,8774.0,84.0,0.0,0.0,0,0.0,32.4,4,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-14,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.15,0.0,7.97,8.15,8.0,8.0,-1.235,8.0,8.03,8.011,8828.16,1102.0,75.0,0.0,0.0,0,0.0,904.0,113,3,720.0,90,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-15,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.06,0.0,7.98,8.06,8.0,0.0,0.0,8.0,8.03,8.025,45943.0,5725.0,16.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-18,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.05,0.0,8.01,8.15,8.06,8.06,0.75,8.06,8.12,8.092,263791.46,32600.0,86.0,0.0,0.0,0,0.0,145.08,18,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-19,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.12,0.0,8.01,8.25,8.01,0.0,-0.62,8.04,8.12,8.172,35995.56,4405.0,33.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-20,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.04,0.0,8.04,8.1,8.04,0.0,0.375,8.04,8.07,8.057,7726.48,959.0,20.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-21,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.03,0.0,7.97,8.41,8.3,8.3,3.234,8.28,8.41,8.18,168834.01,20640.0,127.0,0.0,0.0,0,0.0,107.9,13,3,3328.3,401,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-22,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.35,8.35,8.2,8.86,8.7,8.7,4.819,8.62,8.7,8.477,1244955.13,146862.0,394.0,0.0,183.7,22,2.0,4097.7,471,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-25,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.7,8.7,8.22,8.84,8.47,8.47,-2.644,8.47,8.52,8.496,461250.72,54292.0,946.0,0.0,26.1,3,2.0,203.28,24,4,618.31,73,3,8.61,8.61,8.61,8.61,1,1,0.0,0.0,0.0,0.0,0,0
2016-01-26,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.47,8.47,8.47,8.8,8.8,8.8,3.896,8.68,8.8,8.651,101183.05,11696.0,174.0,0.0,16.94,2,2.0,1760.0,200,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-27,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.76,0.0,8.54,8.85,8.54,8.54,-2.955,8.54,8.6,8.724,126238.57,14470.0,135.0,0.0,0.0,0,0.0,469.7,55,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-28,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.61,0.0,8.28,8.69,8.34,8.34,-2.342,8.3,8.34,8.428,98485.68,11685.0,201.0,0.0,0.0,0,0.0,625.5,75,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-29,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.34,8.34,8.23,8.39,8.29,0.0,-0.6,8.26,8.28,8.29,80416.2,9700.0,125.0,0.0,75.06,9,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-02-01,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.27,0.0,8.2,8.31,8.25,8.25,-0.483,8.24,8.25,8.224,20527.69,2496.0,49.0,0.0,0.0,0,0.0,8.25,1,1,816.75,99,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-02-02,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.29,0.0,8.29,9.9,8.39,8.39,1.697,8.36,8.39,8.686,800987.41,92221.0,535.0,0.0,0.0,0,0.0,839.0,100,1,0.0,0,0,8.66,9.9,8.868,28910.79,3260,22,0.0,0.0,0.0,0.0,0,0
2016-02-03,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.35,0.0,8.2,8.38,8.3,8.3,-1.073,8.3,8.31,8.28,100270.02,12110.0,143.0,0.0,0.0,0,0.0,365.2,44,1,7138.0,860,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-02-04,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.3,0.0,8.3,8.39,8.37,8.37,0.843,8.35,8.37,8.362,57955.32,6931.0,47.0,0.0,0.0,0,0.0,234.36,28,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-02-05,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.34,0.0,8.26,8.54,8.45,0.0,0.956,8.36,8.45,8.351,36169.21,4331.0,87.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-02-08,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.52,8.52,8.37,8.55,8.37,8.37,-0.947,8.37,8.45,8.491,45543.32,5364.0,144.0,0.0,1704.0,200,3.0,837.0,100,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-02-09,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.4,0.0,8.33,8.71,8.44,8.44,0.836,8.44,8.45,8.535,126584.81,14831.0,168.0,0.0,0.0,0,0.0,33.76,4,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-02-10,OLMIP,OLMUKSAN-IP,N,MSPOT,MSPOTEQT,MSPOTEQTOLMIP,0,0,0,0,0,8.49,0.0,8.41,8.5,8.41,0.0,-0.355,8.45,8.46,8.493,4875.25,574.0,22.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
