TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,OYAYO,OYAK YATIRIM ORTAKLIGI AS,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.81,0.81,0.8,0.84,0.82,0.82,0.0,0.82,0.83,0.812,1569091.54,1932274.0,1314.0,0.0,23214.6,28660,16.0,569.9,695,1,0.0,0,0,0.81,0.82,0.813,76834.31,94532,118,0.0,0.0,0.0,0.0,0,0
2015-12-01,OYAYO,OYAK YATIRIM ORTAKLIGI AS,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.83,0.83,0.78,0.83,0.8,0.8,-2.439,0.79,0.8,0.806,642978.34,797970.0,613.0,0.0,22395.89,26983,9.0,6334.4,7918,6,8240.0,10300,6,0.8,0.82,0.814,10795.58,13267,4,0.0,0.0,0.0,0.0,0,0
2015-12-02,OYAYO,OYAK YATIRIM ORTAKLIGI AS,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.8,0.8,0.78,0.81,0.79,0.79,-1.25,0.78,0.79,0.793,678455.55,855597.0,1600.0,0.0,5260.0,6575,5.0,6320.0,8000,17,308.1,390,4,0.79,0.8,0.799,19315.5,24160,106,0.0,0.0,0.0,0.0,0,0
2015-12-03,OYAYO,OYAK YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.79,0.79,0.74,0.79,0.77,0.77,-2.532,0.76,0.77,0.764,875029.15,1146041.0,1417.0,0.0,6332.64,8016,5.0,14403.62,18706,9,388.85,505,3,0.76,0.77,0.765,28588.35,37355,43,0.0,0.0,0.0,0.0,0,0
2015-12-04,OYAYO,OYAK YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.77,0.77,0.74,0.78,0.77,0.77,0.0,0.76,0.77,0.752,347645.57,462546.0,560.0,0.0,4669.28,6064,4.0,1540.0,2000,1,0.0,0,0,0.76,0.76,0.76,1064.0,1400,3,0.0,0.0,0.0,0.0,0,0
2015-12-07,OYAYO,OYAK YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.77,0.77,0.74,0.78,0.75,0.75,-2.597,0.74,0.75,0.748,264290.2,353194.0,292.0,0.0,2541.0,3300,4.0,2223.0,2964,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,OYAYO,OYAK YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.75,0.75,0.7,0.75,0.7,0.7,-6.667,0.7,0.71,0.727,541833.97,745338.0,648.0,0.0,5250.0,7000,4.0,3500.0,5000,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,OYAYO,OYAK YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.71,0.71,0.67,0.72,0.7,0.7,0.0,0.69,0.7,0.691,743969.33,1077331.0,530.0,0.0,1420.0,2000,2.0,407.4,582,5,0.0,0,0,0.68,0.71,0.697,14791.5,21235,31,0.0,0.0,0.0,0.0,0,0
2015-12-10,OYAYO,OYAK YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.69,0.69,0.67,0.71,0.69,0.69,-1.429,0.68,0.69,0.692,204812.1,296005.0,205.0,0.0,209.76,304,4.0,2726.19,3951,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,OYAYO,OYAK YAT. ORT.,K,MSPOT,MSPOTEQT,MSPOTEQTOYAYO,1,0,0,0,0,0.69,0.69,0.66,0.69,0.67,0.67,-2.899,0.67,0.68,0.675,203445.06,301345.0,185.0,0.0,1380.0,2000,2.0,2.01,3,1,1668.3,2490,1,0.68,0.68,0.68,92.48,136,6,0.0,0.0,0.0,0.0,0,0
