TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,PKENT,PETROKENT TURIZM AS,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,72.0,72.0,66.0,72.0,66.0,66.0,0.0,65.5,66.0,66.217,9138.0,138.0,16.0,0.0,360.0,5,3.0,132.0,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,PKENT,PETROKENT TURIZM AS,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,66.0,66.0,62.95,66.0,62.95,62.95,-4.621,62.95,63.0,63.455,21701.45,342.0,31.0,0.0,2376.0,36,4.0,6546.8,104,3,314.75,5,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,PKENT,PETROKENT TURIZM AS,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,65.0,65.0,63.0,65.0,63.0,0.0,0.079,63.0,63.4,64.159,2566.35,40.0,11.0,0.0,260.0,4,3.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,PKENT,PETROKENT TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,63.0,0.0,62.9,63.0,63.0,0.0,0.0,64.85,64.9,62.998,5543.8,88.0,15.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,PKENT,PETROKENT TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,64.95,64.95,62.0,64.95,62.0,62.0,-1.587,60.5,62.0,64.538,774.45,12.0,4.0,0.0,649.5,10,2.0,62.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,PKENT,PETROKENT TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,62.1,62.1,62.1,64.8,62.1,0.0,0.161,62.15,63.9,63.317,1519.6,24.0,6.0,0.0,62.1,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,PKENT,PETROKENT TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,62.1,62.1,62.0,62.1,62.0,62.0,-0.161,61.2,62.0,62.013,496.1,8.0,4.0,0.0,62.1,1,1.0,62.0,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,PKENT,PETROKENT TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,59.25,59.25,59.0,59.35,59.0,59.0,-4.839,59.0,60.2,59.073,21443.35,363.0,38.0,0.0,2014.5,34,6.0,6195.0,105,3,3245.0,55,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,PKENT,PETROKENT TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,60.0,60.0,59.0,61.0,59.0,59.0,0.0,59.0,60.0,60.077,9792.5,163.0,17.0,0.0,780.0,13,1.0,590.0,10,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,PKENT,PETROKENT TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTPKENT,0,0,0,0,0,59.0,59.0,57.8,59.0,58.0,58.0,-1.695,57.8,58.0,58.579,5975.05,102.0,21.0,0.0,2596.0,44,5.0,116.0,2,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
