TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,POLTK,POLITEKNIK METAL SAN VE TIC AS,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,18.0,18.0,18.0,18.7,18.5,0.0,0.0,18.43,18.5,18.376,119995.38,6530.0,69.0,0.0,3600.0,200,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,POLTK,POLITEKNIK METAL SAN VE TIC AS,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,18.58,0.0,18.58,18.9,18.8,0.0,1.622,18.8,18.81,18.746,161192.87,8599.0,73.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,POLTK,POLITEKNIK METAL SAN VE TIC AS,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,18.9,0.0,18.9,19.12,19.1,0.0,1.596,18.97,19.1,19.022,120826.99,6352.0,56.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,POLTK,POLITEKNIK METAL,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,19.1,19.1,18.95,21.0,19.4,0.0,1.571,19.4,19.41,19.194,389626.18,20299.0,225.0,0.0,382.0,20,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,POLTK,POLITEKNIK METAL,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,19.3,0.0,19.3,19.61,19.61,0.0,1.082,19.5,19.61,19.485,170004.52,8725.0,106.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,POLTK,POLITEKNIK METAL,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,19.61,19.61,19.6,19.65,19.63,0.0,0.102,19.63,19.65,19.628,100827.58,5137.0,42.0,0.0,215.71,11,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,POLTK,POLITEKNIK METAL,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,19.63,19.63,19.6,19.9,19.73,0.0,0.509,19.73,19.75,19.718,112746.63,5718.0,44.0,0.0,98.15,5,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,POLTK,POLITEKNIK METAL,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,19.8,0.0,19.75,19.9,19.76,0.0,0.152,19.75,19.76,19.845,181463.33,9144.0,62.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,POLTK,POLITEKNIK METAL,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,19.75,19.75,19.0,19.75,19.61,0.0,-0.759,19.5,19.61,19.164,670686.76,34997.0,61.0,0.0,158.0,8,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,POLTK,POLITEKNIK METAL,G,MSPOT,MSPOTEQT,MSPOTEQTPOLTK,1,0,0,0,0,19.61,19.61,19.4,19.61,19.6,19.6,-0.051,19.5,19.6,19.507,77989.15,3998.0,34.0,0.0,98.05,5,1.0,2900.8,148,4,4978.4,254,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
