TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,ROYAL,ROYAL HALI IPLIK TEKS MOB SN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.73,0.0,1.7,1.73,1.7,1.7,0.0,1.7,1.71,1.711,88314.42,51619.0,100.0,0.0,0.0,0,0.0,8.5,5,2,0.0,0,0,1.71,1.71,1.71,2565.0,1500,1,0.0,0.0,0.0,0.0,0,0
2015-12-01,ROYAL,ROYAL HALI IPLIK TEKS MOB SN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.71,0.0,1.71,1.74,1.73,1.73,1.765,1.72,1.73,1.73,159404.81,92115.0,101.0,0.0,0.0,0,0.0,2595.0,1500,1,173.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,ROYAL,ROYAL HALI IPLIK TEKS MOB SN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.73,1.73,1.71,1.75,1.71,1.71,-1.156,1.71,1.72,1.724,290700.95,168583.0,172.0,0.0,363.3,210,1.0,10.26,6,3,42789.33,25023,19,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,ROYAL,ROYAL HALI,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.72,1.72,1.7,1.73,1.71,1.71,0.0,1.7,1.71,1.716,171093.29,99682.0,87.0,0.0,156.52,91,2.0,1.71,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,ROYAL,ROYAL HALI,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.72,0.0,1.67,1.72,1.68,1.68,-1.754,1.67,1.68,1.686,127810.99,75806.0,115.0,0.0,0.0,0,0.0,3376.8,2010,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,ROYAL,ROYAL HALI,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.69,1.69,1.67,1.69,1.67,1.67,-0.595,1.66,1.67,1.673,155944.04,93227.0,122.0,0.0,255.19,151,2.0,43.42,26,2,16.7,10,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,ROYAL,ROYAL HALI,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.68,1.68,1.66,1.68,1.67,1.67,0.0,1.66,1.67,1.672,337142.81,201682.0,115.0,0.0,168.0,100,1.0,138.61,83,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,ROYAL,ROYAL HALI,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.67,1.67,1.65,1.68,1.67,1.67,0.0,1.67,1.68,1.663,96310.57,57925.0,138.0,0.0,18.37,11,2.0,3348.35,2005,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,ROYAL,ROYAL HALI,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.67,1.67,1.63,1.69,1.63,1.63,-2.395,1.63,1.64,1.658,202315.16,122046.0,167.0,0.0,3340.0,2000,1.0,4784.05,2935,7,0.0,0,0,1.68,1.68,1.68,3360.0,2000,1,0.0,0.0,0.0,0.0,0,0
2015-12-11,ROYAL,ROYAL HALI,N,MSPOT,MSPOTEQT,MSPOTEQTROYAL,0,0,0,0,0,1.65,0.0,1.57,1.65,1.59,1.59,-2.454,1.59,1.6,1.601,189823.24,118575.0,277.0,0.0,0.0,0,0.0,4770.0,3000,6,2615.55,1645,3,1.61,1.61,1.61,780.85,485,3,0.0,0.0,0.0,0.0,0,0
