TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,SAMAT,SARAY MATBAA KAGIT KIRT TIC SAN,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,1.0,1.0,0.99,1.02,1.01,1.01,0.0,1.0,1.01,1.002,141898.91,141616.0,176.0,0.0,3.0,3,3.0,505.0,500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,SAMAT,SARAY MATBAA KAGIT KIRT TIC SAN,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,1.0,1.0,1.0,1.02,1.01,1.01,0.0,1.01,1.02,1.01,113179.92,112021.0,210.0,0.0,1.0,1,1.0,2064.44,2044,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,SAMAT,SARAY MATBAA KAGIT KIRT TIC SAN,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,1.02,0.0,1.0,1.02,1.0,1.0,-0.99,1.0,1.01,1.006,66101.5,65699.0,79.0,0.0,0.0,0,0.0,1227.0,1227,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,SAMAT,SARAY MATBAACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,1.0,1.0,0.99,1.01,1.01,1.01,1.0,1.0,1.01,1.002,106311.23,106124.0,110.0,0.0,176.0,176,3.0,3030.0,3000,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,SAMAT,SARAY MATBAACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,1.0,1.0,0.98,1.01,0.99,0.99,-1.98,0.99,1.0,0.991,177074.36,178639.0,140.0,0.0,501.0,501,2.0,19.8,20,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,SAMAT,SARAY MATBAACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,0.99,0.0,0.98,0.99,0.98,0.98,-1.01,0.98,0.99,0.981,111736.31,113899.0,112.0,0.0,0.0,0,0.0,201.88,206,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,SAMAT,SARAY MATBAACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,0.98,0.98,0.96,0.99,0.98,0.98,0.0,0.98,0.99,0.978,137126.03,140269.0,111.0,0.0,294.0,300,3.0,6867.84,7008,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,SAMAT,SARAY MATBAACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,0.98,0.98,0.96,0.98,0.97,0.97,-1.02,0.97,0.98,0.972,50633.75,52099.0,72.0,0.0,19.6,20,1.0,1891.5,1950,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,SAMAT,SARAY MATBAACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,0.97,0.0,0.95,0.98,0.96,0.96,-1.031,0.95,0.96,0.964,99865.13,103628.0,109.0,0.0,0.0,0,0.0,4896.0,5100,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,SAMAT,SARAY MATBAACILIK,N,MSPOT,MSPOTEQT,MSPOTEQTSAMAT,0,0,0,0,0,0.96,0.96,0.93,0.97,0.93,0.93,-3.125,0.93,0.95,0.942,118541.14,125865.0,142.0,0.0,41.28,43,3.0,1050.9,1130,3,119.04,128,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
