TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,SEKFK,SEKER FINANSAL KIRALAMA AS,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.75,0.75,0.74,0.78,0.76,0.76,0.0,0.75,0.76,0.761,82306.89,108160.0,189.0,0.0,7.5,10,1.0,190.0,250,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,SEKFK,SEKER FINANSAL KIRALAMA AS,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.74,0.0,0.74,0.77,0.76,0.76,0.0,0.75,0.76,0.757,51609.23,68206.0,79.0,0.0,0.0,0,0.0,4192.16,5516,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,SEKFK,SEKER FINANSAL KIRALAMA AS,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.78,0.78,0.75,0.79,0.76,0.76,0.0,0.76,0.77,0.772,62407.16,80840.0,147.0,0.0,117.0,150,1.0,0.76,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.77,0.0,0.77,0.88,0.85,0.85,11.842,0.85,0.86,0.83,536692.67,646623.0,422.0,0.0,0.0,0,0.0,5135.7,6042,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.86,0.86,0.79,0.89,0.82,0.82,-3.529,0.82,0.83,0.848,337596.7,398012.0,275.0,0.0,2924.86,3401,3.0,3280.0,4000,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.84,0.84,0.8,0.85,0.83,0.0,1.22,0.82,0.83,0.83,208321.38,251079.0,201.0,0.0,1092.0,1300,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.81,0.0,0.79,0.87,0.85,0.0,2.41,0.85,0.86,0.842,497341.93,590338.0,329.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.87,0.87,0.84,0.92,0.92,0.92,8.235,0.9,0.92,0.892,920969.66,1032657.0,504.0,0.0,0.87,1,1.0,4228.32,4596,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.92,0.92,0.88,0.97,0.9,0.9,-2.174,0.89,0.9,0.922,549829.94,596534.0,535.0,0.0,141.68,154,3.0,6314.4,7016,7,121.5,135,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.74,0.0,0.74,0.92,0.84,0.0,-6.667,0.84,0.86,0.856,280136.34,327186.0,613.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.85,0.0,0.84,0.93,0.91,0.91,8.333,0.9,0.91,0.887,492073.82,554994.0,439.0,0.0,0.0,0,0.0,4551.82,5002,5,4550.0,5000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.92,0.92,0.89,0.97,0.9,0.9,-1.099,0.89,0.9,0.923,656149.15,710608.0,619.0,0.0,7.36,8,1.0,94.5,105,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.89,0.89,0.87,0.95,0.95,0.95,5.556,0.94,0.95,0.915,490528.49,536306.0,417.0,0.0,0.89,1,1.0,8645.0,9100,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.97,0.97,0.91,1.01,1.0,1.0,5.263,1.0,1.01,0.97,591439.37,609646.0,530.0,0.0,4947.0,5100,6.0,500.0,500,1,20000.0,20000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.8,0.8,0.8,1.04,0.99,0.99,-1.0,0.99,1.0,0.99,776879.17,784909.0,595.0,0.0,24000.0,30000,18.0,2874.96,2904,2,43.56,44,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,1.01,0.0,0.93,1.01,0.96,0.96,-3.03,0.95,0.96,0.95,790133.86,831962.0,723.0,0.0,0.0,0,0.0,5.76,6,2,4809.6,5010,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.96,0.0,0.93,1.04,1.0,1.0,4.167,1.0,1.01,0.995,832284.59,836603.0,727.0,0.0,0.0,0,0.0,3367.0,3367,3,9322.0,9322,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,1.02,1.02,0.98,1.02,0.99,0.99,-1.0,0.98,0.99,0.996,399526.89,401213.0,583.0,0.0,256.02,251,2.0,5958.81,6019,8,99.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,SEKFK,SEKER FIN. KIR.,N,MSPOT,MSPOTEQT,MSPOTEQTSEKFK,0,0,0,0,0,0.99,0.99,0.97,1.01,0.99,0.99,0.0,0.99,1.0,0.989,160494.58,162237.0,195.0,0.0,53.46,54,2.0,14.85,15,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
