TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.45,0.0,2.42,2.46,2.46,2.46,0.0,2.45,2.46,2.451,1175505.17,479583.0,184.0,0.0,0.0,0,0.0,148023.12,60172,14,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.45,2.45,2.44,2.48,2.45,2.45,-0.407,2.44,2.45,2.451,277983.9,113424.0,151.0,0.0,245.0,100,1.0,27302.8,11144,9,12985.0,5300,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.46,2.46,2.42,2.48,2.44,2.44,-0.408,2.43,2.44,2.45,213014.19,86930.0,255.0,0.0,984.0,400,1.0,5128.88,2102,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.44,2.44,2.37,2.45,2.37,2.37,-2.869,2.37,2.4,2.409,294840.89,122400.0,366.0,0.0,19.52,8,1.0,12110.7,5110,17,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.39,2.39,2.32,2.4,2.34,2.34,-1.266,2.34,2.35,2.344,512040.32,218473.0,447.0,0.0,363.28,152,1.0,9860.76,4214,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.35,2.35,2.32,2.36,2.34,2.34,0.0,2.33,2.34,2.34,215392.25,92034.0,290.0,0.0,145.7,62,3.0,5421.78,2317,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.33,2.33,2.32,2.36,2.32,2.32,-0.855,2.31,2.32,2.339,168119.41,71890.0,415.0,0.0,20.97,9,3.0,8096.8,3490,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.32,2.32,2.29,2.36,2.35,2.35,1.293,2.34,2.35,2.329,221583.04,95138.0,385.0,0.0,16.24,7,1.0,314.9,134,2,58.75,25,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.35,2.35,2.3,2.38,2.32,2.32,-1.277,2.31,2.32,2.343,216022.51,92208.0,219.0,0.0,16.45,7,2.0,925.68,399,4,232.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.32,2.32,2.28,2.32,2.3,2.3,-0.862,2.3,2.31,2.3,337797.05,146849.0,172.0,0.0,18.56,8,3.0,9351.8,4066,7,9200.0,4000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,SELEC,SELCUK ECZA DEPOSU,Z,MSPOT,MSPOTEQT,MSPOTEQTSELEC,0,0,0,0,0,2.32,2.32,2.31,2.34,2.33,2.33,1.304,2.32,2.33,2.322,314701.98,135523.0,102.0,0.0,11.6,5,2.0,440.37,189,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
