TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,SELGD,SELCUK GIDA ENDUSTRI IHR ITH AS,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.38,0.0,0.37,0.38,0.37,0.37,0.0,0.36,0.37,0.37,2102.11,5674.0,8.0,0.0,0.0,0,0.0,1998.37,5401,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,SELGD,SELCUK GIDA ENDUSTRI IHR ITH AS,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0.0,0.0,0.36,0.37,0.37,2550.41,6893.0,16.0,0.0,268.99,727,2.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,SELGD,SELCUK GIDA ENDUSTRI IHR ITH AS,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.38,0.38,0.37,0.38,0.37,0.0,0.0,0.36,0.37,0.37,3283.76,8875.0,10.0,0.0,0.38,1,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,SELGD,SELCUK GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.37,0.0,0.36,0.37,0.36,0.36,-2.703,0.36,0.37,0.369,11570.39,31319.0,11.0,0.0,0.0,0,0.0,635.04,1764,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,SELGD,SELCUK GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.32,0.32,0.32,0.36,0.36,0.0,0.0,0.36,0.37,0.334,6302.64,18880.0,30.0,0.0,3953.28,12354,14.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,SELGD,SELCUK GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.35,0.35,0.35,0.36,0.35,0.35,-2.778,0.34,0.35,0.35,2956.43,8439.0,17.0,0.0,203.35,581,4.0,350.0,1000,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,SELGD,SELCUK GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.36,0.36,0.36,0.36,0.36,0.36,2.857,0.35,0.36,0.36,1764.0,4900.0,9.0,0.0,36.0,100,1.0,540.0,1500,1,360.0,1000,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,SELGD,SELCUK GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.36,0.36,0.36,0.37,0.37,0.37,2.778,0.37,0.38,0.365,12532.41,34379.0,18.0,0.0,1800.0,5000,4.0,5770.89,15597,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,SELGD,SELCUK GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.38,0.38,0.38,0.44,0.44,0.0,18.919,0.44,0.0,0.43,90221.24,209650.0,56.0,0.0,9234.0,24300,5.0,0.0,0,0,27974.76,63579,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,SELGD,SELCUK GIDA,W,MSPOT,MSPOTEQT,MSPOTEQTSELGD,0,0,0,0,0,0.42,0.42,0.41,0.44,0.44,0.44,0.0,0.42,0.44,0.433,51028.27,117890.0,40.0,0.0,3676.26,8753,9.0,244.2,555,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
