TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,SNGYO,SINPAS GAYRI MENKUL YAT ORT AS,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.64,0.64,0.63,0.65,0.63,0.63,0.0,0.63,0.64,0.639,1193546.01,1869229.0,455.0,0.0,1027.2,1605,4.0,20907.81,33187,8,17163.72,27244,3,0.63,0.64,0.636,69200.81,108833,26,0.0,0.0,0.0,0.0,0,0
2015-12-01,SNGYO,SINPAS GAYRI MENKUL YAT ORT AS,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.64,0.64,0.63,0.65,0.64,0.64,1.587,0.64,0.65,0.641,395504.73,616670.0,143.0,0.0,60801.28,95002,7.0,23351.68,36487,10,16000.0,25000,1,0.64,0.64,0.64,16000.64,25001,2,0.0,0.0,0.0,0.0,0,0
2015-12-02,SNGYO,SINPAS GAYRI MENKUL YAT ORT AS,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.64,0.64,0.63,0.65,0.64,0.64,0.0,0.63,0.64,0.639,826183.29,1291975.0,401.0,0.0,790.4,1235,6.0,11928.96,18639,8,12672.0,19800,1,0.63,0.64,0.637,144302.52,226652,70,0.0,0.0,0.0,0.0,0,0
2015-12-03,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.64,0.64,0.63,0.65,0.64,0.64,0.0,0.63,0.64,0.64,912414.96,1425091.0,280.0,0.0,38023.04,59411,4.0,5846.4,9135,5,97.28,152,6,0.64,0.64,0.64,48000.0,75000,1,0.0,0.0,0.0,0.0,0,0
2015-12-04,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.64,0.64,0.62,0.64,0.64,0.64,0.0,0.63,0.64,0.631,1141883.63,1809553.0,642.0,0.0,2769.28,4327,10.0,128.0,200,3,320.0,500,1,0.63,0.63,0.63,141750.63,225001,67,0.0,0.0,0.0,0.0,0,0
2015-12-07,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.64,0.64,0.62,0.64,0.63,0.63,-1.563,0.63,0.64,0.63,843706.48,1339507.0,218.0,0.0,2780.8,4345,8.0,10863.09,17243,13,0.0,0,0,0.63,0.63,0.63,94501.89,150003,6,0.0,0.0,0.0,0.0,0,0
2015-12-08,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.63,0.63,0.62,0.64,0.62,0.62,-1.587,0.62,0.63,0.631,1286665.73,2037775.0,228.0,0.0,95655.42,151834,16.0,7750.0,12500,3,31.0,50,1,0.63,0.63,0.63,57960.0,92000,1,0.0,0.0,0.0,0.0,0,0
2015-12-09,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.63,0.63,0.62,0.64,0.64,0.0,3.226,0.63,0.64,0.63,1354164.11,2149482.0,170.0,0.0,10127.88,16076,5.0,0.0,0,0,0.64,1,1,0.62,0.63,0.63,380998.84,604901,16,0.0,0.0,0.0,0.0,0,0
2015-12-10,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.63,0.63,0.61,0.64,0.62,0.62,-3.125,0.61,0.62,0.623,650390.5,1043655.0,300.0,0.0,47250.0,75000,4.0,1556.2,2510,6,0.0,0,0,0.62,0.63,0.627,47532.21,75846,14,0.0,0.0,0.0,0.0,0,0
2015-12-11,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.62,0.62,0.6,0.63,0.61,0.61,-1.613,0.6,0.61,0.614,1621732.66,2641768.0,358.0,0.0,310.0,500,2.0,15869.15,26015,8,1525.0,2500,1,0.62,0.62,0.62,30001.8,48390,7,0.0,0.0,0.0,0.0,0,0
2015-12-14,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.61,0.61,0.6,0.62,0.6,0.6,-1.639,0.6,0.61,0.609,1032393.43,1695918.0,245.0,0.0,15878.3,26030,14.0,10752.0,17920,4,136318.2,227197,7,0.6,0.6,0.6,67206.0,112010,9,0.0,0.0,0.0,0.0,0,0
2015-12-15,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.61,0.61,0.6,0.63,0.63,0.63,5.0,0.62,0.63,0.614,976944.22,1590320.0,168.0,0.0,3245.81,5321,4.0,882.0,1400,1,1.89,3,1,0.61,0.61,0.61,29890.61,49001,2,0.0,0.0,0.0,0.0,0,0
2015-12-16,SNGYO,SINPAS GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTSNGYO,0,1,0,0,0,0.62,0.62,0.61,0.63,0.62,0.62,-1.587,0.61,0.62,0.617,868847.26,1407701.0,178.0,0.0,14.26,23,2.0,7440.0,12000,3,930.0,1500,2,0.62,0.62,0.62,48980.62,79001,5,0.0,0.0,0.0,0.0,0,0
