TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TATGD,TAT GIDA SANAYI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.59,5.59,5.44,5.59,5.5,5.5,0.0,5.5,5.51,5.528,4168973.32,754134.0,1076.0,0.0,6188.13,1107,4.0,22181.5,4033,11,26119.5,4749,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,TATGD,TAT GIDA SANAYI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.55,5.55,5.53,5.79,5.72,5.72,4.0,5.72,5.73,5.669,5713403.91,1007856.0,1744.0,0.0,30913.5,5570,9.0,28542.8,4990,10,22880.0,4000,6,5.56,5.76,5.689,132007.38,23204,56,0.0,0.0,0.0,0.0,0,0
2015-12-02,TATGD,TAT GIDA SANAYI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.75,5.75,5.73,5.95,5.85,5.85,2.273,5.84,5.85,5.824,8018693.11,1376857.0,1872.0,0.0,116414.5,20246,20.0,100052.55,17103,13,24388.65,4169,7,5.75,5.94,5.833,157197.95,26952,137,0.0,0.0,0.0,0.0,0,0
2015-12-03,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.88,5.88,5.85,6.07,5.9,5.9,0.855,5.9,5.91,5.966,11216440.92,1879907.0,2834.0,0.0,19104.12,3249,5.0,37801.3,6407,11,38603.7,6543,5,5.88,6.07,5.97,839085.44,140546,240,0.0,0.0,0.0,0.0,0,0
2015-12-04,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.93,5.93,5.61,5.96,5.72,5.72,-3.051,5.72,5.75,5.738,6982967.67,1216971.0,1961.0,0.0,46900.37,7909,9.0,147844.84,25847,25,33456.28,5849,15,5.73,5.96,5.784,24060.8,4160,37,0.0,0.0,0.0,0.0,0,0
2015-12-07,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.75,5.75,5.61,5.76,5.66,5.66,-1.049,5.66,5.67,5.666,7572050.89,1336399.0,1495.0,0.0,58822.5,10230,4.0,158202.66,27951,11,104715.66,18501,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.63,5.63,5.58,5.73,5.59,5.59,-1.237,5.59,5.62,5.642,6481648.4,1148741.0,1427.0,0.0,7273.96,1292,3.0,122655.78,21942,13,83436.34,14926,7,5.61,5.62,5.619,32310.0,5750,12,0.0,0.0,0.0,0.0,0,0
2015-12-09,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.61,5.61,5.47,5.7,5.69,5.69,1.789,5.69,5.7,5.616,7701995.24,1371474.0,1657.0,0.0,29172.0,5200,4.0,94283.3,16570,13,1365.6,240,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.7,5.7,5.5,5.78,5.53,5.53,-2.812,5.52,5.53,5.638,7655409.62,1357933.0,1481.0,0.0,49926.3,8759,14.0,36663.9,6630,8,0.0,0,0,5.52,5.71,5.622,194433.86,34583,53,0.0,0.0,0.0,0.0,0,0
2015-12-11,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.53,5.53,5.26,5.56,5.3,5.3,-4.159,5.3,5.32,5.358,8146452.27,1520558.0,1756.0,0.0,2001.86,362,4.0,79701.4,15038,13,5305.3,1001,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.36,5.36,4.9,5.39,5.17,5.17,-2.453,5.16,5.17,5.23,9423348.28,1801747.0,2141.0,0.0,38634.88,7208,7.0,126013.58,24374,19,0.0,0,0,5.26,5.26,5.26,5260.0,1000,1,0.0,0.0,0.0,0.0,0,0
2015-12-15,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.18,5.18,5.14,5.36,5.34,5.34,3.288,5.34,5.35,5.282,6277921.44,1188592.0,1588.0,0.0,5180.0,1000,6.0,206086.62,38593,11,16020.0,3000,2,5.27,5.31,5.29,21292.0,4025,8,0.0,0.0,0.0,0.0,0,0
2015-12-16,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.36,5.36,5.3,5.43,5.36,5.36,0.375,5.35,5.36,5.373,6069193.87,1129531.0,1425.0,0.0,38152.48,7118,9.0,26987.6,5035,8,32192.16,6006,7,5.3,5.38,5.346,171339.24,32050,64,0.0,0.0,0.0,0.0,0,0
2015-12-17,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.41,5.41,5.38,5.62,5.6,5.6,4.478,5.59,5.6,5.464,8193597.32,1499607.0,1581.0,0.0,22170.18,4098,9.0,51839.2,9257,11,17231.2,3077,2,5.45,5.45,5.45,10900.0,2000,2,0.0,0.0,0.0,0.0,0,0
2015-12-18,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.5,5.5,5.46,5.61,5.46,5.46,-2.5,5.46,5.48,5.519,4169830.05,755542.0,797.0,0.0,28600.0,5200,12.0,83723.64,15334,17,19000.8,3480,3,5.54,5.54,5.54,5540.0,1000,2,0.0,0.0,0.0,0.0,0,0
2015-12-21,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.47,5.47,5.47,5.63,5.55,5.55,1.648,5.55,5.57,5.546,2816957.01,507924.0,770.0,0.0,13850.04,2532,5.0,27750.0,5000,14,0.0,0,0,5.61,5.61,5.61,2805.0,500,1,0.0,0.0,0.0,0.0,0,0
2015-12-22,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.57,5.57,5.46,5.8,5.77,5.77,3.964,5.77,5.79,5.641,6529318.96,1157478.0,1405.0,0.0,6071.3,1090,3.0,35802.85,6205,12,86550.0,15000,5,5.68,5.68,5.68,2840.0,500,1,0.0,0.0,0.0,0.0,0,0
2015-12-23,TATGD,TAT GIDA,Z,MSPOT,MSPOTEQT,MSPOTEQTTATGD,0,1,0,0,0,5.8,5.8,5.73,5.85,5.73,5.73,-0.693,5.73,5.75,5.787,2819782.84,487258.0,914.0,0.0,13398.0,2310,14.0,37365.33,6521,13,0.0,0,0,5.8,5.82,5.803,41224.83,7104,12,0.0,0.0,0.0,0.0,0,0
