TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TRGYO,TORUNLAR GAYRI MENKUL YAT ORT AS,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.63,3.63,3.62,3.68,3.65,3.65,0.0,3.64,3.65,3.638,1072265.02,294776.0,409.0,0.0,1913.01,527,2.0,90290.05,24737,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,TRGYO,TORUNLAR GAYRI MENKUL YAT ORT AS,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.66,3.66,3.63,3.7,3.68,3.68,0.822,3.68,3.69,3.674,1200425.92,326700.0,360.0,0.0,9336.66,2551,6.0,24288.0,6600,7,42320.0,11500,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,TRGYO,TORUNLAR GAYRI MENKUL YAT ORT AS,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.68,3.68,3.66,3.71,3.68,3.68,0.0,3.66,3.68,3.68,709185.93,192699.0,267.0,0.0,184.0,50,2.0,17281.28,4696,6,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.67,3.67,3.62,3.69,3.64,3.64,-1.087,3.63,3.64,3.645,989563.75,271476.0,282.0,0.0,176.16,48,2.0,9136.4,2510,8,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.64,3.64,3.52,3.64,3.55,3.55,-2.473,3.55,3.56,3.563,955721.8,268245.0,368.0,0.0,4859.4,1335,2.0,15012.95,4229,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.56,3.56,3.5,3.59,3.52,3.52,-0.845,3.51,3.52,3.52,969143.52,275336.0,299.0,0.0,170.88,48,4.0,11052.8,3140,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.51,3.51,3.34,3.51,3.37,3.37,-4.261,3.36,3.38,3.418,1448781.18,423914.0,841.0,0.0,351.0,100,1.0,4694.41,1393,6,0.0,0,0,3.37,3.37,3.37,11795.0,3500,6,0.0,0.0,0.0,0.0,0,0
2015-12-09,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.4,3.4,3.29,3.4,3.35,3.35,-0.593,3.35,3.36,3.334,1713460.86,513892.0,439.0,0.0,506.6,149,2.0,21574.0,6440,7,54002.0,16120,8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.35,3.35,3.15,3.39,3.17,3.17,-5.373,3.16,3.17,3.273,1691606.93,516826.0,397.0,0.0,137.35,41,4.0,27398.31,8643,5,41175.13,12989,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.19,3.19,3.02,3.2,3.02,3.02,-4.732,3.02,3.03,3.089,1819874.21,589141.0,756.0,0.0,500.83,157,1.0,26174.34,8667,15,0.0,0,0,3.17,3.18,3.176,16832.0,5300,5,0.0,0.0,0.0,0.0,0,0
2015-12-14,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.06,3.06,3.05,3.16,3.05,3.05,0.993,3.05,3.06,3.098,1088682.51,351460.0,432.0,0.0,7692.84,2514,6.0,13371.2,4384,10,0.0,0,0,3.07,3.12,3.096,68786.65,22218,21,0.0,0.0,0.0,0.0,0,0
2015-12-15,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.1,3.1,3.09,3.26,3.26,3.26,6.885,3.23,3.26,3.175,1099923.18,346442.0,363.0,0.0,3100.0,1000,2.0,21124.8,6480,14,18826.5,5775,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-16,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.26,3.26,3.18,3.26,3.21,3.21,-1.534,3.2,3.21,3.202,926266.01,289305.0,390.0,0.0,5004.1,1535,5.0,4773.27,1487,5,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.28,3.28,3.23,3.48,3.41,3.41,6.231,3.4,3.41,3.383,2647345.83,782480.0,750.0,0.0,11529.2,3515,14.0,36176.69,10609,14,31965.34,9374,4,3.43,3.43,3.43,4630.5,1350,1,0.0,0.0,0.0,0.0,0,0
2015-12-18,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.45,3.45,3.3,3.45,3.3,3.3,-3.226,3.3,3.36,3.352,1505928.36,449316.0,579.0,0.0,51.75,15,4.0,194208.3,58851,39,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-21,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.33,3.33,3.29,3.36,3.32,3.32,0.606,3.31,3.32,3.321,1714606.43,516365.0,547.0,0.0,1734.93,521,13.0,38578.4,11620,7,10292.0,3100,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-22,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.3,3.3,3.26,3.31,3.28,3.28,-1.205,3.28,3.29,3.284,873077.83,265874.0,342.0,0.0,706.2,214,7.0,34915.6,10645,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-23,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.28,3.28,3.28,3.35,3.33,3.33,1.524,3.33,3.34,3.331,1693729.68,508413.0,415.0,0.0,455.92,139,4.0,56793.15,17055,9,22197.78,6666,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-24,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.33,3.33,3.33,3.38,3.36,3.36,0.901,3.35,3.37,3.35,861460.48,257186.0,283.0,0.0,333.0,100,4.0,36456.0,10850,12,6525.12,1942,2,3.36,3.36,3.36,20028.96,5961,7,0.0,0.0,0.0,0.0,0,0
2015-12-25,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.37,3.37,3.34,3.39,3.35,3.35,-0.298,3.34,3.35,3.368,491661.13,145981.0,139.0,0.0,1031.22,306,3.0,871.0,260,4,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-28,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.35,3.35,3.34,3.39,3.34,3.34,-0.299,3.34,3.35,3.365,670288.38,199196.0,241.0,0.0,134.0,40,3.0,29051.32,8698,15,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-29,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.35,3.35,3.29,3.36,3.32,3.32,-0.599,3.32,3.33,3.31,933585.89,282088.0,353.0,0.0,103.85,31,1.0,268.92,81,2,332.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-30,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.32,3.32,3.29,3.33,3.3,3.3,-0.602,3.29,3.3,3.305,383627.09,116083.0,162.0,0.0,235.72,71,3.0,13384.8,4056,9,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-31,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.3,0.0,3.25,3.31,3.25,3.25,-1.515,3.25,3.28,3.275,281042.27,85815.0,171.0,0.0,0.0,0,0.0,21482.5,6610,14,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2016-01-04,TRGYO,TORUNLAR GMYO,K,MSPOT,MSPOTEQT,MSPOTEQTTRGYO,0,1,0,0,0,3.25,3.25,3.22,3.27,3.24,3.24,-0.308,3.23,3.24,3.243,754090.23,232558.0,215.0,0.0,1576.25,485,5.0,17998.2,5555,6,9130.32,2818,4,3.24,3.25,3.249,17222.0,5300,2,0.0,0.0,0.0,0.0,0,0
