TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TRNSK,TRANSTURK HOLDING AS,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0.0,0.0,0.37,0.0,0.37,72912.57,197061.0,118.0,0.0,6428.01,17373,32.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,TRNSK,TRANSTURK HOLDING AS,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,0.44,0.44,0.44,0.44,0.44,0.0,18.919,0.44,0.0,0.44,159688.76,362929.0,218.0,0.0,80001.68,181822,93.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,TRNSK,TRANSTURK HOLDING AS,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,0.52,0.52,0.52,0.52,0.52,0.0,18.182,0.52,0.0,0.52,46051.72,88561.0,82.0,0.0,23201.88,44619,48.0,0.0,0,0,0.52,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,TRNSK,TRANSTURK HOLD.,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,0.62,0.62,0.62,0.62,0.62,0.0,19.231,0.62,0.0,0.62,66142.22,106681.0,92.0,0.0,44003.88,70974,48.0,0.0,0,0,0.62,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,TRNSK,TRANSTURK HOLD.,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,0.74,0.74,0.74,0.74,0.74,0.74,19.355,0.74,0.0,0.74,587710.22,794203.0,382.0,0.0,324299.82,438243,228.0,0.74,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,TRNSK,TRANSTURK HOLD.,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,0.88,0.88,0.88,0.88,0.88,0.0,18.919,0.88,0.0,0.88,327324.8,371960.0,110.0,0.0,271427.2,308440,74.0,0.0,0,0,5282.64,6003,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,TRNSK,TRANSTURK HOLD.,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,1.05,1.05,1.05,1.05,1.05,1.05,19.318,1.05,0.0,1.05,1650229.35,1571647.0,422.0,0.0,1062842.55,1012231,175.0,15751.05,15001,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,TRNSK,TRANSTURK HOLD.,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,1.26,1.26,1.26,1.26,1.26,0.0,20.0,1.26,0.0,1.26,1924686.54,1527529.0,479.0,0.0,1452533.04,1152804,288.0,0.0,0,0,630.0,500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,TRNSK,TRANSTURK HOLD.,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,1.51,1.51,1.51,1.51,1.51,0.0,19.841,1.51,0.0,1.51,1759278.35,1165085.0,735.0,0.0,1121283.72,742572,390.0,0.0,0,0,581.35,385,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,TRNSK,TRANSTURK HOLD.,W,MSPOT,MSPOTEQT,MSPOTEQTTRNSK,0,0,0,0,0,1.81,1.81,1.78,1.81,1.78,1.78,17.881,1.77,1.78,1.808,3532674.38,1954438.0,1468.0,0.0,1395604.12,771052,379.0,62057.92,34864,39,1260.24,708,9,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
