TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,TSKB,T. SINAI KALKINMA BANKASI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.53,0.0,1.5,1.54,1.51,1.51,0.0,1.5,1.51,1.508,2412832.1,1599731.0,355.0,0.0,0.0,0,0.0,199255.07,131957,20,135807.89,89939,4,1.5,1.53,1.502,651246.26,433726,75,0.0,0.0,0.0,0.0,0,0
2015-12-01,TSKB,T. SINAI KALKINMA BANKASI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.5,1.5,1.5,1.54,1.53,1.53,1.325,1.53,1.54,1.524,6575335.67,4315230.0,715.0,0.0,4114.5,2743,10.0,74572.2,48740,13,83111.13,54321,7,1.52,1.54,1.521,438496.56,288353,21,0.0,0.0,0.0,0.0,0,0
2015-12-02,TSKB,T. SINAI KALKINMA BANKASI AS,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.54,1.54,1.52,1.56,1.54,1.54,0.654,1.53,1.54,1.541,7143542.69,4635768.0,493.0,0.0,44881.76,29144,7.0,60173.96,39074,9,0.0,0,0,1.53,1.55,1.545,1459628.71,944650,49,0.0,0.0,0.0,0.0,0,0
2015-12-03,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.54,1.54,1.52,1.55,1.53,1.53,-0.649,1.53,1.54,1.531,5514255.11,3601278.0,338.0,0.0,14049.42,9123,4.0,14288.67,9339,3,7650.0,5000,1,1.52,1.54,1.532,2196240.87,1433262,54,0.0,0.0,0.0,0.0,0,0
2015-12-04,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.54,1.54,1.48,1.54,1.5,1.5,-1.961,1.49,1.5,1.514,10712889.8,7077020.0,814.0,0.0,124535.18,80867,20.0,121683.0,81122,12,51261.0,34174,5,1.49,1.53,1.512,3478874.75,2300874,145,0.0,0.0,0.0,0.0,0,0
2015-12-07,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.5,1.5,1.44,1.5,1.45,1.45,-3.333,1.45,1.46,1.462,9361916.65,6401807.0,1418.0,0.0,7698.0,5132,8.0,239486.35,165163,40,52207.25,36005,9,1.45,1.49,1.465,1107268.42,755614,172,0.0,0.0,0.0,0.0,0,0
2015-12-08,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.45,1.45,1.42,1.46,1.43,1.43,-1.379,1.43,1.44,1.443,7006316.51,4854466.0,978.0,0.0,872.9,602,7.0,104823.29,73303,10,266506.24,186368,31,1.43,1.45,1.444,2482899.63,1718871,161,0.0,0.0,0.0,0.0,0,0
2015-12-09,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.44,1.44,1.43,1.49,1.49,1.49,4.196,1.48,1.49,1.46,5551689.74,3803560.0,630.0,0.0,41058.72,28513,9.0,22764.22,15278,8,23474.95,15755,3,1.43,1.49,1.464,1552537.32,1060551,32,0.0,0.0,0.0,0.0,0,0
2015-12-10,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.48,1.48,1.4,1.49,1.42,1.42,-4.698,1.42,1.43,1.442,24990932.53,17325464.0,1937.0,0.0,2814.96,1902,7.0,639000.0,450000,36,146244.38,102989,12,1.41,1.48,1.452,1391525.73,958679,85,0.0,0.0,0.0,0.0,0,0
2015-12-11,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.43,1.43,1.35,1.43,1.35,1.35,-4.93,1.35,1.36,1.385,15626417.77,11284931.0,1789.0,0.0,7181.46,5022,12.0,136015.2,100752,40,22950.0,17000,11,1.37,1.42,1.392,4779898.55,3433437,203,0.0,0.0,0.0,0.0,0,0
2015-12-14,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.37,1.37,1.3,1.38,1.3,1.3,-3.704,1.3,1.31,1.344,17255452.05,12842987.0,2148.0,0.0,227107.64,165772,28.0,221111.8,170086,35,125499.4,96538,8,1.3,1.38,1.345,4260279.21,3166991,516,0.0,0.0,0.0,0.0,0,0
2015-12-15,TSKB,T.S.K.B.,Z,MSPOT,MSPOTEQT,MSPOTEQTTSKB,0,1,0,0,0,1.31,1.31,1.31,1.38,1.36,1.36,4.615,1.36,1.37,1.353,16444331.59,12154395.0,1961.0,0.0,36072.16,27536,13.0,110451.04,81214,12,28577.68,21013,2,1.32,1.38,1.358,6117128.39,4503397,496,0.0,0.0,0.0,0.0,0,0
