TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,UTPYA,UTOPYA TUR INSAAT ISL TIC AS,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.25,0.0,1.18,1.25,1.2,1.2,0.0,1.19,1.2,1.2,14498.38,12077.0,26.0,0.0,0.0,0,0.0,1.2,1,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,UTPYA,UTOPYA TUR INSAAT ISL TIC AS,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.22,0.0,1.2,1.22,1.2,0.0,0.0,1.19,1.2,1.2,16820.53,14017.0,26.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,UTPYA,UTOPYA TUR INSAAT ISL TIC AS,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.22,0.0,1.18,1.22,1.2,0.0,0.0,1.19,1.2,1.202,83261.22,69258.0,97.0,0.0,0.0,0,0.0,0.0,0,0,408.0,340,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.19,0.0,1.17,1.23,1.17,0.0,-2.5,1.16,1.17,1.188,146518.65,123332.0,183.0,0.0,0.0,0,0.0,0.0,0,0,12.87,11,1,1.2,1.2,1.2,2400.0,2000,3,0.0,0.0,0.0,0.0,0,0
2015-12-04,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.18,0.0,1.13,1.18,1.15,0.0,-1.709,1.14,1.15,1.147,55045.3,47985.0,63.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.17,1.17,1.14,1.17,1.15,0.0,0.0,1.15,1.16,1.15,46891.3,40771.0,34.0,0.0,175.5,150,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.16,0.0,1.13,1.16,1.14,0.0,-0.87,1.14,1.15,1.152,14287.17,12403.0,22.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.14,0.0,1.13,1.16,1.16,1.16,1.754,1.16,1.17,1.141,23439.11,20540.0,27.0,0.0,0.0,0,0.0,1042.84,899,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.15,0.0,1.13,1.15,1.13,0.0,-2.586,1.13,1.14,1.136,33334.82,29349.0,40.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.0,1.0,1.0,1.15,1.07,1.07,-5.31,1.05,1.07,1.092,30907.49,28302.0,56.0,0.0,2785.0,2785,9.0,107.0,100,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.12,0.0,1.07,1.16,1.09,0.0,1.869,1.08,1.09,1.107,15911.36,14373.0,67.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.14,0.0,1.01,1.16,1.03,1.03,-5.505,1.03,1.04,1.08,396509.94,367012.0,2587.0,0.0,0.0,0,0.0,2060.0,2000,6,1031.03,1001,3,1.02,1.13,1.036,13991.69,13500,86,0.0,0.0,0.0,0.0,0,0
2015-12-16,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.03,0.0,1.02,1.07,1.03,1.03,0.0,1.02,1.03,1.033,53091.59,51406.0,84.0,0.0,0.0,0,0.0,999.1,970,2,2060.0,2000,5,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-17,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.05,0.0,1.02,1.05,1.03,1.03,0.0,1.03,1.04,1.029,40991.66,39819.0,104.0,0.0,0.0,0,0.0,1090.77,1059,3,1545.0,1500,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-18,UTPYA,UTOPYA TURIZM,N,MSPOT,MSPOTEQT,MSPOTEQTUTPYA,0,0,0,0,0,1.04,0.0,1.02,1.07,1.05,0.0,1.942,1.05,1.06,1.045,57727.6,55232.0,101.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
