TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,VAKBN,TURKIYE VAKIFLAR BANKASI TAO,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,4.02,4.02,3.94,4.05,3.98,3.98,0.0,3.98,4.0,4.002,177575639.73,44372566.0,5754.0,0.0,1149185.34,285867,25.0,12105396.86,3041557,152,1305619.1,328045,13,3.95,4.04,3.992,59421257.14,14886741,1857,0.0,0.0,0.0,0.0,0,0
2015-12-01,VAKBN,TURKIYE VAKIFLAR BANKASI TAO,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,4.0,4.0,3.99,4.09,4.08,4.08,2.513,4.08,4.09,4.047,239291931.77,59125802.0,8033.0,0.0,1615364.0,403841,31.0,5406660.96,1325162,72,1571905.68,385271,25,3.99,4.09,4.047,89207044.76,22043308,2146,0.0,0.0,0.0,0.0,0,0
2015-12-02,VAKBN,TURKIYE VAKIFLAR BANKASI TAO,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,4.12,4.12,4.03,4.16,4.07,4.07,-0.245,4.07,4.08,4.103,191397968.04,46653283.0,6447.0,0.0,1657068.12,402201,82.0,2647465.81,650483,76,30602.33,7519,7,4.03,4.15,4.1,52615261.69,12834270,1229,0.0,0.0,0.0,0.0,0,0
2015-12-03,VAKBN,VAKIFLAR BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,4.09,4.09,4.02,4.13,4.04,4.04,-0.737,4.04,4.05,4.076,300223317.87,73661154.0,6953.0,0.0,619741.34,151526,19.0,3165950.04,783651,79,1074240.04,265901,21,4.02,4.12,4.076,134977224.57,33118232,2617,0.0,0.0,0.0,0.0,0,0
2015-12-04,VAKBN,VAKIFLAR BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,4.06,4.06,3.92,4.07,4.01,4.01,-0.743,4.01,4.02,3.992,248445277.55,62239072.0,8111.0,0.0,764258.46,188241,26.0,3075325.14,766914,83,1474873.99,367799,16,3.92,4.06,3.985,117576099.53,29505828,3405,0.0,0.0,0.0,0.0,0,0
2015-12-07,VAKBN,VAKIFLAR BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,4.03,4.03,3.94,4.03,3.94,3.94,-1.746,3.94,3.95,3.976,206178979.25,51858684.0,6473.0,0.0,835431.09,207303,23.0,4862444.62,1234123,178,2526201.92,641168,135,3.94,4.02,3.975,76388593.5,19216477,2182,0.0,0.0,0.0,0.0,0,0
2015-12-08,VAKBN,VAKIFLAR BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,3.94,3.94,3.88,3.97,3.89,3.89,-1.269,3.89,3.9,3.926,138287888.44,35223796.0,5931.0,0.0,203449.78,51637,38.0,3992855.49,1026441,90,396702.2,101980,13,3.88,3.96,3.926,55789943.12,14210394,2359,0.0,0.0,0.0,0.0,0,0
2015-12-09,VAKBN,VAKIFLAR BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,3.92,3.92,3.91,4.05,4.03,4.03,3.599,4.03,4.04,3.961,154783358.03,39080829.0,4774.0,0.0,915076.96,233438,23.0,1185904.07,294269,44,402568.79,99893,18,3.91,4.04,3.952,28150491.55,7122481,497,0.0,0.0,0.0,0.0,0,0
2015-12-10,VAKBN,VAKIFLAR BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,4.02,4.02,3.88,4.09,3.93,3.93,-2.481,3.93,3.94,3.981,240218542.84,60312019.0,9255.0,0.0,264644.64,65832,42.0,4248192.45,1080965,80,1298212.62,330334,32,3.88,4.08,3.959,82585285.49,20857647,3954,4.04,4.04,4.04,8080000.0,2000000,1
2015-12-11,VAKBN,VAKIFLAR BANKASI,Z,MSPOT,MSPOTEQT,MSPOTEQTVAKBN,0,1,1,0,0,3.96,3.96,3.75,3.96,3.76,3.76,-4.326,3.76,3.77,3.819,198682520.84,52030061.0,11079.0,0.0,525412.8,132680,21.0,3736462.4,993740,172,468026.0,124475,13,3.76,3.95,3.819,72396438.44,18958487,5455,0.0,0.0,0.0,0.0,0,0
