TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,VERUS,VERUSA HOLDING AS,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,45.74,45.74,45.04,46.0,45.3,45.3,0.0,45.28,45.7,45.519,677097.68,14875.0,275.0,0.0,411.66,9,2.0,72751.8,1606,16,0.0,0,0,45.7,45.98,45.84,9168.0,200,3,0.0,0.0,0.0,0.0,0,0
2015-12-01,VERUS,VERUSA HOLDING AS,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,46.38,46.38,44.7,46.5,45.04,45.04,-0.574,45.04,45.1,45.098,668127.3,14815.0,251.0,0.0,742.08,16,3.0,18376.32,408,11,0.0,0,0,46.4,46.4,46.4,556.8,12,2,0.0,0.0,0.0,0.0,0,0
2015-12-02,VERUS,VERUSA HOLDING AS,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,45.2,45.2,44.4,45.32,45.08,45.08,0.089,45.04,45.08,44.832,563584.48,12571.0,217.0,0.0,226.0,5,1.0,42239.96,937,13,2704.8,60,1,44.7,45.22,45.155,9527.7,211,5,0.0,0.0,0.0,0.0,0,0
2015-12-03,VERUS,VERUSA HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,45.4,0.0,45.0,47.32,46.72,46.72,3.638,46.72,46.9,46.465,1419001.22,30539.0,563.0,0.0,0.0,0,0.0,25602.56,548,7,24294.4,520,3,45.78,47.0,46.119,16141.5,350,11,0.0,0.0,0.0,0.0,0,0
2015-12-04,VERUS,VERUSA HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,46.68,46.68,46.48,47.98,46.78,46.78,0.128,46.78,46.98,46.889,868949.0,18532.0,393.0,0.0,933.6,20,2.0,39669.44,848,28,24419.16,522,9,46.94,47.0,46.999,4934.88,105,4,0.0,0.0,0.0,0.0,0,0
2015-12-07,VERUS,VERUSA HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,47.1,47.1,46.54,47.1,46.82,46.82,0.086,46.82,46.98,46.754,692519.56,14812.0,337.0,0.0,235.5,5,1.0,25235.98,539,11,215652.92,4606,6,46.78,47.06,46.86,7216.38,154,35,0.0,0.0,0.0,0.0,0,0
2015-12-08,VERUS,VERUSA HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,47.1,47.1,46.54,47.1,46.86,46.86,0.085,46.82,46.86,46.822,486670.26,10394.0,143.0,0.0,235.5,5,1.0,22727.1,485,8,4826.58,103,5,47.06,47.06,47.06,9412.0,200,2,0.0,0.0,0.0,0.0,0,0
2015-12-09,VERUS,VERUSA HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,47.1,47.1,46.28,47.4,47.1,47.1,0.512,47.08,47.1,46.668,1226002.66,26271.0,227.0,0.0,235.5,5,1.0,17521.2,372,14,4615.8,98,4,46.56,47.1,46.652,11756.2,252,6,0.0,0.0,0.0,0.0,0,0
2015-12-10,VERUS,VERUSA HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,47.04,47.04,46.76,47.5,47.0,47.0,-0.212,46.96,47.0,46.978,351632.5,7485.0,255.0,0.0,235.2,5,1.0,5170.0,110,3,0.0,0,0,47.38,47.38,47.38,473.8,10,1,0.0,0.0,0.0,0.0,0,0
2015-12-11,VERUS,VERUSA HOLDING,N,MSPOT,MSPOTEQT,MSPOTEQTVERUS,0,0,0,0,0,47.0,47.0,46.44,47.42,47.0,47.0,0.0,46.98,47.0,46.695,209519.64,4487.0,132.0,0.0,282.0,6,2.0,17296.0,368,15,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
