TRADE DATE,INSTRUMENT SERIES CODE,INSTRUMENT NAME,MARKET SEGMENT,MARKET,INSTRUMENT TYPE,INSTRUMENT CLASS,MARKET MAKER,BIST 100 INDEX,BIST 30 INDEX,GROSS SETTLEMENT,SUSPENDED,OPENING PRICE,OPENING SESSION PRICE,LOWEST PRICE,HIGHEST PRICE,CLOSING PRICE,CLOSING SESSION PRICE,CHANGE TO PREVIOUS CLOSING (%),REMAINING BID,REMAINING ASK,VWAP,TOTAL TRADED VALUE,TOTAL TRADED VOLUME,TOTAL NUMBER OF CONTRACTS,REFERENCE PRICE,TRADED VALUE AT OPENING SESSION,TRADED VOLUME AT OPENING SESSION,NUMBER OF CONTRACTS AT OPENING SESSION,TRADED VALUE AT CLOSING SESSION,TRADED VOLUME AT CLOSING SESSION,NUMBER OF CONTRACTS AT CLOSING SESSION,TRADED VALUE OF TRADES AT CLOSING PRICE,TRADED VOLUME OF TRADES AT CLOSING PRICE,NUMBER OF CONTRACTS OF TRADES AT CLOSING PRICE,LOWEST SHORT SALE PRICE,HIGHEST SHORT SALE PRICE,SHORT SALE VWAP,TRADED VALUE OF SHORT SALE TRADES,TRADED VOLUME OF SHORT SALE TRADES,NUMBER OF CONTRACTS OF SHORT SALE TRADES,LOWEST TRADE REPORT PRICE,HIGHEST TRADE REPORT PRICE,TRADE REPORT VWAP,TRADE REPORT TRADED VALUE,TRADE REPORT TRADED VOLUME,NUMBER OF TRADE REPORTS
2015-11-30,YAPRK,YAPRAK SUT VE BESI CIFT SAN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.1,0.0,2.07,2.1,2.07,2.07,0.0,2.07,2.08,2.07,879.9,425.0,4.0,0.0,0.0,0,0.0,103.5,50,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-01,YAPRK,YAPRAK SUT VE BESI CIFT SAN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.1,0.0,2.1,2.1,2.1,0.0,1.449,2.1,2.11,2.1,1144.5,545.0,6.0,0.0,0.0,0,0.0,0.0,0,0,705.6,336,2,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-02,YAPRK,YAPRAK SUT VE BESI CIFT SAN TIC,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.1,0.0,2.1,2.1,2.1,2.1,0.0,2.09,2.1,2.1,1543.5,735.0,11.0,0.0,0.0,0,0.0,1050.0,500,3,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-03,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.11,0.0,2.11,2.11,2.11,2.11,0.476,2.11,2.12,2.11,8319.73,3943.0,18.0,0.0,0.0,0,0.0,211.0,100,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-04,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.12,2.12,2.12,2.14,2.14,0.0,1.422,2.12,2.14,2.14,20924.72,9778.0,25.0,0.0,21.2,10,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-07,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.15,0.0,2.15,2.16,2.16,2.16,0.935,2.16,2.2,2.16,7959.05,3685.0,11.0,0.0,0.0,0,0.0,1080.0,500,2,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-08,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.2,2.2,2.2,2.2,2.2,2.2,1.852,2.2,2.25,2.2,27614.4,12552.0,24.0,0.0,1933.8,879,6.0,15848.8,7204,7,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-09,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.25,2.25,2.2,2.25,2.2,2.2,0.0,2.2,2.25,2.248,5610.95,2496.0,16.0,0.0,252.0,112,1.0,2.2,1,1,220.0,100,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-10,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.25,0.0,2.24,2.25,2.24,0.0,1.818,2.23,2.24,2.243,12583.01,5609.0,11.0,0.0,0.0,0,0.0,0.0,0,0,8064.0,3600,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-11,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.25,2.25,2.19,2.25,2.19,2.19,-2.232,2.18,2.19,2.2,3376.24,1535.0,14.0,0.0,168.75,75,3.0,219.0,100,1,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-14,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.24,2.24,2.2,2.24,2.2,0.0,0.457,2.2,2.22,2.206,6685.4,3031.0,11.0,0.0,56.0,25,2.0,0.0,0,0,1100.0,500,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
2015-12-15,YAPRK,YAPRAK SUT VE BESI CIFT.,N,MSPOT,MSPOTEQT,MSPOTEQTYAPRK,0,0,0,0,0,2.25,2.25,2.22,2.25,2.23,0.0,1.364,2.22,2.23,2.237,15913.15,7115.0,12.0,0.0,11.25,5,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
